step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
11,0,[-4.5857481  -5.02298225 15.5462939 ],[-0.38313215  0.23106208 -0.54455118],[-0.78235491 -3.6751702   8.01347144],[-1.04391043 -1.1112298   2.64321478],[0.0493971  0.35735111 0.96922071 0.99423665],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.38313215  0.23106208 -0.54455118],[ 0.63332105  6.31332245 -6.17053837],[ 0.68514741  1.9539544  -0.85870292],2.241592173463611,0.014931191154506251
11,0,[-4.47518161 -5.64401009 14.64304844],[-0.38935534  0.23559957 -0.40878863],[-0.8515306  -3.8478607   8.13935801],[-1.03599332 -1.1191813   2.71733989],[0.05078846 0.36338279 0.97315562 0.99045752],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.38935534  0.23559957 -0.40878863],[ 1.1724559   6.65026372 -6.0149501 ],[ 0.89265824  1.92014965 -0.88954587],2.2967597298525666,0.01
11,0,[-4.11629736 -6.64543844 14.74345784],[-0.39279601  0.23320637 -0.27188299],[-0.86450751 -4.00097898  8.28257747],[-1.0271179  -1.12645781  2.79305931],[0.04855548 0.35951572 0.96904075 0.98624968],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.39279601  0.23320637 -0.27188299],[ 1.67893763  6.8808845  -5.93219121],[ 1.08266255  1.8642597  -0.94409622],2.3534952900130697,0.01
12,0,[-4.10558828 -7.56140928 15.13683298],[-0.39360977  0.22388147 -0.12855223],[-0.82214862 -4.14079338  8.43670008],[-1.01736834 -1.13291405  2.8703836 ],[0.04848539 0.37730126 0.92021994 1.02243646],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.39360977  0.22388147 -0.12855223],[ 2.15050205  7.02063617 -5.92334493],[ 1.2574344   1.78398878 -1.02621156],2.4118182801700976,0.01
12,0,[-4.42594272 -8.78129065 14.85478314],[-0.39888179  0.2074205   0.01689598],[-0.71995927 -4.321039    8.56708919],[-1.00688238 -1.13843337  2.9492953 ],[0.05266393 0.36793424 0.94001726 0.97526342],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.39888179  0.2074205   0.01689598],[ 2.54014191  7.16266209 -5.90158348],[ 1.40541219  1.69203071 -1.12758302],2.4717594596186476,0.01
12,0,[ -4.12062362 -11.59070051  14.60319313],[-0.40505099  0.17166028  0.16695932],[-0.43906841 -4.51366435  8.69544382],[-0.99584092 -1.14292707  3.02974634],[0.05215628 0.39285305 0.91730954 1.00966148],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.40505099  0.17166028  0.16695932],[ 2.65101937  7.32025846 -5.96343883],[ 1.50142415  1.59294553 -1.27518694],2.5333479140613973,0.01
12,0,[ -4.28139655 -15.7600868   14.50913201],[-0.41698012  0.1081598   0.32868661],[ 0.10524039 -4.75934515  8.78316832],[-0.98445358 -1.14630314  3.11176431],[0.05189704 0.43505203 0.85101554 1.06151023],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.41698012  0.1081598   0.32868661],[ 2.37645021  7.62325075 -6.00375049],[ 1.52213575  1.49477956 -1.48035301],2.596672532858375,0.01
13,0,[ -5.1099168  -24.04494174  14.10405434],[-0.4480144  -0.00521079  0.51223023],[ 1.13098812 -5.14990363  8.69468683],[-0.97301409 -1.14853337  3.19533828],[0.0531558  0.49644937 0.77869607 1.04184941],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.4480144  -0.00521079  0.51223023],[ 1.49292664  8.31528798 -5.65909679],[ 1.39959466  1.42663229 -1.75819527],2.661840624395105,0.01
13,0,[ -5.61381494 -46.09229096  12.92552102],[-0.52419055 -0.24260181  0.76432041],[ 3.30846625 -5.7284189   7.93085838],[-0.9619114  -1.14969645  3.28035778],[0.04928914 0.5799144  0.64873073 1.00002526],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.52419055 -0.24260181  0.76432041],[-0.37526992  9.6047999  -3.77706738],[ 0.89856091  1.42925236 -2.14404595],2.728938818707491,0.01
13,0,[  -3.89575752 -133.13721699   11.66490175],[-0.98386939 -0.83303052  1.53171381],[ 7.70312505 -6.46085319  2.86826223],[-0.95168131 -1.15003425  3.36661946],[0.04887602 0.61870416 0.66084321 1.04152638],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.98386939 -0.83303052  1.53171381],[2.01759826 9.80127674 3.02852429],[-0.95325913  1.55465765 -2.12214523],2.7980642911259626,0.01
