time/total_timesteps,time/time_elapsed,rew_vec_envs,time/iterations,time/fps,train/clip_range,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/std,train/n_updates,train/clip_fraction
1163264,2097,-549.012020111084,71,554,0.2,743.12857131958,438.5700988769531,-5.7399793595075606,0.014491261,0.001,0.4483184814453125,-0.0101718224294018,1.0313034057617188,700,0.155206298828125
1179648,2133,-668.8317260742188,72,552,0.2,747.8018186569213,162.2122802734375,-5.718144007027149,0.014617644,0.001,0.470825731754303,-0.010992602778424043,1.0235073566436768,710,0.169512939453125
1196032,2169,-582.1383361816406,73,551,0.2,732.063622713089,114.4302978515625,-5.693773648142814,0.011706827,0.001,0.515672504901886,-0.010807962241233326,1.0181148052215576,720,0.156976318359375
1212416,2206,-601.7040061950684,74,549,0.2,704.1153325080871,168.49456787109375,-5.650051562488079,0.013778311,0.001,0.5255919694900513,-0.008828362102940445,1.0041465759277344,730,0.15714111328125
1228800,2243,-856.5756988525391,75,547,0.2,767.407065486908,237.7707977294922,-5.613628582656384,0.015178354,0.001,0.44470274448394775,-0.008665587488940219,0.9960358142852783,740,0.16370849609375
1245184,2281,-753.9430465698242,76,545,0.2,907.8351037979126,473.5812683105469,-5.6193489387631415,0.012160543,0.001,0.4650675058364868,-0.010779866910888813,1.0015207529067993,750,0.14027099609375
1261568,2318,-730.1560211181641,77,544,0.2,697.1148704528808,240.98545837402344,-5.633935606479644,0.014503978,0.001,0.5062697529792786,-0.009047198329790262,1.0050098896026611,760,0.173114013671875
1277952,2354,-620.1074180603027,78,542,0.2,816.131170129776,384.7180480957031,-5.6190821677446365,0.014269933,0.001,0.5017389059066772,-0.008044562996656169,0.9984489679336548,770,0.15179443359375
1294336,2392,-618.0543022155762,79,541,0.2,717.8640904426575,114.14716339111328,-5.586431783437729,0.015161913,0.001,0.4875268340110779,-0.008672882446990115,0.9909512400627136,780,0.17830810546875
1310720,2432,-559.1195583343506,80,538,0.2,654.794082069397,211.26771545410156,-5.571222892403602,0.01818549,0.001,0.44196832180023193,-0.00883710261550732,0.9893927574157715,790,0.198211669921875
1327104,2469,-634.3857917785645,81,537,0.2,722.5492550373077,220.54588317871094,-5.558836717903614,0.015603427,0.001,0.4760483503341675,-0.009681123503833078,0.984176754951477,800,0.175555419921875
1343488,2506,-609.7106781005859,82,535,0.2,747.9465776920318,516.5369873046875,-5.522203411161899,0.014754074,0.001,0.484247624874115,-0.008946977778396103,0.9751518964767456,810,0.166455078125
1359872,2542,-701.2670955657959,83,534,0.2,689.2869977474213,485.5584411621094,-5.499022689461708,0.014288172,0.001,0.517344057559967,-0.007677580737799871,0.9693478345870972,820,0.161822509765625
1376256,2577,-487.2466583251953,84,533,0.2,785.0018645524979,646.3690185546875,-5.48250442147255,0.013033029,0.001,0.4574889540672302,-0.01005877709831111,0.9662351608276367,830,0.1615234375
1392640,2617,-697.5403747558594,85,532,0.2,679.4623512268066,319.4138488769531,-5.489465992152691,0.01367092,0.001,0.586819589138031,-0.008196356148982887,0.9704149961471558,840,0.1626953125
1409024,2656,-618.6043395996094,86,530,0.2,798.4582779884338,385.5533447265625,-5.491023549437523,0.015683694,0.001,0.49040043354034424,-0.010412762276246212,0.9669709205627441,850,0.156036376953125
1425408,2691,-697.9951171875,87,529,0.2,783.4087602615357,199.06472778320312,-5.484738472104072,0.015237974,0.001,0.4993330240249634,-0.008098410959064495,0.9677219390869141,860,0.148150634765625
1441792,2731,-632.8644981384277,88,527,0.2,721.6536097049714,356.6551513671875,-5.476765079796314,0.013836349,0.001,0.5150259137153625,-0.007878311251261039,0.9663805365562439,870,0.161798095703125
1458176,2768,-675.5810432434082,89,526,0.2,776.7687439918518,195.23757934570312,-5.458465452492237,0.01380455,0.001,0.4741644859313965,-0.008737296830804552,0.9610229730606079,880,0.1583984375
1474560,2804,-750.3802833557129,90,525,0.2,716.8008355855942,358.865234375,-5.463393226265907,0.01345432,0.001,0.5493742525577545,-0.007184625802619848,0.9638209939002991,890,0.172283935546875
1490944,2841,-649.7887153625488,91,524,0.2,702.3852272033691,239.0625762939453,-5.468244476616382,0.016982049,0.001,0.5290184020996094,-0.007986728182731894,0.9647929668426514,900,0.161846923828125
1507328,2879,-741.1824531555176,92,523,0.2,713.7126002788543,262.5686950683594,-5.4685916274786,0.01615921,0.001,0.535797506570816,-0.008265101201686775,0.966286301612854,910,0.168212890625
1523712,2919,-727.3018074035645,93,521,0.2,700.5462221622467,286.0527038574219,-5.470843124389648,0.014552667,0.001,0.5476301312446594,-0.010126866016798885,0.963286280632019,920,0.163885498046875
1540096,2957,-817.4258346557617,94,520,0.2,845.498130941391,437.4390869140625,-5.451532424986363,0.012668452,0.001,0.513651579618454,-0.00938883378985338,0.958441436290741,930,0.143707275390625
1556480,2993,-549.0668106079102,95,519,0.2,682.8052649497986,277.1719970703125,-5.439501041173935,0.011950716,0.001,0.5597975552082062,-0.0078683562882361,0.958470344543457,940,0.140325927734375
1572864,3029,-626.4072380065918,96,519,0.2,698.4280501842499,437.1072692871094,-5.462686796486378,0.017667193,0.001,0.5304768681526184,-0.008806725846079643,0.9642354249954224,950,0.164910888671875
1589248,3064,-636.314453125,97,518,0.2,731.295014333725,214.8668670654297,-5.4896534606814384,0.014916541,0.001,0.5326644778251648,-0.01053105952378246,0.9709262251853943,960,0.1626953125
1605632,3103,-549.259407043457,98,517,0.2,785.3373886108399,232.71755981445312,-5.511737541854382,0.011295686,0.001,0.5500850677490234,-0.008442755716532701,0.9746012687683105,970,0.151519775390625
1622016,3141,-559.950611114502,99,516,0.2,716.049005651474,332.6400146484375,-5.486450125277043,0.017529715,0.001,0.5466334819793701,-0.00919028616626747,0.9634596705436707,980,0.18233642578125
1638400,3179,-788.5105285644531,100,515,0.2,794.7021770477295,372.5229187011719,-5.46868180334568,0.014558289,0.001,0.5194169282913208,-0.010392675145703833,0.959449291229248,990,0.15821533203125
1654784,3216,-779.3064346313477,101,514,0.2,740.7508920669555,178.96929931640625,-5.4450898379087445,0.0133053465,0.001,0.559275358915329,-0.007279470471257809,0.9544706344604492,1000,0.166796875
1671168,3253,-619.0481224060059,102,513,0.2,626.1469342231751,226.85842895507812,-5.419861049950123,0.016029496,0.001,0.5912521183490753,-0.007435638449533144,0.9468609094619751,1010,0.18509521484375
1687552,3288,-642.1405868530273,103,513,0.2,679.0512398242951,183.7964630126953,-5.40550334751606,0.01645523,0.001,0.5372576117515564,-0.008777801207907032,0.9449517130851746,1020,0.19207763671875
1703936,3324,-580.1822471618652,104,512,0.2,679.322805070877,224.76185607910156,-5.403673113882542,0.014985942,0.001,0.5669295489788055,-0.006716107645479497,0.945497453212738,1030,0.17896728515625
1720320,3360,-618.4784393310547,105,511,0.2,709.4793517589569,169.14993286132812,-5.405819268524647,0.016670182,0.001,0.5370023250579834,-0.009766170979855816,0.946855902671814,1040,0.16658935546875
1736704,3396,-836.2412872314453,106,511,0.2,703.8313464164734,143.40576171875,-5.3976710245013235,0.017825842,0.001,0.577407568693161,-0.006394043676846195,0.9443932175636292,1050,0.181414794921875
1753088,3430,-607.5817031860352,107,510,0.2,702.6109972953797,257.88427734375,-5.397582773864269,0.018304896,0.001,0.5276636481285095,-0.005637293363542994,0.9463747143745422,1060,0.18634033203125
