time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rew_vec_envs,train/approx_kl,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/n_updates,train/std,train/explained_variance,train/value_loss
802816,49,1583,506,53.44853210449219,0.009662472,-5.196725358814001,0.09517822265625,1.480857491493225,-0.0008966917837824439,0.2,0.0001,480,0.8875913619995117,0.7862763553857803,9.667836415488273
819200,50,1615,506,46.18679189682007,0.014328101,-5.1950417321175335,0.129217529296875,3.438035726547241,-0.0006399218632395787,0.2,0.0001,490,0.8868957161903381,0.69962939620018,18.11312658879906
835584,51,1647,507,41.89109563827515,0.009445036,-5.1954965107142925,0.0689453125,3.272052049636841,-0.0015755702091155399,0.2,0.0001,500,0.8870195746421814,0.8150410950183868,26.985416181758048
851968,52,1682,506,46.40743350982666,0.010166191,-5.190746496245265,0.10445556640625,2.2866411209106445,-0.0021782366808565713,0.2,0.0001,510,0.8849480748176575,0.7975191622972488,34.54986606873572
868352,53,1717,505,57.71565127372742,0.011515534,-5.180812849849462,0.125543212890625,1.8873224258422852,-0.00010699226995711797,0.2,0.0001,520,0.8832348585128784,0.7032907903194427,54.30718730110675
884736,54,1751,505,40.379154205322266,0.0096870065,-5.177337649837137,0.105072021484375,1.2985446453094482,-0.0012170862356470024,0.2,0.0001,530,0.8829744458198547,0.7215826511383057,34.67074259603396
901120,55,1785,504,43.88419198989868,0.010314777,-5.175460655242205,0.13260498046875,4.054501533508301,-0.00022089561980465078,0.2,0.0001,540,0.8828142881393433,0.8153835386037827,7.786126579903066
917504,56,1818,504,48.83907508850098,0.010862634,-5.172782407701016,0.09710693359375,4.129246711730957,-0.001057329453578859,0.2,0.0001,550,0.8802047371864319,0.6517307162284851,30.93902100306004
933888,57,1851,504,74.54229021072388,0.014095426,-5.160085848346353,0.096588134765625,7.094509601593018,0.0004454210200037778,0.2,0.0001,560,0.8777297735214233,0.8287104815244675,34.45783917941153
950272,58,1884,504,36.44600987434387,0.010830039,-5.153024858608842,0.1033935546875,2.11466646194458,-0.0014569148052942182,0.2,0.0001,570,0.8777561187744141,0.7392591238021851,42.7040877148509
966656,59,1916,504,102.39454650878906,0.010732519,-5.138194700330496,0.106744384765625,3.1799404621124268,-0.0015390588161608321,0.2,0.0001,580,0.8722187876701355,0.7642502337694168,31.303173509053885
983040,60,1948,504,106.944331407547,0.011120673,-5.120438303425908,0.1203125,2.7458841800689697,-0.0008790626151494507,0.2,0.0001,590,0.8684905767440796,0.8028541058301926,32.29237958136946
999424,61,1981,504,58.22754764556885,0.008787516,-5.10450524687767,0.07806396484375,2.932410717010498,-0.0010586618014713166,0.2,0.0001,600,0.8668315410614014,0.8545013815164566,40.725615232996645
1015808,62,2014,504,41.31075620651245,0.012101066,-5.103873823583126,0.13782958984375,2.6483192443847656,-0.001344570151877633,0.2,0.0001,610,0.8670511245727539,0.8736582398414612,11.052546244021505
1032192,63,2049,503,53.631492614746094,0.015003268,-5.0937827683985235,0.139764404296875,3.5478813648223877,-0.0008209324996641953,0.2,0.0001,620,0.8621596693992615,0.6321341097354889,38.57063058502972
1048576,64,2084,502,57.35853910446167,0.011038849,-5.073310284689069,0.080084228515625,10.888651847839355,-0.0012434974448296999,0.2,0.0001,630,0.857962429523468,0.7653113603591919,37.81910021044314
1064960,65,2120,502,44.92597675323486,0.016946604,-5.060739740729332,0.142620849609375,1.9407984018325806,-0.0011090754937868041,0.2,0.0001,640,0.858000636100769,0.8242640495300293,39.35650886269286
1081344,66,2155,501,104.11230111122131,0.008413801,-5.053670127689839,0.076092529296875,8.35882568359375,-0.0019940008583034796,0.2,0.0001,650,0.8532571196556091,0.730705976486206,26.783999483659862
1097728,67,2191,500,47.59788274765015,0.010600873,-5.035288190096617,0.120458984375,7.32086706161499,-0.0010229444582364523,0.2,0.0001,660,0.8513473272323608,0.7318236529827118,31.97036640830338
1114112,68,2225,500,23.64027237892151,0.010366606,-5.022378186881542,0.123016357421875,127.49467468261719,-3.84951753403584e-05,0.2,0.0001,670,0.8477432727813721,0.5232084095478058,54.70237397495657
1130496,69,2261,499,61.604938983917236,0.0106109725,-5.012179493904114,0.127960205078125,73.15715789794922,-0.0004592646477249218,0.2,0.0001,680,0.8458357453346252,0.6057607233524323,48.32159465346486
1146880,70,2295,499,65.32380628585815,0.008081643,-5.000036182999611,0.06290283203125,3.1720099449157715,-0.0009643600454182887,0.2,0.0001,690,0.8432889580726624,0.7144888639450073,58.188910365104675
1163264,71,2330,499,8.136265277862549,0.009434128,-4.988919272273779,0.090887451171875,2.637868642807007,-7.886354533184203e-05,0.2,0.0001,700,0.8411701917648315,0.692783385515213,54.46404567435384
