time/time_elapsed,rew_vec_envs,time/iterations,time/fps,time/total_timesteps,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/std,train/n_updates,train/learning_rate,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss
3702,122.45174932479858,96,424,1572864,0.7670172899961472,0.091973876953125,0.2,188.39264416843653,0.6986339092254639,950,0.0001,16.795452117919922,-4.193142364174127,0.008469105,-0.0015957429584886995
3738,64.82885575294495,97,425,1589248,0.6128356456756592,0.042724609375,0.2,240.01764846146108,0.6992699503898621,960,0.0001,38.06951141357422,-4.190733165293932,0.005934434,-0.0014631540187110658
3778,34.23953723907471,98,424,1605632,0.6656925082206726,0.058270263671875,0.2,233.00206480920315,0.6988298892974854,970,0.0001,33.48232650756836,-4.195319118350744,0.007069064,-0.0016690718428435502
3818,114.13133192062378,99,424,1622016,0.6376870572566986,0.073876953125,0.2,240.08799833357335,0.7004924416542053,980,0.0001,112.05107879638672,-4.19945810213685,0.0087197395,-0.0014208487277755921
3857,130.51743173599243,100,424,1638400,0.7455197274684906,0.0553955078125,0.2,172.26946147978305,0.6994282603263855,990,0.0001,29.7878360748291,-4.203079013898969,0.007895725,-0.001787946845342958
3896,187.3496994972229,101,424,1654784,0.6783255040645599,0.055841064453125,0.2,207.4544412970543,0.7022606730461121,1000,0.0001,40.98076248168945,-4.2050378456711766,0.008066786,-0.001940838017344504
3937,181.13505458831787,102,424,1671168,0.6983686685562134,0.071026611328125,0.2,251.24709376692772,0.7008793354034424,1010,0.0001,85.95600891113281,-4.2099732615053655,0.008592524,-0.0031153470756180466
3974,209.44091272354126,103,424,1687552,0.7128431499004364,0.05921630859375,0.2,253.3774240165949,0.6997334361076355,1020,0.0001,71.58149719238281,-4.202755801007152,0.006845822,-0.0032397895017311383
4014,229.87897539138794,104,424,1703936,0.7309814095497131,0.045526123046875,0.2,241.4061414271593,0.6998809576034546,1030,0.0001,57.277748107910156,-4.203923779726028,0.0055117207,-0.0017427232133741199
4054,218.1017005443573,105,424,1720320,0.6954865753650665,0.045867919921875,0.2,340.14610216617587,0.6988959312438965,1040,0.0001,68.57901000976562,-4.20192820392549,0.0063956683,-0.002343395467232767
4093,99.92414379119873,106,424,1736704,0.7249375581741333,0.05338134765625,0.2,267.96262590289115,0.6953063607215881,1050,0.0001,60.586700439453125,-4.192605575919151,0.006600413,-0.002759061877441127
4131,161.61922073364258,107,424,1753088,0.7148389220237732,0.05384521484375,0.2,264.30201065540314,0.6945488452911377,1060,0.0001,116.89108276367188,-4.1778408221900465,0.006122411,-0.0022778046008625095
4169,175.488751411438,108,424,1769472,0.7586188018321991,0.0471435546875,0.2,259.6393658339977,0.6932971477508545,1070,0.0001,76.71321868896484,-4.171994563192129,0.006256406,-0.002782168368139537
4212,155.1013059616089,109,423,1785856,0.6868283450603485,0.046978759765625,0.2,294.4190274178982,0.6888618469238281,1080,0.0001,49.535037994384766,-4.154705310985446,0.00693514,-0.0027618869051366348
4254,189.3523030281067,110,423,1802240,0.6821555495262146,0.049005126953125,0.2,361.03208773732183,0.6874716281890869,1090,0.0001,64.7738265991211,-4.137036009132862,0.0063774474,-0.002372878165533621
4292,87.63491773605347,111,423,1818624,0.7469983100891113,0.065625,0.2,277.1743038535118,0.6875048279762268,1100,0.0001,67.32292175292969,-4.133401299268007,0.008250218,-0.0028561420578625983
4333,151.14624452590942,112,423,1835008,0.801660493016243,0.0604736328125,0.2,224.15409420132636,0.6862902641296387,1110,0.0001,86.6349105834961,-4.12776185721159,0.006566516,-0.002652591878177191
4373,74.07433032989502,113,423,1851392,0.7886454910039902,0.0409423828125,0.2,276.8040305048227,0.6824010610580444,1120,0.0001,83.73221588134766,-4.113272954896092,0.0054390095,-0.0014784468598918465
4412,132.24556350708008,114,423,1867776,0.8110388964414597,0.04752197265625,0.2,226.3110333651304,0.6804111003875732,1130,0.0001,32.890804290771484,-4.095369774848223,0.006045279,-0.0017076844728762808
4451,103.42893505096436,115,423,1884160,0.7930731326341629,0.06744384765625,0.2,232.0795493632555,0.6785635352134705,1140,0.0001,40.45137023925781,-4.083754458650946,0.0073148715,-0.0020140659649769076
4491,23.65808367729187,116,423,1900544,0.7535918653011322,0.045867919921875,0.2,391.992357724905,0.6769492030143738,1150,0.0001,88.183349609375,-4.074875726923347,0.0075454945,-0.002162777886269396
4532,99.7066478729248,117,422,1916928,0.7775459736585617,0.07506103515625,0.2,284.17578807771207,0.6766135692596436,1160,0.0001,65.76622009277344,-4.069761957600713,0.008071476,-0.00012186141248093918
4570,110.48124074935913,118,423,1933312,0.7281779050827026,0.04571533203125,0.2,433.92284886837007,0.6765215396881104,1170,0.0001,192.3175048828125,-4.068493144214154,0.005567969,-0.0020997263472963823
4607,170.0155680179596,119,423,1949696,0.818012923002243,0.066650390625,0.2,204.5384235262871,0.6767726540565491,1180,0.0001,81.27943420410156,-4.066640623658896,0.00840451,-0.0018777665733068715
4647,62.966570138931274,120,423,1966080,0.7793434262275696,0.063018798828125,0.2,234.40631912648678,0.6728473901748657,1190,0.0001,124.52283477783203,-4.056416382640601,0.0067998096,-0.002888449130296067
4686,127.91096806526184,121,422,1982464,0.7307994365692139,0.063153076171875,0.2,301.4350591570139,0.6699538230895996,1200,0.0001,78.74608612060547,-4.037729012221098,0.008246919,-0.002416066290879826
4727,212.0038022994995,122,422,1998848,0.7864813506603241,0.05386962890625,0.2,241.94926328361035,0.6688125133514404,1210,0.0001,67.44207763671875,-4.02413282468915,0.0072830804,-0.0017796451507820165
4768,163.91986846923828,123,422,2015232,0.7352893650531769,0.040582275390625,0.2,345.67130135297776,0.6659544110298157,1220,0.0001,80.3663101196289,-4.013786608725786,0.0056313938,-0.002016808460211905
