rew_vec_envs,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/policy_gradient_loss,train/std,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/value_loss
1.7194852,,,,,,,,,,,,,,,
2.2735348,,,,,,,,,,,,,,,
3.1457763,,,,,,,,,,,,,,,
3.6292465,,,,,,,,,,,,,,,
1.7764764,,,,,,,,,,,,,,,
2.1597474,,,,,,,,,,,,,,,
2.1897497,,,,,,,,,,,,,,,
2.5244603,,,,,,,,,,,,,,,
2.529937,,,,,,,,,,,,,,,
1.8760885,,,,,,,,,,,,,,,
2.1901186,,,,,,,,,,,,,,,
2.850088,,,,,,,,,,,,,,,
2.6612647,,,,,,,,,,,,,,,
1.5354704,,,,,,,,,,,,,,,
1.5509872,,,,,,,,,,,,,,,
2.385422,,,,,,,,,,,,,,,
2.4178314,,,,,,,,,,,,,,,
1.686835,,,,,,,,,,,,,,,
1.179747,,,,,,,,,,,,,,,
1.6314976,,,,,,,,,,,,,,,
2.7127192,,,,,,,,,,,,,,,
2.9217148,,,,,,,,,,,,,,,
2.6585953,,,,,,,,,,,,,,,
1.0754471,,,,,,,,,,,,,,,
1.8311875,,,,,,,,,,,,,,,
35.107525,,,,,,,,,,,,,,,
2.1629438,,,,,,,,,,,,,,,
2.0843525,,,,,,,,,,,,,,,
2.1443627,,,,,,,,,,,,,,,
2.8351912,,,,,,,,,,,,,,,
3.3033335,,,,,,,,,,,,,,,
160.98174,,,,,,,,,,,,,,,
2.290331,,,,,,,,,,,,,,,
2.681057,,,,,,,,,,,,,,,
2.9542994,,,,,,,,,,,,,,,
2.7758703,,,,,,,,,,,,,,,
1.5585597,,,,,,,,,,,,,,,
1.8995993,,,,,,,,,,,,,,,
1.8792447,,,,,,,,,,,,,,,
2.4812608,,,,,,,,,,,,,,,
2.12082,,,,,,,,,,,,,,,
1.8847951,,,,,,,,,,,,,,,
1.9155512,,,,,,,,,,,,,,,
1.7905614,,,,,,,,,,,,,,,
2.3276188,,,,,,,,,,,,,,,
2.2273052,,,,,,,,,,,,,,,
2.1224606,,,,,,,,,,,,,,,
2.0016956,,,,,,,,,,,,,,,
1.3943194,,,,,,,,,,,,,,,
,7,610,2523136,750,,,,,,,,,,,
2.4466877,,,,,0.0001,-0.0010669441089703469,0.8974612355232239,71098.0625,540,0.16882455348968506,-5.245123578235507,0.0031713585,0.2,0.00623321533203125,110358.19469852447
1.8975608,,,,,,,,,,,,,,,
2.6353137,,,,,,,,,,,,,,,
1.9853885,,,,,,,,,,,,,,,
2.107879,,,,,,,,,,,,,,,
162.23514,,,,,,,,,,,,,,,
2.2574868,,,,,,,,,,,,,,,
1.9214846,,,,,,,,,,,,,,,
2.2228155,,,,,,,,,,,,,,,
2.8339643,,,,,,,,,,,,,,,
2.344602,,,,,,,,,,,,,,,
2.0172033,,,,,,,,,,,,,,,
2.616044,,,,,,,,,,,,,,,
2.6604247,,,,,,,,,,,,,,,
2.9327207,,,,,,,,,,,,,,,
2.877686,,,,,,,,,,,,,,,
2.0155754,,,,,,,,,,,,,,,
2.2013607,,,,,,,,,,,,,,,
2.7687407,,,,,,,,,,,,,,,
2.0238276,,,,,,,,,,,,,,,
2.00599,,,,,,,,,,,,,,,
2.4992456,,,,,,,,,,,,,,,
2.8766847,,,,,,,,,,,,,,,
2.703125,,,,,,,,,,,,,,,
2.774541,,,,,,,,,,,,,,,
2.191811,,,,,,,,,,,,,,,
3.1411767,,,,,,,,,,,,,,,
1.8724756,,,,,,,,,,,,,,,
2.107823,,,,,,,,,,,,,,,
2.4036205,,,,,,,,,,,,,,,
2.2376218,,,,,,,,,,,,,,,
2.316604,,,,,,,,,,,,,,,
2.494007,,,,,,,,,,,,,,,
2.9993625,,,,,,,,,,,,,,,
2.963773,,,,,,,,,,,,,,,
1.7157056,,,,,,,,,,,,,,,
1.511246,,,,,,,,,,,,,,,
2.1912785,,,,,,,,,,,,,,,
2.5106673,,,,,,,,,,,,,,,
2.6055555,,,,,,,,,,,,,,,
2.367099,,,,,,,,,,,,,,,
1.6841393,,,,,,,,,,,,,,,
2.5005074,,,,,,,,,,,,,,,
2.9675295,,,,,,,,,,,,,,,
2.6355991,,,,,,,,,,,,,,,
2.6298156,,,,,,,,,,,,,,,
1.4974816,,,,,,,,,,,,,,,
2.3334887,,,,,,,,,,,,,,,
2.0755885,,,,,,,,,,,,,,,
2.407653,,,,,,,,,,,,,,,
2.214777,,,,,,,,,,,,,,,
2.193409,,,,,,,,,,,,,,,
3.193696,,,,,,,,,,,,,,,
2.638129,,,,,,,,,,,,,,,
2.4829547,,,,,,,,,,,,,,,
1.5458357,,,,,,,,,,,,,,,
1.3890213,,,,,,,,,,,,,,,
1.9299461,,,,,,,,,,,,,,,
2.0640106,,,,,,,,,,,,,,,
1.9740356,,,,,,,,,,,,,,,
1.6527742,,,,,,,,,,,,,,,
2.7983851,,,,,,,,,,,,,,,
1.9175098,,,,,,,,,,,,,,,
2.4895566,,,,,,,,,,,,,,,
,8,698,2588672,751,,,,,,,,,,,
2.5543308,,,,,0.0001,-0.0006587589672562899,0.896830677986145,72978.765625,550,0.1309875249862671,-5.240272500365973,0.001993915,0.2,0.0014556884765625,146839.59099121095
2.0043073,,,,,,,,,,,,,,,
2.5117266,,,,,,,,,,,,,,,
2.3716364,,,,,,,,,,,,,,,
2.0439403,,,,,,,,,,,,,,,
2.1350224,,,,,,,,,,,,,,,
2.2790232,,,,,,,,,,,,,,,
2.3404078,,,,,,,,,,,,,,,
2.324839,,,,,,,,,,,,,,,
2.7458348,,,,,,,,,,,,,,,
2.97902,,,,,,,,,,,,,,,
2.6630986,,,,,,,,,,,,,,,
2.0428247,,,,,,,,,,,,,,,
2.720972,,,,,,,,,,,,,,,
2.7263107,,,,,,,,,,,,,,,
2.0123725,,,,,,,,,,,,,,,
1.4523578,,,,,,,,,,,,,,,
1.8408512,,,,,,,,,,,,,,,
2.247785,,,,,,,,,,,,,,,
2.919945,,,,,,,,,,,,,,,
2.233677,,,,,,,,,,,,,,,
1.8356059,,,,,,,,,,,,,,,
2.1515331,,,,,,,,,,,,,,,
2.0978658,,,,,,,,,,,,,,,
1.6132141,,,,,,,,,,,,,,,
2.2233992,,,,,,,,,,,,,,,
2.188095,,,,,,,,,,,,,,,
3.512999,,,,,,,,,,,,,,,
2.2772913,,,,,,,,,,,,,,,
2.0687423,,,,,,,,,,,,,,,
2.377147,,,,,,,,,,,,,,,
2.1371064,,,,,,,,,,,,,,,
2.7922103,,,,,,,,,,,,,,,
2.5149038,,,,,,,,,,,,,,,
1.4186943,,,,,,,,,,,,,,,
1.8566672,,,,,,,,,,,,,,,
2.153923,,,,,,,,,,,,,,,
2.1045406,,,,,,,,,,,,,,,
2.4724188,,,,,,,,,,,,,,,
2.0488167,,,,,,,,,,,,,,,
97.04963,,,,,,,,,,,,,,,
2.217803,,,,,,,,,,,,,,,
66.17973,,,,,,,,,,,,,,,
2.3108654,,,,,,,,,,,,,,,
2.657996,,,,,,,,,,,,,,,
1.6194706,,,,,,,,,,,,,,,
2.2065213,,,,,,,,,,,,,,,
129.04135,,,,,,,,,,,,,,,
2.3823261,,,,,,,,,,,,,,,
161.12341,,,,,,,,,,,,,,,
1.9024132,,,,,,,,,,,,,,,
2.6554286,,,,,,,,,,,,,,,
3.5914655,,,,,,,,,,,,,,,
2.181679,,,,,,,,,,,,,,,
2.4974184,,,,,,,,,,,,,,,
3.0298345,,,,,,,,,,,,,,,
1.9463063,,,,,,,,,,,,,,,
1.9816442,,,,,,,,,,,,,,,
1.7250717,,,,,,,,,,,,,,,
2.192704,,,,,,,,,,,,,,,
2.639823,,,,,,,,,,,,,,,
1.9842474,,,,,,,,,,,,,,,
2.5511808,,,,,,,,,,,,,,,
1.7637318,,,,,,,,,,,,,,,
,9,784,2654208,751,,,,,,,,,,,
2.4381356,,,,,0.0001,-0.0008357156953934464,0.8961753845214844,17203.26953125,560,0.1700589656829834,-5.237433660030365,0.002202195,0.2,0.004736328125,136046.28828887938
2.0795524,,,,,,,,,,,,,,,
2.5333807,,,,,,,,,,,,,,,
1.7243991,,,,,,,,,,,,,,,
1.7291379,,,,,,,,,,,,,,,
2.0497181,,,,,,,,,,,,,,,
2.0324278,,,,,,,,,,,,,,,
2.5715923,,,,,,,,,,,,,,,
1.6370287,,,,,,,,,,,,,,,
2.7546134,,,,,,,,,,,,,,,
2.8315399,,,,,,,,,,,,,,,
2.485476,,,,,,,,,,,,,,,
2.3735452,,,,,,,,,,,,,,,
1.8418025,,,,,,,,,,,,,,,
3.4605587,,,,,,,,,,,,,,,
2.7884946,,,,,,,,,,,,,,,
2.3727937,,,,,,,,,,,,,,,
2.9554029,,,,,,,,,,,,,,,
2.939002,,,,,,,,,,,,,,,
225.3171,,,,,,,,,,,,,,,
2.2969532,,,,,,,,,,,,,,,
34.291378,,,,,,,,,,,,,,,
1.6019119,,,,,,,,,,,,,,,
1.848558,,,,,,,,,,,,,,,
257.20374,,,,,,,,,,,,,,,
2.2068913,,,,,,,,,,,,,,,
2.6975374,,,,,,,,,,,,,,,
2.1737394,,,,,,,,,,,,,,,
2.8792624,,,,,,,,,,,,,,,
2.8935046,,,,,,,,,,,,,,,
1.6104312,,,,,,,,,,,,,,,
1.6968971,,,,,,,,,,,,,,,
1.6914058,,,,,,,,,,,,,,,
3.1111274,,,,,,,,,,,,,,,
3.1871672,,,,,,,,,,,,,,,
