time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,time/fps,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/std
688128,1024.4746780395508,767,28,896,0.2,0.08783365885416666,260.19210494359334,73.34953308105469,-4.869514578580857,0.6475552320480347,0.008663994,0.001,-0.0083781256582976,270,0.8174386024475098
712704,851.6954447428385,797,29,893,0.2,0.09312744140625,525.6738825480144,159.8611602783203,-4.855246138572693,0.5115135014057159,0.008179604,0.001,-0.00713702222177138,280,0.8144122362136841
737280,940.2881876627604,828,30,889,0.2,0.08587239583333334,371.78383356730143,114.43446350097656,-4.835506657759349,0.6143787205219269,0.0095378,0.001,-0.008477326739618244,290,0.8099745512008667
761856,1001.7267634073893,858,31,887,0.2,0.07246907552083333,570.5514637629191,134.87838745117188,-4.822137836615244,0.574121743440628,0.00753759,0.001,-0.0076519744237884876,300,0.8080413937568665
786432,1116.7676645914714,888,32,885,0.2,0.08983968098958334,476.3675391515096,165.73167419433594,-4.799708386262258,0.6094913482666016,0.008428424,0.001,-0.00867430971217497,310,0.8017627000808716
811008,999.4246699015299,919,33,882,0.2,0.08585611979166667,571.2375910441081,139.95811462402344,-4.774512984355291,0.514933168888092,0.008629674,0.001,-0.00898862400596651,320,0.7977689504623413
835584,1086.0168762207031,949,34,879,0.2,0.09444986979166667,432.72081820170087,118.90054321289062,-4.763215432564418,0.5573479235172272,0.008548585,0.001,-0.009411944686629188,330,0.7971844673156738
860160,1109.8849843343098,982,35,875,0.2,0.10122477213541667,468.17469113667806,176.06719970703125,-4.734217737118403,0.5122805833816528,0.010489114,0.001,-0.008494668352068403,340,0.7896153926849365
884736,1094.719841003418,1013,36,873,0.2,0.09806315104166667,521.9520077387492,265.2048645019531,-4.712241075436274,0.5692038536071777,0.008926746,0.001,-0.008870432924595661,350,0.7859569787979126
909312,1140.6646423339844,1046,37,869,0.2,0.10427652994791667,474.5096388498942,81.60669708251953,-4.700387660662333,0.5221074819564819,0.009871385,0.001,-0.009346544586393671,360,0.7848856449127197
