time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/std,train/entropy_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate
561,7405568,-4677.390975952148,2334,40,0.27411168813705444,-0.46750976536422967,2981.6584062576294,0.2309295654296875,0.02431807,0.9325104132294655,0.2,-0.009463178329315269,636.9869995117188,2250,0.001
560,7438336,-4672.841461181641,2396,41,0.2732998728752136,-0.4604316996410489,3612.3535648345946,0.226849365234375,0.024709519,0.9219171404838562,0.2,-0.010950147173934966,1071.0137939453125,2260,0.001
559,7471104,-4798.490417480469,2461,42,0.27241581678390503,-0.445174733735621,3046.153035449982,0.2450653076171875,0.029761817,0.9204482063651085,0.2,-0.011352334670300479,643.6082763671875,2270,0.001
558,7503872,-4518.828994750977,2523,43,0.2720932364463806,-0.4374208362773061,3082.7702716827393,0.2431304931640625,0.024961723,0.9255848377943039,0.2,-0.011536722933669807,723.0736694335938,2280,0.001
557,7536640,-4368.387435913086,2587,44,0.2714294195175171,-0.4290141208097339,3245.113147354126,0.232806396484375,0.025819518,0.9311482012271881,0.2,-0.010894384344283026,659.2667236328125,2290,0.001
555,7569408,-4747.652236938477,2652,45,0.2709053158760071,-0.4238315887749195,3283.7129814147947,0.2211181640625,0.023946073,0.9304376244544983,0.2,-0.011246089121050318,577.8533935546875,2300,0.001
554,7602176,-4761.665832519531,2719,46,0.26939135789871216,-0.40306694656610487,3126.3150408744814,0.2474700927734375,0.0291619,0.9303476214408875,0.2,-0.010408761056169169,693.7978515625,2310,0.001
552,7634944,-4802.6053466796875,2786,47,0.26794639229774475,-0.3815026763826609,3419.97123632431,0.2245880126953125,0.0239827,0.9280063137412071,0.2,-0.010992211253324058,555.0137329101562,2320,0.001
552,7667712,-4658.477035522461,2847,48,0.26719778776168823,-0.36906154081225395,2856.4571365356446,0.2513427734375,0.027801558,0.934812530875206,0.2,-0.009734827160355054,699.9466552734375,2330,0.001
551,7700480,-4851.2003173828125,2911,49,0.2661311626434326,-0.35281348433345555,3796.2263391494753,0.22706298828125,0.024347482,0.9252307638525963,0.2,-0.012525064092915272,695.4552001953125,2340,0.001
550,7733248,-4497.383148193359,2974,50,0.26564091444015503,-0.34217494204640386,3937.762351989746,0.2210723876953125,0.0215279,0.9185101240873337,0.2,-0.01250548319076188,883.7940673828125,2350,0.001
550,7766016,-4587.854339599609,3036,51,0.26572269201278687,-0.3387994496151805,3140.4872102737427,0.255889892578125,0.03081032,0.9344209507107735,0.2,-0.009179774115182227,684.0762939453125,2360,0.001
549,7798784,-4573.253463745117,3101,52,0.2645717263221741,-0.3286470418795943,3245.5599563598635,0.2315582275390625,0.025212083,0.9214658364653587,0.2,-0.012061396817443892,772.659423828125,2370,0.001
547,7831552,-4641.706878662109,3169,53,0.264294296503067,-0.3230543941259384,3380.621811771393,0.235076904296875,0.022978399,0.9317486807703972,0.2,-0.011520318592010881,576.4804077148438,2380,0.001
546,7864320,-4590.756729125977,3237,54,0.2638217806816101,-0.3165877087041736,3405.1403778076174,0.2354827880859375,0.023974814,0.9242631867527962,0.2,-0.01055384897190379,822.1741333007812,2390,0.001
545,7897088,-4591.755828857422,3305,55,0.2637408971786499,-0.3101378008723259,3339.6861820220947,0.2306488037109375,0.02322757,0.9273879453539848,0.2,-0.010871327640052187,713.7977905273438,2400,0.001
544,7929856,-4468.909423828125,3371,56,0.2632142901420593,-0.30631743352860213,3278.2806288719175,0.2552520751953125,0.027717806,0.9169863760471344,0.2,-0.010506187307328219,585.425537109375,2410,0.001
542,7962624,-4701.400680541992,3440,57,0.2620088458061218,-0.2903973288834095,2934.1891544342043,0.264654541015625,0.029839423,0.9239508807659149,0.2,-0.009649681962400791,465.99072265625,2420,0.001
541,7995392,-4661.243377685547,3510,58,0.2608417868614197,-0.27542015723884106,3317.933433151245,0.245941162109375,0.02852415,0.9208969920873642,0.2,-0.011560203614499187,462.339599609375,2430,0.001
539,8028160,-4670.157119750977,3583,59,0.259860634803772,-0.25704245995730163,3416.2153560638426,0.25079345703125,0.026681202,0.9227172136306763,0.2,-0.011778879131816212,522.7052612304688,2440,0.001
537,8060928,-4715.3685302734375,3656,60,0.2601819634437561,-0.2546530544757843,3697.995520591736,0.2315704345703125,0.025395647,0.9167656153440475,0.2,-0.011357799213874387,968.7523193359375,2450,0.001
536,8093696,-4770.417419433594,3726,61,0.2591426968574524,-0.24814934507012368,3559.5723645210264,0.2449188232421875,0.026476244,0.9147394150495529,0.2,-0.009483010242547607,610.1170043945312,2460,0.001
534,8126464,-4659.867340087891,3801,62,0.25787365436553955,-0.22840206362307072,3267.4692038536073,0.2572998046875,0.032870736,0.9230003207921982,0.2,-0.01005145141898538,647.3030395507812,2470,0.001
