agent_id,elapsed_time,rew_closing_distance,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,approaching,chasing,in_range,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[mission_complete],info[out_of_bounds],info[timeover]
7,3.15,0.0,0.0,0.0,0.0,1969.8189265505116,1.5706221562405511,0,1,0,0,0,0,0,0,0,0,0,0
9,3.15,0.020699807733312703,1.9102167746974834,5.588949330484457,0.0,3307.4269704054655,1.5705023847228559,1,1,0,0,0,0,0,0,0,0,0,0
10,3.15,0.0,0.0,5.465551816146021,0.0,3613.9032125032045,1.5716443292874254,1,0,0,0,0,0,0,0,0,0,0,0
11,3.15,0.030021127412531712,1.913688105949836,8.482935536251917,0.0,4767.293868362495,1.5676535746199802,1,1,0,0,0,0,0,0,0,0,0,0
12,3.15,0.03397533178509082,1.9131937371181298,6.588597760118179,0.0,4564.9113737960715,1.5680586559513525,1,1,0,0,0,0,0,0,0,0,0,0
14,3.15,0.017185748675832002,1.9114524231194137,1.3566914604357885,0.0,2992.819370167394,1.5694871416700606,1,1,0,0,0,0,0,0,0,0,0,0
15,3.15,0.0,0.0,0.0,0.0,1374.7278153980833,1.570546350764444,0,1,0,0,0,0,0,0,0,0,0,0
16,3.15,0.037140310768718265,1.9130648178126117,10.072777853418346,0.0,3931.9883475383003,1.5681643256762121,1,1,0,0,0,0,0,0,0,0,0,0
17,3.15,0.0,0.0,16.79385618812067,0.0,4689.3353801579515,1.574588386944042,1,0,0,0,0,0,0,0,0,0,0,0
18,3.15,0.021845770557730404,1.9099323054794068,6.987358865964031,0.0,4235.758570723979,1.570736298555345,1,1,0,0,0,0,0,0,0,0,0,0
0,3.158333333333333,0.01016877711521813,1.9104672861910559,2.252166970958507,0.3593461103714397,3438.0523539523915,1.5702964513886921,1,1,1,0,0,0,0,0,0,0,0,0
1,3.158333333333333,0.0,0.0,6.472360729066672,0.0,5053.682125697968,1.5708592989092036,1,0,0,0,0,0,0,0,0,0,0,0
2,3.158333333333333,0.012203300291604435,1.9106150094919296,1.4153299993261879,0.0,1644.4980973033025,1.5701750405476818,1,1,0,0,0,0,0,0,0,0,0,0
3,3.158333333333333,0.0,0.0,6.408757096778057,0.0,4141.408741149384,1.5708565093442608,1,0,0,0,0,0,0,0,0,0,0,0
4,3.158333333333333,0.005356764975190442,1.9103173557012438,1.3683383881367677,0.0,1758.9403713739919,1.5704196954745002,1,1,0,0,0,0,0,0,0,0,0,0
5,3.158333333333333,0.0,0.0,11.441269694320447,0.0,3027.4392557063984,1.5721366123240783,1,0,0,0,0,0,0,0,0,0,0,0
6,3.158333333333333,0.004788719190916391,1.9104642387123065,1.6225952916999737,0.0,1979.3843881959467,1.5702989562484895,1,1,0,0,0,0,0,0,0,0,0,0
7,3.158333333333333,0.0,0.0,0.0,0.0,1969.8189265505116,1.5706289208240583,0,1,0,0,0,0,0,0,0,0,0,0
9,3.158333333333333,0.020565853475913443,1.9101568758682164,5.371658675091674,0.0,3314.7293518099013,1.5705516326434819,1,1,0,0,0,0,0,0,0,0,0,0
10,3.158333333333333,0.0,0.0,5.593679993657104,0.0,3619.4968924968616,1.5716328626873304,1,0,0,0,0,0,0,0,0,0,0,0
11,3.158333333333333,0.029964534836286028,1.913669809293853,7.823197694265416,0.0,4777.060700400891,1.567668563004087,1,1,0,0,0,0,0,0,0,0,0,0
12,3.158333333333333,0.03381219758505161,1.9131907358446352,6.215486603416,0.0,4573.073863332917,1.5680611158069195,1,1,0,0,0,0,0,0,0,0,0,0
14,3.158333333333333,0.017262214853329017,1.91141320941781,1.0892532166826303,0.0,2995.837298808348,1.5695193405688341,1,1,0,0,0,0,0,0,0,0,0,0
15,3.158333333333333,0.0,0.0,0.0,0.0,1374.7278153980833,1.5705536695504232,0,1,0,0,0,0,0,0,0,0,0,0
16,3.158333333333333,0.03710669930620902,1.9130783444480197,10.433679450102247,0.0,3944.3722120321568,1.568153237794132,1,1,0,0,0,0,0,0,0,0,0,0
17,3.158333333333333,0.0,0.0,17.77323862322323,0.0,4707.108618781174,1.5746318661897383,1,0,0,0,0,0,0,0,0,0,0,0
18,3.158333333333333,0.02188863692564702,1.9099520439342923,7.437031123184455,0.0,4245.1274425280235,1.570720065735435,1,1,0,0,0,0,0,0,0,0,0,0
0,3.1666666666666665,0.009893849373423858,1.910447342575231,2.252166970958507,0.0,3442.2248621152985,1.5703128440881713,1,1,1,0,0,0,0,0,0,0,0,0
1,3.1666666666666665,0.0,0.0,6.472360729066672,0.0,5060.154486427035,1.570837552068843,1,0,0,0,0,0,0,0,0,0,0,0
2,3.1666666666666665,0.011502357867082758,1.9105557553405375,1.4153299993261879,0.0,1647.8354854158363,1.5702237381003727,1,1,0,0,0,0,0,0,0,0,0,0
3,3.1666666666666665,0.0,0.0,6.408757096778057,0.0,4147.817498246161,1.570821931080475,1,0,0,0,0,0,0,0,0,0,0,0
4,3.1666666666666665,0.004921623770412165,1.9103265008842214,1.3683383881367677,0.0,1762.2239578867832,1.5704121775054725,1,1,0,0,0,0,0,0,0,0,0,0
5,3.1666666666666665,0.0,0.0,11.441269694320447,0.0,3038.880525400719,1.5721896675858207,1,0,0,0,0,0,0,0,0,0,0,0
6,3.1666666666666665,0.003983907692817201,1.9104277141892598,1.6225952916999737,0.0,1982.9213951095287,1.570328978017956,1,1,0,0,0,0,0,0,0,0,0,0
7,3.1666666666666665,0.0,0.0,0.0,0.0,1969.8189265505116,1.570617976547255,0,1,0,0,0,0,0,0,0,0,0,0
9,3.1666666666666665,0.020495353168318076,1.9101055188695606,5.371658675091674,0.0,3322.031611357031,1.5705938600582974,1,1,0,0,0,0,0,0,0,0,0,0
10,3.1666666666666665,0.0,0.0,5.593679993657104,0.0,3625.0905724905188,1.5716433183418144,1,0,0,0,0,0,0,0,0,0,0,0
11,3.1666666666666665,0.029886753513604702,1.9137250647292425,7.823197694265416,0.0,4786.827509913399,1.5676232993397334,1,1,0,0,0,0,0,0,0,0,0,0
12,3.1666666666666665,0.033480657109512535,1.9131860684919504,6.215486603416,0.0,4581.236016661935,1.5680649412028804,1,1,0,0,0,0,0,0,0,0,0,0
14,3.1666666666666665,0.016996379118502603,1.9114460323246443,1.0892532166826303,0.0,2998.8549944364736,1.5694923891476489,1,1,0,0,0,0,0,0,0,0,0,0
15,3.1666666666666665,0.0,0.0,0.0,0.0,1374.7278153980833,1.5705448327530158,0,1,0,0,0,0,0,0,0,0,0,0
16,3.1666666666666665,0.03697402731391719,1.9130775600429768,10.433679450102247,0.0,3956.755943069616,1.5681538807724063,1,1,0,0,0,0,0,0,0,0,0,0
17,3.1666666666666665,0.0,0.0,17.77323862322323,0.0,4724.881857404397,1.5747151983238372,1,0,0,0,0,0,0,0,0,0,0,0
18,3.1666666666666665,0.022020816907131646,1.9099231560195993,7.437031123184455,0.0,4254.496417624135,1.5707438231453195,1,1,0,0,0,0,0,0,0,0,0,0
0,3.175,0.008976773029731988,1.9104263542684325,2.252166970958507,0.0,3446.3964322135553,1.570330095843345,1,1,1,0,0,0,0,0,0,0,0,0
