time/total_timesteps,rew_vec_envs,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/n_updates,train/value_loss,train/clip_range,train/std,train/explained_variance
1933312,405.03633308410645,59,2357,820,-3.838197369873524,0.001,0.012655977,-0.008084832568420098,0.1340087890625,93.87816619873047,580,516.5038429737091,0.2,0.6349252462387085,0.3803670406341553
1966080,441.03265857696533,60,2405,817,-3.815937925130129,0.001,0.011821539,-0.008848812188807642,0.1222747802734375,156.054443359375,590,521.0750534057618,0.2,0.6307718753814697,0.4301096200942993
1998848,430.6972303390503,61,2452,815,-3.7798177413642406,0.001,0.011052066,-0.00887350896227872,0.12266845703125,199.4176788330078,600,568.6464356899262,0.2,0.6263300180435181,0.36726731061935425
2031616,360.08483123779297,62,2497,813,-3.749278158694506,0.001,0.012579501,-0.008179242284677457,0.125701904296875,211.11477661132812,610,577.7838397502899,0.2,0.621303379535675,0.3381929397583008
2064384,465.4586868286133,63,2543,811,-3.725233130902052,0.001,0.012350322,-0.008084391003649216,0.1251617431640625,177.43421936035156,620,490.90598373413087,0.2,0.6167206764221191,0.3806803226470947
2097152,342.4180996417999,64,2588,810,-3.6810004860162735,0.001,0.010122627,-0.008336453646188602,0.114013671875,162.782470703125,630,523.4655702114105,0.2,0.6091228723526001,0.4504045248031616
2129920,355.4475154876709,65,2632,809,-3.6549245052039625,0.001,0.011059595,-0.00807909504728741,0.1275299072265625,177.06500244140625,640,460.34031810760496,0.2,0.6070612668991089,0.5118704736232758
2162688,346.7490248680115,66,2681,806,-3.626074654608965,0.001,0.011642713,-0.008143879282943089,0.1207000732421875,160.23167419433594,650,470.61103320121765,0.2,0.6013469696044922,0.4759649634361267
2195456,371.57553005218506,67,2732,803,-3.6047283202409743,0.001,0.01133731,-0.0070316023113264235,0.136712646484375,157.71067810058594,660,494.59814801216123,0.2,0.59872967004776,0.4725225567817688
2228224,398.2918281555176,68,2783,800,-3.585133517533541,0.001,0.012725324,-0.007251886108133476,0.1390655517578125,88.9695816040039,670,459.85564069747926,0.2,0.5967710018157959,0.4736105799674988
2260992,426.17384243011475,69,2833,798,-3.5577416628599168,0.001,0.012215865,-0.0074362069470225835,0.122552490234375,256.3566589355469,680,553.2844324588775,0.2,0.5913378000259399,0.4342108964920044
2293760,503.90646839141846,70,2884,795,-3.521570862829685,0.001,0.01394829,-0.0070779865665826945,0.1306976318359375,146.21685791015625,690,455.10357213020325,0.2,0.586941123008728,0.5260810256004333
2326528,339.11595010757446,71,2935,792,-3.490330804884434,0.001,0.014137816,-0.007873938695411198,0.1316986083984375,215.98263549804688,700,501.6100769042969,0.2,0.5820410251617432,0.5335018634796143
2359296,444.97288036346436,72,2988,789,-3.4497464686632155,0.001,0.010020891,-0.007938679655853775,0.1304473876953125,125.76599884033203,710,446.49519715309145,0.2,0.5760725736618042,0.540702760219574
2392064,457.4086208343506,73,3040,786,-3.4217794589698314,0.001,0.01151551,-0.008000131115113617,0.1127593994140625,301.52001953125,720,486.09207181930543,0.2,0.5720264911651611,0.5233160555362701
2424832,429.4262943267822,74,3091,784,-3.408035293966532,0.001,0.013145285,-0.007823924237163738,0.1407562255859375,118.05683135986328,730,462.6137868642807,0.2,0.5709186792373657,0.5996231138706207
2457600,460.9821939468384,75,3143,781,-3.385146140307188,0.001,0.011390244,-0.008205183409882012,0.1300811767578125,119.0632095336914,740,432.22664341926577,0.2,0.5665370225906372,0.6456857323646545
2490368,379.9079079627991,76,3194,779,-3.3677330553531646,0.001,0.014727096,-0.007435063204320613,0.149676513671875,129.54290771484375,750,436.35189599990844,0.2,0.5645264387130737,0.4692228436470032
2523136,383.9355459213257,77,3244,777,-3.354179398715496,0.001,0.010405185,-0.007517744986398611,0.14554443359375,183.449462890625,760,437.772101020813,0.2,0.5629727244377136,0.47798681259155273
2555904,478.92327880859375,78,3297,775,-3.33273940384388,0.001,0.011810146,-0.007432033760414925,0.130853271484375,91.90808868408203,770,469.37871942520144,0.2,0.5589948892593384,0.4697800874710083
2588672,485.7397184371948,79,3347,773,-3.3123312890529633,0.001,0.01010575,-0.008915985779458424,0.1185760498046875,104.44082641601562,780,439.05159254074096,0.2,0.5575056076049805,0.5012523233890533
2621440,419.41113901138306,80,3405,769,-3.2900602839887143,0.001,0.012710614,-0.007837038458819733,0.12750244140625,99.44227600097656,790,473.7976014137268,0.2,0.5539173483848572,0.5079369843006134
2654208,435.0040373802185,81,3454,768,-3.2640545189380648,0.001,0.011113679,-0.006814696977380663,0.1240478515625,171.742431640625,800,432.13935861587527,0.2,0.550049901008606,0.572438657283783
2686976,414.19818782806396,82,3501,767,-3.2425831206142903,0.001,0.014017998,-0.007100190389974159,0.14698486328125,140.25050354003906,810,445.538786816597,0.2,0.5485453605651855,0.534003496170044
2719744,429.12587547302246,83,3552,765,-3.228935041278601,0.001,0.0138411485,-0.00816434007647331,0.14468994140625,174.07923889160156,820,445.1208071708679,0.2,0.5460549592971802,0.5081618130207062
2752512,387.5442419052124,84,3602,764,-3.2135249204933642,0.001,0.009427058,-0.007271433374262415,0.125927734375,80.55011749267578,830,482.9989246368408,0.2,0.5431053638458252,0.5091136693954468
2785280,363.6458282470703,85,3653,762,-3.1884234331548216,0.001,0.013042432,-0.008136688675585901,0.13204345703125,160.89859008789062,840,492.17154636383054,0.2,0.5390323996543884,0.3971034288406372
2818048,391.45893573760986,86,3704,760,-3.1602790020406246,0.001,0.013792384,-0.006333360377902863,0.153741455078125,159.67642211914062,850,477.35294065475466,0.2,0.5363326072692871,0.42634135484695435
2850816,332.86817169189453,87,3765,757,-3.1482255935668944,0.001,0.0143113155,-0.008276480494168936,0.149810791015625,137.31781005859375,860,411.26352512836456,0.2,0.5345937013626099,0.5242386162281036
2883584,448.50597190856934,88,3819,754,-3.122331615537405,0.001,0.0137638645,-0.008190854345593834,0.13736572265625,147.30111694335938,870,438.67512221336364,0.2,0.5301156640052795,0.43735289573669434
2916352,441.4382963180542,89,3874,752,-3.1075412921607493,0.001,0.013460019,-0.006777858436544193,0.1663818359375,122.44634246826172,880,407.19123883247374,0.2,0.5298819541931152,0.4688602089881897
2949120,406.610068321228,90,3933,749,-3.110413636267185,0.001,0.016941309,-0.005927858878567349,0.1534881591796875,126.14453125,890,424.4182860851288,0.2,0.5303215980529785,0.4757716655731201
2981888,405.1012873649597,91,3986,748,-3.0834852285683154,0.001,0.011907984,-0.007706539397622692,0.130621337890625,139.72042846679688,900,478.8349230289459,0.2,0.525564432144165,0.440934956073761
3014656,441.50727558135986,92,4040,746,-3.0707259617745875,0.001,0.013124805,-0.0076232146166148596,0.1545501708984375,121.74266052246094,910,452.8710900306702,0.2,0.5242435932159424,0.4271273612976074
3047424,344.91644620895386,93,4095,744,-3.054786428809166,0.001,0.01491815,-0.00674886903980223,0.17271728515625,119.5938949584961,920,428.57356481552125,0.2,0.5221301317214966,0.46403032541275024
3080192,483.69627380371094,94,4147,742,-3.034510216861963,0.001,0.011034368,-0.0070601458355668,0.151763916015625,105.15729522705078,930,482.7973791122437,0.2,0.5190721154212952,0.4349786639213562
3112960,359.31891560554504,95,4197,741,-3.013720215111971,0.001,0.01695919,-0.007247858995106072,0.1605224609375,77.10994720458984,940,454.50477623939514,0.2,0.517103910446167,0.5133447349071503
3145728,384.53374576568604,96,4250,740,-3.0079926028847694,0.001,0.012263808,-0.006117809619172476,0.1556640625,73.86376190185547,950,411.91260905265807,0.2,0.5168458223342896,0.49344104528427124
3178496,394.5462017059326,97,4301,739,-2.9873538233339785,0.001,0.012240469,-0.00571525295599713,0.161669921875,102.94408416748047,960,472.4191565513611,0.2,0.5132882595062256,0.37968242168426514
3211264,443.422607421875,98,4354,737,-2.961189716309309,0.001,0.013985298,-0.007770026420621435,0.1589324951171875,74.49948120117188,970,428.5796075344086,0.2,0.5103219747543335,0.49518686532974243
3244032,345.46980381011963,99,4406,736,-2.9323174245655537,0.001,0.0162706,-0.007143935470230645,0.1465301513671875,111.90330505371094,980,463.52479152679444,0.2,0.506720781326294,0.4197205901145935
3276800,399.5027093887329,100,4458,734,-2.9115256026387213,0.001,0.017439805,-0.004714824317488819,0.1943450927734375,164.11871337890625,990,430.3353264093399,0.2,0.5038872361183167,0.43029940128326416
3309568,361.91107082366943,101,4512,733,-2.893614169955254,0.001,0.011786114,-0.00460239542517229,0.179864501953125,88.15684509277344,1000,414.6814699411392,0.2,0.5029088854789734,0.5454344749450684
3342336,371.82704401016235,102,4564,732,-2.8812255866825582,0.001,0.014615556,-0.0073446389964374244,0.1607818603515625,115.4895248413086,1010,444.2410881280899,0.2,0.5007814764976501,0.49540579319000244
3375104,367.9662375450134,103,4617,730,-2.8678676575422286,0.001,0.017122796,-0.004602072556008352,0.1822113037109375,100.12909698486328,1020,415.1695491075516,0.2,0.49960362911224365,0.5266458094120026
3407872,538.2784562110901,104,4670,729,-2.8508839935064314,0.001,0.013462802,-0.007829468410636763,0.1350799560546875,106.85939025878906,1030,483.45781993865967,0.2,0.4966995120048523,0.46104395389556885
3440640,580.0881500244141,105,4724,728,-2.8289489530026914,0.001,0.016554732,-0.007079577786498703,0.1721466064453125,127.2135009765625,1040,451.8387638092041,0.2,0.4942268133163452,0.5266487896442413
3473408,390.5426731109619,106,4777,727,-2.82957216873765,0.001,0.014077976,-0.006269837509898934,0.161639404296875,133.59146118164062,1050,483.2935673713684,0.2,0.4955969452857971,0.4316059947013855
3506176,412.53063917160034,107,4830,725,-2.823910091817379,0.001,0.0141365295,-0.005717070776881883,0.1737579345703125,86.48053741455078,1060,408.68004193305967,0.2,0.4931800663471222,0.5503135025501251
3538944,507.0641338825226,108,4883,724,-2.7981513142585754,0.001,0.019186899,-0.007306107709882781,0.1610260009765625,137.39442443847656,1070,415.2068901062012,0.2,0.4902384281158447,0.5441343486309052
3571712,436.0499105453491,109,4937,723,-2.780104450881481,0.001,0.016481863,-0.005549938795593334,0.18980712890625,83.58509826660156,1080,445.8546600341797,0.2,0.48764824867248535,0.5238230526447296
3604480,397.7394256591797,110,4991,722,-2.759497535973787,0.001,0.022513414,-0.004731755884859012,0.1839630126953125,150.26849365234375,1090,417.63101320266725,0.2,0.4857581555843353,0.5183836817741394
3637248,390.9005055427551,111,5045,720,-2.7375860147178175,0.001,0.016681895,-0.004514462070437731,0.184130859375,103.66899871826172,1100,485.0769843101501,0.2,0.4825151264667511,0.45168358087539673
3670016,401.7361726760864,112,5098,719,-2.7026619382202623,0.001,0.016798474,-0.007568792349047726,0.170880126953125,129.44776916503906,1110,367.72637913227084,0.2,0.47847050428390503,0.5730597078800201
3702784,375.21794056892395,113,5154,718,-2.6928089559078217,0.001,0.018803932,-0.004547597079363186,0.2058563232421875,121.30321502685547,1120,390.81583960056304,0.2,0.47711920738220215,0.5836227834224701
3735552,395.2233290672302,114,5209,717,-2.67922753021121,0.001,0.013395205,-0.006914984330069274,0.17918701171875,100.95589447021484,1130,467.7292973041534,0.2,0.47542804479599,0.4736361503601074
3768320,412.35608768463135,115,5264,715,-2.6564737975597383,0.001,0.016087873,-0.0052401854423806075,0.1932342529296875,103.6852798461914,1140,427.501639509201,0.2,0.4724733233451843,0.4820825457572937
3801088,367.52860593795776,116,5319,714,-2.631287517398596,0.001,0.016155358,-0.006099334412283497,0.16473388671875,107.43594360351562,1150,424.17022411823274,0.2,0.4697667956352234,0.5455818474292755
3833856,402.3055753707886,117,5377,712,-2.6062185972929,0.001,0.01556756,-0.007373154231754597,0.175140380859375,97.22803497314453,1160,402.8366072177887,0.2,0.466060072183609,0.5745750665664673
3866624,343.440269947052,118,5432,711,-2.571511822193861,0.001,0.02049101,-0.0057496127396007065,0.1966949462890625,84.74287414550781,1170,426.42437613010406,0.2,0.4621458351612091,0.5219217240810394
3899392,418.3191647529602,119,5489,710,-2.5550917267799376,0.001,0.014793957,-0.007214814222243149,0.185772705078125,79.28706359863281,1180,354.28629248142244,0.2,0.46129047870635986,0.5743961036205292
3932160,316.3284215927124,120,5544,709,-2.5381075628101826,0.001,0.013782883,-0.005801237258128822,0.1969085693359375,130.02574157714844,1190,459.705587720871,0.2,0.4592718482017517,0.555340439081192
3964928,453.5908679962158,121,5601,707,-2.531810290366411,0.001,0.023766685,-0.005550528018648038,0.1981414794921875,201.5243682861328,1200,415.8210550308228,0.2,0.45815399289131165,0.5895433723926544
3997696,400.799521446228,122,5658,706,-2.50230540856719,0.001,0.0152020585,-0.006963796935451683,0.184173583984375,146.19216918945312,1210,460.29707236289977,0.2,0.45394665002822876,0.48991280794143677
4030464,373.31608629226685,123,5714,705,-2.4891649574041366,0.001,0.021482544,-0.005379098159028217,0.2049896240234375,94.94635772705078,1220,373.1356432676315,0.2,0.4537021219730377,0.6035324037075043
