time/total_timesteps,time/fps,rew_vec_envs,time/iterations,time/time_elapsed,train/clip_range,train/explained_variance,train/std,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/n_updates,train/loss
1605632,899,-5216.421356201172,49,1784,0.2,0.9154885709285736,0.7368420362472534,-4.449653225392103,0.007528741,-0.006565389416573452,0.0747833251953125,2704.6040320396423,0.001,480,415.4352722167969
1638400,893,-4999.677307128906,50,1832,0.2,0.9292683005332947,0.7314057350158691,-4.407323616743088,0.0077736103,-0.006788589325879002,0.076776123046875,2661.6692011833193,0.001,490,536.7857055664062
1671168,887,-5185.085296630859,51,1882,0.2,0.9348220005631447,0.7202187776565552,-4.356758170574904,0.008602815,-0.006337130872998387,0.0768310546875,2345.894282627106,0.001,500,623.25830078125
1703936,880,-5379.232666015625,52,1935,0.2,0.9201608374714851,0.715162992477417,-4.310617619007826,0.0062292665,-0.006710245057911379,0.064892578125,3219.5248489379883,0.001,510,1386.688232421875
1736704,873,-5181.677093505859,53,1988,0.2,0.9398300610482693,0.7075014114379883,-4.266159993410111,0.0074029975,-0.006809515624991036,0.07430419921875,2303.659908771515,0.001,520,382.0703430175781
1769472,865,-5281.799713134766,54,2044,0.2,0.9359428882598877,0.7000957727432251,-4.22195705100894,0.007998629,-0.007360958148638019,0.087493896484375,1935.403092288971,0.001,530,269.1307373046875
1802240,858,-5176.656768798828,55,2098,0.2,0.9541226290166378,0.6959547400474548,-4.186045708507299,0.007083144,-0.0070677876508852934,0.0780548095703125,1917.739374732971,0.001,540,378.71563720703125
1835008,854,-5047.829803466797,56,2148,0.2,0.9537240602076054,0.6855336427688599,-4.136099463701248,0.008238416,-0.007154141376668121,0.079254150390625,2656.175140762329,0.001,550,704.48583984375
1867776,848,-4986.767364501953,57,2201,0.2,0.9557170756161213,0.6798998713493347,-4.087293588370085,0.0074564074,-0.006783848687337013,0.075665283203125,2485.556703567505,0.001,560,299.4001159667969
1900544,842,-5167.839874267578,58,2256,0.2,0.9383812099695206,0.6736360788345337,-4.049481945484876,0.00825815,-0.006841524776609731,0.08297119140625,2596.8541498184204,0.001,570,389.8096923828125
1933312,835,-5113.992340087891,59,2314,0.2,0.9610126577317715,0.663914144039154,-3.9901635687798263,0.008447589,-0.008190340793225915,0.095654296875,2043.3983058452607,0.001,580,269.309326171875
1966080,829,-5192.835968017578,60,2371,0.2,0.958481889218092,0.6588306427001953,-3.944369627162814,0.008168046,-0.007051842802684405,0.08343505859375,1460.3107031345367,0.001,590,698.1343383789062
1998848,823,-5094.50537109375,61,2426,0.2,0.9640226401388645,0.6515764594078064,-3.9006498493254185,0.009035232,-0.008198251633439213,0.0913543701171875,1605.142145013809,0.001,600,372.2786865234375
2031616,817,-4989.404815673828,62,2484,0.2,0.9549387209117413,0.6491680145263672,-3.8715452406555415,0.008424876,-0.006854029994792654,0.0828216552734375,1617.969989156723,0.001,610,463.83837890625
2064384,813,-5148.079986572266,63,2539,0.2,0.9677116386592388,0.6399791240692139,-3.8216767709702255,0.009067155,-0.009329309750319226,0.099102783203125,1333.2957853317262,0.001,620,312.83319091796875
2097152,808,-5098.84814453125,64,2595,0.2,0.9621866531670094,0.6351432204246521,-3.780000262707472,0.008037312,-0.007290636021571118,0.091839599609375,2029.8256731510162,0.001,630,353.07672119140625
2129920,802,-5159.024688720703,65,2655,0.2,0.9683932960033417,0.6264737844467163,-3.7228412460535765,0.009628756,-0.008535405938891927,0.1056365966796875,1591.6944778442382,0.001,640,251.82162475585938
2162688,796,-5090.457794189453,66,2714,0.2,0.9732843469828367,0.6190629005432129,-3.668722854182124,0.007977105,-0.0064273815911292335,0.084783935546875,1330.3547148227692,0.001,650,366.68841552734375
2195456,790,-5252.914489746094,67,2778,0.2,0.9631388373672962,0.6131247282028198,-3.6248678367584946,0.009484187,-0.007263678182061995,0.0963958740234375,1390.7634532928466,0.001,660,198.08380126953125
2228224,784,-5257.952133178711,68,2839,0.2,0.9690630286931992,0.605928897857666,-3.5725184701383115,0.009661624,-0.007494774959195638,0.0995758056640625,1465.8794756889342,0.001,670,347.8664245605469
2260992,778,-5064.599426269531,69,2903,0.2,0.957096766680479,0.6042187809944153,-3.5451499558985233,0.008374612,-0.006260243167344015,0.0936370849609375,2080.9438879966738,0.001,680,658.001220703125
2293760,772,-5092.917663574219,70,2967,0.2,0.95096480473876,0.5965231657028198,-3.5002626720815897,0.009095054,-0.0072876180132880105,0.1037353515625,1496.787279033661,0.001,690,317.09344482421875
2326528,766,-5049.946960449219,71,3035,0.2,0.9689779598265886,0.5901907086372375,-3.4459072537720203,0.009448371,-0.007631357181526255,0.10263671875,1313.0353771686555,0.001,700,371.2601318359375
2359296,759,-5124.968353271484,72,3106,0.2,0.9649725891649723,0.5825490951538086,-3.3982766598463057,0.009223541,-0.007840448675779044,0.098919677734375,1392.58999376297,0.001,710,215.0079803466797
2392064,753,-5046.718170166016,73,3175,0.2,0.9724588207900524,0.5778841972351074,-3.349931737035513,0.011408286,-0.008273990991801839,0.11470947265625,1233.5973635673522,0.001,720,320.3470153808594
2424832,746,-5028.669006347656,74,3248,0.2,0.9719617310911417,0.5736324787139893,-3.3153153717517854,0.009607676,-0.007544679411148536,0.1026336669921875,1219.543162727356,0.001,730,349.74505615234375
2457600,739,-5029.434539794922,75,3321,0.2,0.966089952737093,0.5684705376625061,-3.2749062813818455,0.009622005,-0.00724506187143561,0.11129150390625,1283.673097372055,0.001,740,359.4938049316406
2490368,733,-5119.496154785156,76,3397,0.2,0.9633301384747028,0.5632706880569458,-3.2317186418920754,0.009404182,-0.0064193449921731375,0.1004486083984375,1411.5184775829316,0.001,750,273.906005859375
2523136,726,-5075.563171386719,77,3473,0.2,0.9553860500454903,0.5567901134490967,-3.187996482104063,0.011095181,-0.006737676527700387,0.105120849609375,1463.066875743866,0.001,760,392.5925598144531
2555904,719,-5244.533721923828,78,3552,0.2,0.941609013825655,0.5540777444839478,-3.151187176257372,0.0091297105,-0.0064003939922258725,0.0979400634765625,1724.7887406349182,0.001,770,436.69476318359375
2588672,713,-4951.7210693359375,79,3628,0.2,0.9661874696612358,0.5494580268859863,-3.123286822810769,0.009319019,-0.0065643068915960615,0.101220703125,1346.462145280838,0.001,780,541.4550170898438
2621440,706,-5172.050231933594,80,3710,0.2,0.9625823833048344,0.5439627766609192,-3.0752045042812823,0.009922588,-0.007383055873651756,0.11959228515625,1268.1162954330443,0.001,790,216.36570739746094
2654208,700,-5336.376495361328,81,3790,0.2,0.9645321033895016,0.5390792489051819,-3.0350117798894645,0.009167413,-0.006922661531280028,0.1101959228515625,1375.4266889572143,0.001,800,334.228759765625
2686976,694,-5204.223846435547,82,3869,0.2,0.9706659559160471,0.5367769598960876,-3.005465051904321,0.011006458,-0.008284611781709828,0.1251861572265625,1176.5870096206665,0.001,810,315.86102294921875
2719744,688,-5024.253646850586,83,3951,0.2,0.9689500611275434,0.5322271585464478,-2.967207548767328,0.010655341,-0.008116278991292348,0.1214141845703125,1265.7201886177063,0.001,820,270.45721435546875
2752512,681,-5207.398223876953,84,4037,0.2,0.970349108800292,0.5278146266937256,-2.9309403520077466,0.01414636,-0.0071426764156058194,0.1246063232421875,1382.7915832519532,0.001,830,372.3689880371094
2785280,675,-5160.397796630859,85,4121,0.2,0.9655014686286449,0.5231121182441711,-2.891237435489893,0.010274552,-0.007852002098661614,0.114361572265625,1404.799826669693,0.001,840,386.663818359375
2818048,669,-5199.032135009766,86,4206,0.2,0.9703670274466276,0.518940269947052,-2.851554863154888,0.010686619,-0.007402865778567502,0.1160614013671875,1330.7984278678894,0.001,850,344.8528137207031
2850816,663,-4854.434616088867,87,4295,0.2,0.9564687199890614,0.5160925388336182,-2.8250141859054567,0.010963745,-0.00678120835145819,0.12979736328125,1405.1126177310944,0.001,860,296.0343933105469
