time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rew_vec_envs,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/loss,train/value_loss,train/explained_variance
1121,37,606208,540,177.767165184021,0.2,0.0001,360,-5.4395210728049275,0.9429143667221069,0.04691162109375,-0.0020420077233666233,0.005933361,508.4991760253906,1048.988322752714,0.46118539571762085
1151,38,622592,540,96.93673038482666,0.2,0.0001,370,-5.435832786932588,0.9421141743659973,0.05382080078125,-0.002452237952456926,0.0068962276,94.8951187133789,725.1825034752488,0.5628183484077454
1182,39,638976,540,144.99149179458618,0.2,0.0001,380,-5.421976650878787,0.9364100098609924,0.073162841796875,-0.0023227536651575066,0.00908886,49.36945724487305,496.8081312134862,0.6553410291671753
1214,40,655360,539,255.11716508865356,0.2,0.0001,390,-5.4090811859816315,0.9365363121032715,0.043634033203125,-0.0016363335476853535,0.006305229,353.5533752441406,591.2167882919312,0.6323734819889069
1245,41,671744,539,78.45448684692383,0.2,0.0001,400,-5.406992161646485,0.9353663921356201,0.04342041015625,-0.0020172362418634294,0.005866891,387.44647216796875,671.7233896374703,0.6182607114315033
1276,42,688128,538,127.11722230911255,0.2,0.0001,410,-5.401165421307087,0.9333317875862122,0.060186767578125,-0.0023884802272732485,0.0057678604,47.20629119873047,544.4646583467722,0.6494782567024231
1307,43,704512,538,65.71569538116455,0.2,0.0001,420,-5.3898237980902195,0.931086003780365,0.0421875,-0.0023508078043960267,0.0057109254,685.437255859375,829.3386726558208,0.6328141689300537
1338,44,720896,538,166.60984230041504,0.2,0.0001,430,-5.377699596434832,0.9282743334770203,0.0470947265625,-0.0020865696805230983,0.0059162695,121.42700958251953,715.350423836708,0.6111482083797455
1369,45,737280,538,138.55682039260864,0.2,0.0001,440,-5.36263688839972,0.9236576557159424,0.056817626953125,-0.0020930559272528625,0.0063303453,157.3260040283203,679.1850726157427,0.6276823878288269
1400,46,753664,538,62.610196113586426,0.2,0.0001,450,-5.347013573348522,0.9205214977264404,0.0537841796875,-0.0019142987973282289,0.0066211023,611.3565063476562,1026.547984701395,0.5891764760017395
1431,47,770048,537,176.482439994812,0.2,0.0001,460,-5.335415351763368,0.9183890223503113,0.042584228515625,-0.0009375244604598265,0.004670001,399.30828857421875,509.5904408812523,0.665128618478775
1463,48,786432,537,203.14259958267212,0.2,0.0001,470,-5.332206515222788,0.9198887348175049,0.048504638671875,-0.0025260618921038257,0.005804063,331.4193420410156,778.3494549155236,0.6558117568492889
1494,49,802816,537,240.19045448303223,0.2,0.0001,480,-5.334053773060441,0.9190108776092529,0.044873046875,-0.000994391444055509,0.005745632,83.36917877197266,788.4810193121433,0.5666190385818481
1524,50,819200,537,222.22272849082947,0.2,0.0001,490,-5.329168112576008,0.9174350500106812,0.046929931640625,-0.002260375675268733,0.0062157717,343.43756103515625,1613.861540365219,0.5046091675758362
1555,51,835584,537,125.5971508026123,0.2,0.0001,500,-5.312231291085482,0.9127691984176636,0.06488037109375,-0.002242936722905142,0.006417929,750.7509155273438,868.0731300532818,0.44379281997680664
1587,52,851968,536,183.71351718902588,0.2,0.0001,510,-5.3015511151403185,0.9124554395675659,0.064617919921875,-0.0024494096851412905,0.007474299,107.88362121582031,929.5008295476437,0.5860627591609955
1618,53,868352,536,72.15944766998291,0.2,0.0001,520,-5.301194670051336,0.9117892980575562,0.043280029296875,-0.0023482308954953625,0.005183511,195.31153869628906,1240.3813722491263,0.5460393726825714
1650,54,884736,536,132.86395835876465,0.2,0.0001,530,-5.30110991820693,0.9132243990898132,0.040380859375,-0.0011539260395693417,0.0050539644,186.09075927734375,1327.843230509758,0.5765199065208435
1681,55,901120,535,351.94197607040405,0.2,0.0001,540,-5.302005591988563,0.9116976857185364,0.03482666015625,-0.0015018847564533643,0.004679368,178.61476135253906,996.7309253156185,0.6654110252857208
1713,56,917504,535,134.30938148498535,0.2,0.0001,550,-5.2975502327084545,0.9117153286933899,0.02384033203125,-0.001305069335285225,0.004474953,432.3597106933594,2058.7071608901024,0.505654513835907
1745,57,933888,534,256.454354763031,0.2,0.0001,560,-5.296917124837637,0.9118329882621765,0.051800537109375,-0.0026847157705560676,0.0054547503,178.6018829345703,1167.4726728200912,0.6009088754653931
1777,58,950272,534,240.21343231201172,0.2,0.0001,570,-5.299175146594644,0.9120690822601318,0.034332275390625,-0.0021008308733144075,0.004119342,393.27197265625,1230.2965981960297,0.6155773103237152
1809,59,966656,534,34.25869131088257,0.2,0.0001,580,-5.2918681219220165,0.9092457294464111,0.04041748046875,-0.0020666429874836465,0.004711993,734.3640747070312,1641.6352905154229,0.643553614616394
1841,60,983040,533,243.29873943328857,0.2,0.0001,590,-5.27765306904912,0.9049109816551208,0.03111572265625,-0.001951711578294635,0.0045822635,823.3041381835938,1187.5815604925156,0.6591101288795471
1872,61,999424,533,205.15353775024414,0.2,0.0001,600,-5.262206357717514,0.902620255947113,0.033416748046875,-0.00253304418447442,0.0050645676,1058.9154052734375,1743.3825003623963,0.5957414507865906
1905,62,1015808,533,413.0373992919922,0.2,0.0001,610,-5.249261327832937,0.8994256854057312,0.036102294921875,-0.0019717627830686977,0.004471109,193.3843231201172,1321.0012428283692,0.6598658859729767
1937,63,1032192,532,173.59178924560547,0.2,0.0001,620,-5.239482115954161,0.8979778289794922,0.037158203125,-0.002401192490469839,0.006036284,459.9027404785156,2114.267313790321,0.6521708369255066
1969,64,1048576,532,334.5125608444214,0.2,0.0001,630,-5.233750098571181,0.8972312211990356,0.0455078125,-0.002687821376548527,0.005870929,207.1337127685547,1403.9604985713959,0.6477258801460266
2001,65,1064960,531,281.9330544471741,0.2,0.0001,640,-5.227432584390044,0.8940321207046509,0.048175048828125,-0.0030682749007610254,0.005639649,376.07061767578125,1155.2530100107192,0.6733554303646088
2033,66,1081344,531,281.80313301086426,0.2,0.0001,650,-5.206687170267105,0.8889187574386597,0.030706787109375,-0.0012686268795732759,0.0050228396,1301.117919921875,1038.5485911130904,0.6574847400188446
2066,67,1097728,531,166.1185040473938,0.2,0.0001,660,-5.196206948161125,0.88844895362854,0.047467041015625,-0.0017604639015189605,0.0057143485,421.1535949707031,883.371162879467,0.6519686877727509
2098,68,1114112,530,169.98346853256226,0.2,0.0001,670,-5.1923211861401795,0.8876389861106873,0.035186767578125,-0.0023058475949255808,0.0055097723,1590.0384521484375,1698.469262123108,0.5626924633979797
2130,69,1130496,530,205.21710872650146,0.2,0.0001,680,-5.185906211659312,0.88617342710495,0.038494873046875,-0.002253237457262003,0.006010929,546.1216430664062,1546.4814767122268,0.5646202266216278
2163,70,1146880,530,63.32094669342041,0.2,0.0001,690,-5.182535917684436,0.8862223625183105,0.03516845703125,-0.0018924135158158606,0.0048027704,259.4877624511719,1197.8840068101883,0.5962156057357788
2195,71,1163264,529,396.55621671676636,0.2,0.0001,700,-5.186433655768633,0.8885002136230469,0.030499267578125,-0.0015264623167695391,0.004561191,173.53848266601562,1326.691387706995,0.5878486633300781
2228,72,1179648,529,256.6521940231323,0.2,0.0001,710,-5.186112130060792,0.8863649368286133,0.033038330078125,-0.002583759634762828,0.005036444,610.8905639648438,1851.0285187244415,0.6314611732959747
2261,73,1196032,528,259.95784187316895,0.2,0.0001,720,-5.179727160185576,0.8854523301124573,0.04285888671875,-0.002291663240703201,0.005428426,648.4483642578125,1391.5144457101821,0.6616797745227814
2296,74,1212416,527,203.7973484992981,0.2,0.0001,730,-5.172372534871101,0.882864773273468,0.035858154296875,-0.0016665303322042746,0.0049861465,349.2069396972656,1623.862345647812,0.6611206233501434
2329,75,1228800,527,225.01256847381592,0.2,0.0001,740,-5.168762942031026,0.884367823600769,0.039471435546875,-0.002315667395123455,0.0057168845,956.6554565429688,1684.5055490732193,0.5992242395877838
2361,76,1245184,527,179.35746479034424,0.2,0.0001,750,-5.17261995151639,0.883999228477478,0.019781494140625,-0.0013770320463663665,0.004249366,751.0291137695312,2158.3903752803803,0.6313230693340302
2394,77,1261568,526,257.6113576889038,0.2,0.0001,760,-5.172160207107663,0.884523868560791,0.034429931640625,-0.0017693620400223153,0.0050158734,353.9463806152344,2124.9068974018096,0.5467098355293274
2426,78,1277952,526,188.17285346984863,0.2,0.0001,770,-5.1682118363678455,0.8824591636657715,0.045330810546875,-0.0024443155919470884,0.005613126,1272.395263671875,1353.2748326897622,0.6699232459068298
2459,79,1294336,526,203.2292923927307,0.2,0.0001,780,-5.156176182627678,0.8799694776535034,0.036865234375,-0.002807434970873146,0.0051166546,750.5374145507812,1728.4848158121108,0.6190980076789856
2492,80,1310720,525,123.97024154663086,0.2,0.0001,790,-5.146332215890288,0.8777360320091248,0.046728515625,-0.0023065313820552547,0.005751745,223.3050994873047,806.443363058567,0.6282466053962708
2526,81,1327104,525,112.1088809967041,0.2,0.0001,800,-5.135757647454739,0.8757681846618652,0.037091064453125,-0.001799917306379939,0.0054287855,178.52427673339844,1253.4692271232605,0.6767558157444
2559,82,1343488,524,142.2356653213501,0.2,0.0001,810,-5.125390651449561,0.8735179901123047,0.0276611328125,-0.0018962162604111653,0.0048811343,306.9788818359375,1451.335757803917,0.644434779882431
2592,83,1359872,524,145.37703275680542,0.2,0.0001,820,-5.118715910241008,0.873404324054718,0.027410888671875,-0.0014671643635665531,0.004148121,2230.0185546875,1650.0939598798752,0.6172650158405304
