time/fps,rew_vec_envs,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/approx_kl,train/std,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction
758,529.9640822410583,24,1036,1835008,0.7924789041280746,0.03653739,0.6304200291633606,45.1191520690918,-0.015626120372326115,550,0.001,0.2,-3.8233254820108415,417.8128724813461,0.287164306640625
753,431.76927423477173,25,1086,1867776,0.7606076300144196,0.03134778,0.6240580081939697,60.015018463134766,-0.016184948117370368,560,0.001,0.2,-3.7985472816973926,548.0578736901283,0.2522430419921875
752,436.28225469589233,26,1132,1900544,0.7808113843202591,0.02717518,0.6206409931182861,84.27931213378906,-0.01721289114357205,570,0.001,0.2,-3.766313899308443,538.6836475968361,0.2396820068359375
749,595.2677340507507,27,1180,1933312,0.7694312185049057,0.033325084,0.6179371476173401,65.86908721923828,-0.0156554471457639,580,0.001,0.2,-3.743674799054861,554.775453209877,0.265960693359375
748,437.50152242183685,28,1225,1966080,0.7808987498283386,0.036684126,0.615218997001648,86.75115966796875,-0.018559595106489725,590,0.001,0.2,-3.7186526734381915,569.8422350645066,0.2711456298828125
745,445.68085050582886,29,1274,1998848,0.7819164991378784,0.040069565,0.6158227324485779,56.843589782714844,-0.016708237276179715,600,0.001,0.2,-3.73018380664289,439.73930393457414,0.2979278564453125
742,536.6277123689651,30,1323,2031616,0.7941669970750809,0.041657723,0.6104316711425781,75.6069107055664,-0.015857782229068106,610,0.001,0.2,-3.6880797896534205,523.2235900521279,0.2817840576171875
739,642.4959995746613,31,1373,2064384,0.7619702517986298,0.036522724,0.6059961318969727,67.68112182617188,-0.017190352134639396,620,0.001,0.2,-3.665848796069622,554.9329780817031,0.275146484375
738,593.6019191741943,32,1419,2097152,0.7875837534666061,0.03683281,0.6026225090026855,69.94126892089844,-0.017487738646013894,630,0.001,0.2,-3.6394195344299076,558.1128656864166,0.27840576171875
736,578.3865966796875,33,1467,2129920,0.7740048617124557,0.04282653,0.6003223061561584,79.24488067626953,-0.015851333070895635,640,0.001,0.2,-3.6261751048266886,566.5677882552147,0.298046875
735,503.3135344982147,34,1514,2162688,0.7739839851856232,0.03808365,0.5931382775306702,61.86590576171875,-0.018081476042789292,650,0.001,0.2,-3.5840149823576213,548.7351447224617,0.2811431884765625
733,387.3664536476135,35,1564,2195456,0.7671032398939133,0.040925633,0.5890646576881409,60.0917854309082,-0.017591854371494263,660,0.001,0.2,-3.553092060610652,544.1628717064857,0.294024658203125
732,584.910195350647,36,1611,2228224,0.7591162770986557,0.040686507,0.5837973356246948,78.69295501708984,-0.017231611387978775,670,0.001,0.2,-3.5215040259063244,585.3168505311012,0.291357421875
731,426.20593452453613,37,1657,2260992,0.7968553006649017,0.04516724,0.5786202549934387,58.090423583984375,-0.015750742480304326,680,0.001,0.2,-3.4865910444408654,494.65266132354736,0.3049652099609375
731,670.1337386369705,38,1703,2293760,0.7742997705936432,0.035062872,0.5745115280151367,87.73738098144531,-0.017453703893261265,690,0.001,0.2,-3.4652312468737363,595.0901457667351,0.2748291015625
730,451.1806139945984,39,1749,2326528,0.7347654700279236,0.042215183,0.5715932846069336,65.69682312011719,-0.017023274506937015,700,0.001,0.2,-3.4339317712932824,602.5218007087708,0.2977203369140625
728,614.0222125053406,40,1798,2359296,0.7490350604057312,0.041848615,0.565751314163208,83.49449157714844,-0.017601762813865208,710,0.001,0.2,-3.4029397778213024,642.8220126748085,0.2930694580078125
727,454.82869017124176,41,1847,2392064,0.764366403222084,0.040229023,0.562305212020874,68.44176483154297,-0.016771675949348717,720,0.001,0.2,-3.3653345316648484,652.186788392067,0.289215087890625
724,603.4482011795044,42,1898,2424832,0.7536976486444473,0.03927699,0.5555878281593323,79.97209930419922,-0.017870714201308147,730,0.001,0.2,-3.326028548553586,648.3449975132942,0.2941925048828125
720,637.0626802444458,43,1956,2457600,0.7579866498708725,0.04510186,0.5505280494689941,78.09734344482422,-0.017332587785494978,740,0.001,0.2,-3.2886550415307285,666.3238153100014,0.3056396484375
