rewards2,rewards1,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/std,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance
0.3997737,0.35864553,,,,,,,,,,,,,,,
0.4090283,0.38195398,,,,,,,,,,,,,,,
0.40120703,0.3795738,,,,,,,,,,,,,,,
0.40738025,0.37733704,,,,,,,,,,,,,,,
0.0,0.0,,,,,,,,,,,,,,,
0.56985027,0.45937943,,,,,,,,,,,,,,,
0.6017209,0.51273227,,,,,,,,,,,,,,,
0.6241558,0.4719984,,,,,,,,,,,,,,,
0.5950918,0.5174636,,,,,,,,,,,,,,,
0.6611505,0.5099746,,,,,,,,,,,,,,,
0.6285939,0.48923624,,,,,,,,,,,,,,,
0.625959,0.5235717,,,,,,,,,,,,,,,
0.5824227,0.5061879,,,,,,,,,,,,,,,
0.5805776,0.50539744,,,,,,,,,,,,,,,
0.6032496,0.5072363,,,,,,,,,,,,,,,
0.5707878,0.50089484,,,,,,,,,,,,,,,
0.5620271,0.49315184,,,,,,,,,,,,,,,
0.5841419,0.49811083,,,,,,,,,,,,,,,
0.59852403,0.49567437,,,,,,,,,,,,,,,
0.59207475,0.4942539,,,,,,,,,,,,,,,
0.59622574,0.4949613,,,,,,,,,,,,,,,
0.60668117,0.50087214,,,,,,,,,,,,,,,
0.5915613,0.481516,,,,,,,,,,,,,,,
0.5973156,0.48384783,,,,,,,,,,,,,,,
0.5927076,0.48875788,,,,,,,,,,,,,,,
0.5914933,0.48869002,,,,,,,,,,,,,,,
0.6555458,0.5021473,,,,,,,,,,,,,,,
0.63771296,0.506922,,,,,,,,,,,,,,,
0.6276733,0.49042776,,,,,,,,,,,,,,,
0.6515972,0.5006064,,,,,,,,,,,,,,,
0.62901795,0.48729047,,,,,,,,,,,,,,,
0.6592638,0.49374405,,,,,,,,,,,,,,,
0.6876299,0.49732623,,,,,,,,,,,,,,,
0.67429805,0.5042232,,,,,,,,,,,,,,,
0.69354963,0.5120094,,,,,,,,,,,,,,,
0.45515472,0.69556344,,,,,,,,,,,,,,,
0.45643675,0.7566608,,,,,,,,,,,,,,,
0.45758954,0.7961277,,,,,,,,,,,,,,,
0.45900476,0.9325256,,,,,,,,,,,,,,,
0.47516096,0.9411435,,,,,,,,,,,,,,,
0.4779339,0.94229615,,,,,,,,,,,,,,,
0.5339488,0.97567874,,,,,,,,,,,,,,,
0.48057976,0.9525959,,,,,,,,,,,,,,,
0.49008083,0.9343262,,,,,,,,,,,,,,,
0.5023923,0.92185056,,,,,,,,,,,,,,,
