time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/std
687,884736,-25.836713552474976,1287,54,3.7066857e-05,530,-5.674141445755959,106.70293362140656,38.8913688659668,0.1278514862060547,0.2,1e-05,0.0,-0.00018852318717108574,0.9996429085731506
684,901120,-28.424545764923096,1316,55,0.0022411267,540,-5.6744415134191515,7.660515853762627,3.5000364780426025,0.815004363656044,0.2,1e-05,0.002838134765625,-0.002245444569052779,0.9996447563171387
682,917504,-40.07376670837402,1344,56,0.0006815322,550,-5.674405524134636,30.63803552389145,25.8165225982666,0.4485369920730591,0.2,1e-05,0.0,-0.000844604764279211,0.9997050762176514
679,933888,-17.207225441932678,1373,57,5.829262e-05,560,-5.674564924836159,116.7259549677372,97.85480499267578,0.28491032123565674,0.2,1e-05,0.0,-0.0003159599749778863,0.9997007846832275
678,950272,-30.193645238876343,1400,58,0.00025691596,570,-5.674406045675278,93.08112429976464,29.463104248046875,0.3269500136375427,0.2,1e-05,0.0,-0.0003216165594494669,0.9996075630187988
676,966656,-25.36667001247406,1429,59,0.003728554,580,-5.674764257669449,22.375185120105744,5.079329967498779,0.6130301058292389,0.2,1e-05,0.0079345703125,-0.002138828657916747,0.9999058246612549
674,983040,44.394647002220154,1458,60,0.0014159153,590,-5.675929000973701,28.80471027493477,39.582489013671875,0.5534938871860504,0.2,1e-05,0.00057373046875,-0.0009262792074878235,1.0002046823501587
672,999424,-31.133661568164825,1486,61,5.8832367e-05,600,-5.676631107926369,142.89252977967263,15.090776443481445,0.28547918796539307,0.2,1e-05,0.0,-0.00022768232447560876,1.0002375841140747
671,1015808,-16.518001675605774,1513,62,0.0012914238,610,-5.6770567953586575,26.285734108090402,6.45286226272583,0.6212396919727325,0.2,1e-05,0.000238037109375,-0.0008067007122008363,1.0004489421844482
669,1032192,-27.95827884040773,1540,63,4.2788295e-05,620,-5.677566227316857,197.20270212888718,72.90907287597656,0.3084865212440491,0.2,1e-05,0.0,-0.0001817349175325944,1.0004568099975586
668,1048576,9.577133417129517,1567,64,5.104343e-05,630,-5.677568346261978,184.85460178852082,63.32420349121094,0.3207603693008423,0.2,1e-05,0.0,-0.0002530786347051617,1.00044846534729
667,1064960,-3.63653564453125,1595,65,0.00025299928,640,-5.677567461133004,173.29511123895645,138.54554748535156,0.36509019136428833,0.2,1e-05,0.0,-0.00029175762319937347,1.0004746913909912
667,1081344,-27.54854917526245,1620,66,7.94958e-05,650,-5.67756462097168,146.2206822872162,67.719970703125,0.3573528528213501,0.2,1e-05,0.0,-0.00028802649649151135,1.0004398822784424
665,1097728,-27.60494554042816,1649,67,0.00014016814,660,-5.677478554844856,157.38884984254838,88.31367492675781,0.3555005192756653,0.2,1e-05,0.0,-0.0003130609075014945,1.0004444122314453
663,1114112,-31.39631024003029,1678,68,0.00031167167,670,-5.67760446369648,133.30458584427834,42.898277282714844,0.3959147334098816,0.2,1e-05,0.0,-0.0004631250245438423,1.000505805015564
662,1130496,-43.971404790878296,1705,69,0.0013819922,680,-5.678151646256447,27.560611432790758,19.921104431152344,0.6893213391304016,0.2,1e-05,0.0004638671875,-0.0013311333652382018,1.0007144212722778
662,1146880,-7.632828250527382,1732,70,8.92925e-05,690,-5.6784493058919905,193.39803463220596,112.74020385742188,0.3255135416984558,0.2,1e-05,0.0,-0.00025400950034963897,1.0006415843963623
660,1163264,-23.212398156523705,1760,71,6.958273e-05,700,-5.678206640481949,73.7357168674469,92.96446228027344,0.46089959144592285,0.2,1e-05,0.0,-0.0003227240700653056,1.0005946159362793
659,1179648,-32.12623065710068,1788,72,0.0011541601,710,-5.678065559267997,54.27440035939217,13.698594093322754,0.5929747521877289,0.2,1e-05,0.000408935546875,-0.0007758393137919483,1.0005581378936768
659,1196032,5.59182745218277,1814,73,0.0009921656,720,-5.677825024724006,33.924196445941924,25.885129928588867,0.6092154681682587,0.2,1e-05,3.0517578125e-05,-0.000729604895968805,1.0004938840866089
659,1212416,42.0942023396492,1839,74,0.0008480399,730,-5.6771059215068815,29.582474675774574,4.829051494598389,0.6642447412014008,0.2,1e-05,1.220703125e-05,-0.0012500218610512093,1.0001466274261475
659,1228800,-28.1217799782753,1863,75,8.3699255e-05,740,-5.676315912604332,231.39614102840423,46.74711990356445,0.28811872005462646,0.2,1e-05,0.0,-0.0002704800135688856,1.00016450881958
658,1245184,33.42271560430527,1890,76,0.002358121,750,-5.676794880628586,8.457062569260597,3.867277145385742,0.8753180950880051,0.2,1e-05,0.00177001953125,-0.00169346802867949,1.0003759860992432
658,1261568,-33.335476756095886,1915,77,0.00028908323,760,-5.677858120203018,65.29119779467582,52.396942138671875,0.4897867441177368,0.2,1e-05,0.0,-0.0006417621967557352,1.0007352828979492
659,1277952,-13.876192882657051,1938,78,0.0034964378,770,-5.679362100362778,7.566227787733078,3.721653938293457,0.8584019392728806,0.2,1e-05,0.00509033203125,-0.0026630026630300565,1.0010572671890259
659,1294336,45.410727456212044,1963,79,0.00022056256,780,-5.680091306567192,103.57326267361641,99.29466247558594,0.3774237036705017,0.2,1e-05,0.0,-0.0005546130963921314,1.00115168094635
658,1310720,-17.023910403251648,1989,80,0.00026612764,790,-5.680467185378075,162.4834499359131,143.47787475585938,0.3233228921890259,0.2,1e-05,0.0,-0.0005578860334935598,1.0012288093566895
658,1327104,-27.5521959066391,2014,81,0.0005927399,800,-5.6805419534444805,27.752869999408723,3.616001605987549,0.6551530361175537,0.2,1e-05,3.0517578125e-05,-0.0009178301086649298,1.00114905834198
658,1343488,-33.39388358592987,2038,82,0.00010835608,810,-5.680321288108826,170.61451960802077,131.63742065429688,0.27678775787353516,0.2,1e-05,0.0,-0.0002647967696248088,1.0011436939239502
