rew_vec_envs,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/clip_range,train/approx_kl,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance
6.3909335,,,,,3388.76025390625,0.2,0.0034191227,0.9350222945213318,7847.718487358094,0.011968994140625,780,0.0001,-5.409667675197125,-0.00154727887493209,0.8122635185718536
2.1579142,,,,,,,,,,,,,,,
,1031,17,540,2588672,,,,,,,,,,,
2.4868639,,,,,19326.87890625,0.2,0.00355313,0.933988094329834,34631.21766052246,0.0073822021484375,790,0.0001,-5.4051941826939585,-0.0012587096694915089,0.6168148815631866
2.8629375,,,,,,,,,,,,,,,
,1032,18,571,2621440,,,,,,,,,,,
1.9219733,,,,,15914.5078125,0.2,0.0044932016,0.9335730075836182,24113.630462646484,0.0182525634765625,800,0.0001,-5.401968811452389,-0.0018298911454621702,0.6827924847602844
2.2750678,,,,,,,,,,,,,,,
,1033,19,602,2654208,,,,,,,,,,,
1.8429606,,,,,11184.0830078125,0.2,0.0027674309,0.9334015846252441,25215.43458404541,0.0021087646484375,810,0.0001,-5.400371973216534,-0.0008270427890238353,0.6718302071094513
3.9120283,,,,,,,,,,,,,,,
,1033,20,634,2686976,,,,,,,,,,,
2.7236426,,,,,22057.345703125,0.2,0.0024264744,0.9334751963615417,39523.47999572754,0.0037841796875,820,0.0001,-5.400228254497051,-0.0010336111416108906,0.6452755928039551
2.4476202,,,,,,,,,,,,,,,
,1033,21,665,2719744,,,,,,,,,,,
2.1518688,,,,,23208.822265625,0.2,0.0038815015,0.9329994320869446,25473.504208374023,0.0084625244140625,830,0.0001,-5.399504300951958,-0.0013546657504775795,0.6751310527324677
3.4848998,,,,,,,,,,,,,,,
,1034,22,696,2752512,,,,,,,,,,,
3.152574,,,,,9647.6376953125,0.2,0.002930161,0.9321045875549316,19780.329546356203,0.00552978515625,840,0.0001,-5.396727709472179,-0.001263720011775149,0.7221536040306091
2.9168994,,,,,,,,,,,,,,,
,1035,23,728,2785280,,,,,,,,,,,
3.3679159,,,,,10609.5,0.2,0.0043466277,0.9307271242141724,24344.746702575685,0.01475830078125,850,0.0001,-5.392139761149883,-0.0017461013689171524,0.6849762201309204
1.9335515,,,,,,,,,,,,,,,
,1035,24,759,2818048,,,,,,,,,,,
3.9131436,,,,,10619.1171875,0.2,0.0020499025,0.930903434753418,20908.08018951416,0.0016754150390625,860,0.0001,-5.388792054355145,-0.0010189487700699828,0.7017159759998322
3.5196218,,,,,,,,,,,,,,,
,1035,25,790,2850816,,,,,,,,,,,
3.5855527,,,,,24533.033203125,0.2,0.0016528995,0.9308716058731079,33020.52560119629,0.000750732421875,870,0.0001,-5.389378020167351,-0.0009383503005665261,0.6804442405700684
5.5183473,,,,,,,,,,,,,,,
,1036,26,822,2883584,,,,,,,,,,,
2.836582,,,,,4152.33935546875,0.2,0.0023962376,0.9303078651428223,10842.491926574707,0.0024658203125,880,0.0001,-5.388080191612244,-0.0010324817172659095,0.809570387005806
2.5364547,,,,,,,,,,,,,,,
,1036,27,853,2916352,,,,,,,,,,,
4.820202,,,,,21894.0859375,0.2,0.0022532935,0.9303245544433594,29909.612603759764,0.0021728515625,890,0.0001,-5.386902248859405,-0.0008370002717128955,0.6920590102672577
3.3269472,,,,,,,,,,,,,,,
,1036,28,885,2949120,,,,,,,,,,,
2.329,,,,,9212.017578125,0.2,0.0014986536,0.9302059412002563,30700.682525634766,0.000738525390625,900,0.0001,-5.386692306399345,-0.0006418350476451451,0.6749458312988281
1.4266055,,,,,,,,,,,,,,,
,1036,29,916,2981888,,,,,,,,,,,
3.119949,,,,,12612.912109375,0.2,0.0017097787,0.9302913546562195,27667.35015716553,0.0021453857421875,910,0.0001,-5.386509278416634,-0.0008084346394753083,0.7288298010826111
3.192486,,,,,,,,,,,,,,,
,1036,30,948,3014656,,,,,,,,,,,
4.451445,,,,,6066.57080078125,0.2,0.0016009304,0.930347204208374,23309.304489135742,0.0009490966796875,920,0.0001,-5.386875550448894,-0.0009179902001051233,0.7372399866580963
3.9621706,,,,,,,,,,,,,,,
,1036,31,980,3047424,,,,,,,,,,,
