time/time_elapsed,rew_vec_envs,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate
1576,55.19750118255615,835584,530,51,0.2,0.8237937092781067,-5.25828584395349,500,0.14365234375,0.9056753516197205,0.8502543866634369,0.011316474,2.4338542829733343,-0.0003957176777475979,0.0001
1612,56.73415279388428,851968,528,52,0.2,0.3511139750480652,-5.246047643572092,510,0.130126953125,0.8992508053779602,0.8608714193105698,0.01163261,2.3751288353931157,-0.00041485748315608364,0.0001
1647,52.431941509246826,868352,527,53,0.2,1.740211844444275,-5.240841264277696,520,0.13284912109375,0.9030311107635498,0.8362958282232285,0.01092453,2.495272127678618,-0.001945676135164831,0.0001
1685,54.416325092315674,884736,525,54,0.2,0.7052690982818604,-5.250611620023847,530,0.1299560546875,0.9039797782897949,0.8856771215796471,0.011418939,1.8606098828371613,-0.00023905729558464371,0.0001
1718,57.939682960510254,901120,524,55,0.2,0.33578646183013916,-5.247233561426401,540,0.11663818359375,0.9026995301246643,0.8490688800811768,0.010899037,2.4125032420037313,-9.146597876679153e-05,0.0001
1751,63.39315605163574,917504,523,56,0.2,0.2313237190246582,-5.230179775133729,550,0.124700927734375,0.8973304033279419,0.8518548160791397,0.0105519015,1.8715805668383836,-0.0004179080062385765,0.0001
1785,58.33809280395508,933888,523,57,0.2,1.2628753185272217,-5.215714191645384,560,0.103460693359375,0.8960439562797546,0.34119999408721924,0.009630527,45.612802886450666,-0.0028450625937693984,0.0001
1819,64.28461408615112,950272,522,58,0.2,0.7350559830665588,-5.205651402845978,570,0.136346435546875,0.8941811323165894,0.833397701382637,0.011019255,4.746131680253893,-0.0010000099143326225,0.0001
1851,57.74102210998535,966656,522,59,0.2,0.26431363821029663,-5.211393234506249,580,0.114599609375,0.8978400230407715,0.8835198879241943,0.009995091,2.0020069754915313,-0.0004760994172102073,0.0001
1897,58.526195764541626,983040,518,60,0.2,0.38300392031669617,-5.213401586934924,590,0.11480712890625,0.8964673280715942,0.8813084214925766,0.009608243,1.9668973894789814,-0.0005763271776231705,0.0001
1935,55.71486949920654,999424,516,61,0.2,0.5220759510993958,-5.195444760844111,600,0.1121826171875,0.8894467949867249,0.8707471787929535,0.010170921,2.5519313492346556,-0.002260330407989386,0.0001
1967,59.80126762390137,1015808,516,62,0.2,1.7966476678848267,-5.17712080553174,610,0.1074951171875,0.888264536857605,0.5086264610290527,0.01203584,40.7435888602864,-0.0027327160927598016,0.0001
2000,68.08971452713013,1032192,516,63,0.2,17.44983673095703,-5.167207092046738,620,0.128363037109375,0.884528398513794,0.7491874694824219,0.011019172,7.802259508380667,-0.000510743123049906,0.0001
2032,63.270577907562256,1048576,515,64,0.2,0.2935744524002075,-5.145931795611977,630,0.1441162109375,0.8804383873939514,0.8116723448038101,0.012948806,2.7699815364554525,-0.0007940192157548154,0.0001
2063,2.9047904014587402,1064960,516,65,0.2,0.6139121055603027,-5.145247758179903,640,0.129638671875,0.8828179836273193,0.8138146549463272,0.0099729765,2.34106706364546,-3.7753154083475236e-05,0.0001
2096,56.997830390930176,1081344,515,66,0.2,0.5201519131660461,-5.141031632944942,650,0.11395263671875,0.8797396421432495,0.3259890675544739,0.010816351,28.72818137863651,-0.0013999156094541831,0.0001
2127,56.84782075881958,1097728,515,67,0.2,0.2590596675872803,-5.125165872648358,660,0.12919921875,0.876765251159668,0.8738926202058792,0.012072865,1.9272067490266636,-0.0006404418215424812,0.0001
2162,62.06612968444824,1114112,515,68,0.2,0.2951167821884155,-5.110798105597496,670,0.137908935546875,0.8729740381240845,0.8496404439210892,0.012570994,3.082500020577572,-0.0038478891765407752,0.0001
2197,57.421077251434326,1130496,514,69,0.2,0.9998791813850403,-5.0932767610996965,680,0.135015869140625,0.8687596321105957,0.8111445605754852,0.010679725,2.633350206632167,-0.002550100324788218,0.0001
2231,64.39388656616211,1146880,514,70,0.2,0.3459793031215668,-5.0756088849157095,690,0.12752685546875,0.865389347076416,0.7643686830997467,0.011485768,4.550237717200071,-0.001977405035177071,0.0001
