ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[-0.6775144  -0.80923987  1.1452637 ],[-0.05323803  0.19493244  2.02979686],[-0.56622409 -3.62041953 -1.70766126],[-0.07943614 -1.54938976  6.45881287],[0.31469417 0.44162777 0.39405358 0.44100223],[ 1.52112246  1.52127421  0.19107385 -1.57012463],[False False False],[False False False],[False False False],[False False False],[-0.87077024 -0.12551818 -0.65998534],[-0.04968982  0.20019017  2.02699582],[ 2.59964785 -2.23133341  2.17649643],[ 2.26687855 -7.10351856 -2.76017763],7.950930440353906,0.49448780983129786
[-0.06080994  0.22624936  1.18751679],[-0.0533737   0.19525501  2.0402021 ],[-0.58595707 -3.6079672  -1.70753651],[-0.04868963 -1.54194555  6.44741162],[0.23774357 0.4117504  0.28363326 0.31403038],[ 1.52112246  1.52127421  0.19107385 -1.57012463],[False False False],[False False False],[False False False],[False False False],[-0.71526428 -0.11133066 -0.51293701],[-0.0434706   0.20142542  2.0420551 ],[ 2.56788142 -2.27127774  2.11677617],[ 2.19856397 -7.09026359 -2.76175637],7.920405263266697,0.4970533855310393
[0.44204838 1.02075331 0.85620695],[-0.04865033  0.20311366  2.04787973],[-0.58424351 -3.60586702 -1.72970312],[-0.01800719 -1.53441156  6.43581749],[0.23393477 0.25071817 0.13114646 0.18784424],[ 1.66317868  1.06104112  0.79650688 -1.5925957 ],[False False False],[False False False],[False False False],[False False False],[-0.34865269 -0.09520891 -0.14236018],[-0.03480191  0.21022077  2.05200515],[ 2.53678108 -2.28146727  2.12969662],[ 2.16778433 -7.08624454 -2.70877491],7.889969075920487,0.49754216378126537
[0.26040678 1.03720332 0.53710247],[-0.04493671  0.21229859  2.05262105],[-0.56862093 -3.60514821 -1.78239992],[ 0.0126475  -1.52682755  6.42376471],[0.22207405 0.1247805  0.07507804 0.11775799],[ 1.66317868  1.06104112  0.79650688 -1.5925957 ],[False False False],[False False False],[False False False],[False False False],[0.29785955 0.23694332 0.50976008],[-0.03250306  0.21821091  2.05373732],[ 2.49202762 -2.27877716  2.2608623 ],[ 2.16076244 -7.07450017 -2.65539285],7.859297565214307,0.49380145990694324
[-0.1108683   0.66965473  0.32207175],[-0.04445247  0.2189453   2.05547962],[-0.54907539 -3.60080122 -1.85182275],[ 0.04328825 -1.51920821  6.41115236],[0.24159227 0.0752882  0.13470749 0.10243369],[ 1.66317868  1.06104112  0.79650688 -1.5925957 ],[False False False],[False False False],[False False False],[False False False],[0.65324596 0.48162779 0.722412  ],[-0.03721837  0.22086683  2.05050866],[ 2.45417005 -2.27201107  2.38054836],[ 2.16075189 -7.05083145 -2.62661701],7.828294185297604,0.49001207556946336
[-0.4477651   0.11983074  0.18226475],[-0.04719822  0.22116444  2.05715111],[-0.53207207 -3.591535   -1.92721266],[ 0.07391397 -1.51155187  6.39798593],[0.24340126 0.09110778 0.18519833 0.13101864],[ 1.66317868  1.06104112  0.79650688 -1.5925957 ],[False False False],[False False False],[False False False],[False False False],[0.50175942 0.35879379 0.47452003],[-0.04455755  0.21973018  2.04766949],[ 2.44079354 -2.26545088  2.40023735],[ 2.15871113 -7.0164373  -2.6280147 ],7.797235884023401,0.4896400761388045
[-0.35135604 -0.90810638  0.27131827],[-0.05069275  0.21676929  2.05914251],[-0.5276827  -3.5804457  -1.94409852],[ 0.10448737 -1.50381448  6.38451492],[0.6046265  0.57582585 0.74016285 0.56226418],[ 1.33650279  1.39101303  0.384763   -1.94801581],[False False False],[False False False],[False False False],[False False False],[0.22105611 0.10175192 0.05132946],[-0.05056885  0.21384599  2.04805351],[ 2.44435939 -2.26912614  2.35949791],[ 2.13930397 -6.97989102 -2.64931313],7.766232045657806,0.49130048026376855
[ 0.73909387 -2.11908225  0.89925269],[-0.04412484  0.1998651   2.06665857],[-0.56164248 -3.58294591 -1.72092627],[ 0.13478432 -1.49573826  6.37223558],[0.70891732 0.75538148 0.75987507 0.7968559 ],[ 1.33650279  1.39101303  0.384763   -1.94801581],[False False False],[False False False],[False False False],[False False False],[-0.18910528 -0.29974583 -0.37705699],[-0.04343215  0.19866412  2.05816572],[ 2.48871904 -2.29748544  2.16385921],[ 2.05265742 -6.97701381 -2.63563361],7.735547090984916,0.49846638869150417
[ 0.11164778 -0.82832706  1.3595813 ],[-0.03819082  0.18971698  2.07806715],[-0.59718226 -3.57963388 -1.51535587],[ 0.16473515 -1.48724812  6.3617067 ],[0.36350039 0.43211672 0.29305584 0.53379781],[ 1.33650279  1.39101303  0.384763   -1.94801581],[False False False],[False False False],[False False False],[False False False],[-0.5563768  -0.58733843 -0.38327658],[-0.03302412  0.19335135  2.07292709],[ 2.49649544 -2.33982827  1.98506838],[ 1.95443224 -6.9785592  -2.6175441 ],7.705298887276761,0.5051631162175827
[-0.79728597  0.64528705  1.37900459],[-0.04136041  0.19345883  2.08996061],[-0.61736469 -3.56244122 -1.53485048],[ 0.19456834 -1.47860185  6.35141383],[0.23812977 0.26981844 0.13464481 0.27295277],[ 1.33650279  1.39101303  0.384763   -1.94801581],[False False False],[False False False],[False False False],[False False False],[-0.47022502 -0.49394934 -0.2018094 ],[-0.0320499   0.20147428  2.08684275],[ 2.44402544 -2.38739672  1.94504135],[ 1.88574332 -6.95723057 -2.63635217],7.67524838692741,0.5072723295073234
[-1.04578927  1.01372391  1.10907503],[-0.0478854   0.20204681  2.09960275],[-0.6221657  -3.54097143 -1.62080834],[ 0.22436561 -1.46989485  6.34074487],[0.20449904 0.19195551 0.12693669 0.12075575],[ 1.71522951  0.71827841  0.77799737 -1.56026423],[False False False],[False False False],[False False False],[False False False],[-0.23645264 -0.25396331 -0.01688145],[-0.03587626  0.21283911  2.09706612],[ 2.375825  -2.4226658  1.9859287],[ 1.84439036 -6.92363994 -2.666622  ],7.645223257752317,0.5069646002301821
[-1.00106904  0.87947102  0.84818308],[-0.05510619  0.21008176  2.10690065],[-0.61814787 -3.51907621 -1.71811976],[ 0.25414517 -1.46114948  6.32955027],[0.17007737 0.22307311 0.19474993 0.07321609],[ 1.71522951  0.71827841  0.77799737 -1.56026423],[False False False],[False False False],[False False False],[False False False],[0.27870864 0.19611629 0.16845548],[-0.04429874  0.22019475  2.1032126 ],[ 2.29754145 -2.45035264  2.11828413],[ 1.81802305 -6.88467552 -2.69880996],7.614955024723438,0.5033653267955446
[-0.57182905  0.67055122  0.68349093],[-0.05967384  0.21654934  2.11262135],[-0.60985949 -3.50213553 -1.8005473 ],[ 0.28390426 -1.45236447  6.31783797],[0.17832216 0.22094274 0.25442707 0.09104917],[ 1.71522951  0.71827841  0.77799737 -1.56026423],[False False False],[False False False],[False False False],[False False False],[0.71969243 0.57362237 0.14432947],[-0.05470551  0.22226498  2.10759658],[ 2.23579047 -2.46694025  2.23353506],[ 1.79881341 -6.8505834  -2.71224693],7.584359301410288,0.49992530743938635
[-0.07301129  0.25052666  0.63793782],[-0.06001887  0.21993732  2.11794032],[-0.60432672 -3.49278422 -1.85836064],[ 0.3136334  -1.44353198  6.3056578 ],[0.25856311 0.23334857 0.30738742 0.20166407],[ 1.71522951  0.71827841  0.77799737 -1.56026423],[False False False],[False False False],[False False False],[False False False],[0.59475658 0.5040912  0.05847613],[-0.06038495  0.22120052  2.11229388],[ 2.21095058 -2.47251802  2.23708653],[ 1.77538493 -6.82702464 -2.70162293],7.553742357455113,0.5002324345387901
[ 0.41639605 -0.57584108  0.69203959],[-0.05659145  0.21773746  2.12386602],[-0.60987163 -3.4900368  -1.87108473],[ 0.34330296 -1.43462477  6.29318012],[0.41973539 0.36931693 0.49163354 0.29680539],[ 1.27936697  1.24255168  0.78752923 -1.88781297],[False False False],[False False False],[False False False],[False False False],[0.25612699 0.3421366  0.0024493 ],[-0.06007666  0.21575504  2.11806832],[ 2.20329212 -2.48182236  2.20844801],[ 1.73525304 -6.81358483 -2.67627389],7.523196346378829,0.501281064220312
[ 0.84607471 -1.5162105   0.71709675],[-0.04792438  0.20599625  2.1306484 ],[-0.63439507 -3.49659839 -1.83912331],[ 0.37286407 -1.42559641  6.28069662],[0.26655905 0.243743   0.19663013 0.3000934 ],[ 1.27936697  1.24255168  0.78752923 -1.88781297],[False False False],[False False False],[False False False],[False False False],[-0.5636489   0.12444852 -0.14259321],[-0.04833939  0.20258559  2.12574244],[ 2.19981903 -2.50495022  2.23350058],[ 1.66750383 -6.81392268 -2.63212846],7.492543726294062,0.4992585664205371
[ 0.23727807 -1.15316039  0.70518801],[-0.04330271  0.19560975  2.13712544],[-0.65692797 -3.49662957 -1.86246755],[ 0.40237363 -1.41649897  6.2678866 ],[0.20752101 0.21779141 0.10085215 0.30613488],[ 1.27936697  1.24255168  0.78752923 -1.88781297],[False False False],[False False False],[False False False],[False False False],[-0.75261527  0.19903751 -0.24687277],[-0.03727159  0.19072735  2.13425115],[ 2.17993156 -2.53264964  2.29778329],[ 1.60488762 -6.80315143 -2.61080071],7.461555738292556,0.49542774730597394
[-0.36236627 -0.54484076  0.75938726],[-0.04397246  0.19009197  2.14369253],[-0.67262452 -3.48684491 -1.91753567],[ 0.43185177 -1.40735071  6.2546434 ],[0.15043112 0.18509748 0.06770712 0.2589109 ],[ 1.27936697  1.24255168  0.78752923 -1.88781297],[False False False],[False False False],[False False False],[False False False],[-0.56162859  0.19727988 -0.19091043],[-0.03287335  0.18354905  2.14256859],[ 2.16040356 -2.55891699  2.28032169],[ 1.55315813 -6.77882702 -2.61687827],7.4305348216139855,0.49545921988045055
[-1.0483755  -0.10170305  0.58016809],[-0.04962715  0.18885609  2.14954918],[-0.67877481 -3.46800382 -1.93820567],[ 0.46127462 -1.39812892  6.24114662],[0.75701606 0.65507939 0.63603175 0.63874266],[ 1.56195807  1.30421162  0.6171025  -1.85956085],[False False False],[False False False],[False False False],[False False False],[-0.257244    0.13002146 -0.03909053],[-0.03547887  0.18105968  2.14924535],[ 2.13578515 -2.58090852  2.23079517],[ 1.51644209 -6.74079464 -2.64882067],7.399605389525161,0.4978855140703158
