ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[0.34316235 0.1486851  1.06751709],[-0.21390625  0.19297289  2.14562483],[-2.31140149  0.27848995 -1.61173694],[2.53960333 1.99751069 4.74093467],[0.20410954 0.07480851 0.17991591 0.14464166],[-2.73251033 -1.09975135  1.14571095 -1.29246545],[False False False],[False False False],[False False False],[False False False],[ 0.11622742 -0.05949851 -0.16381134],[-0.20888449  0.19911811  2.15411045],[-1.77854485 -2.01086733  0.84044915],[0.5071341  0.83003589 0.2124359 ],0.9956272338205879,0.620147724758288
[-0.03306621 -0.17814894  1.12423455],[-0.21128001  0.19396189  2.15489311],[-2.2952429   0.31409768 -1.6526079 ],[2.55174703 1.97977714 4.73092844],[0.39300283 0.32968541 0.36986558 0.4363216 ],[-2.73251033 -1.09975135  1.14571095 -1.29246545],[False False False],[False False False],[False False False],[False False False],[0.29181756 0.19343001 0.2056549 ],[-0.20842171  0.19920459  2.16219679],[-1.83417234 -1.98022543  0.9388766 ],[0.53391644 0.82302004 0.22488071],1.0064790532622245,0.6163890479545895
[-0.70523289  0.00390739  1.36355016],[-0.21395594  0.19568601  2.16590016],[-2.27739043  0.36277906 -1.63682795],[2.56370852 1.96207165 4.72090163],[0.35595139 0.36427609 0.36981413 0.43933409],[-2.73251033 -1.09975135  1.14571095 -1.29246545],[False False False],[False False False],[False False False],[False False False],[0.30566694 0.64398684 0.47501493],[-0.21377802  0.1959622   2.16950036],[-1.88949129 -1.9276591   0.9606928 ],[0.56180377 0.81299209 0.2425905 ],1.0175606934250965,0.6161883264748904
[-0.67704575  0.37769075  1.52997139],[-0.21824814  0.20099309  2.17790925],[-2.2528739   0.41832353 -1.64750913],[2.57548997 1.94439213 4.71084426],[0.16159834 0.28764082 0.27691232 0.19740785],[-2.73251033 -1.09975135  1.14571095 -1.29246545],[False False False],[False False False],[False False False],[False False False],[0.2305218  0.61211879 0.41801006],[-0.22017873  0.195905    2.17778908],[-1.93810849 -1.84824629  0.90434233],[0.59003892 0.80074904 0.26323453],1.0289010530053062,0.6192045567737051
[0.45175884 0.58854119 1.04907086],[-0.21570633  0.20752469  2.18755765],[-2.22554947  0.45760884 -1.6456735 ],[2.58712154 1.92673141 4.70063841],[0.65702542 0.75379482 0.61212695 0.4935268 ],[-2.62021518 -1.58025205  1.3859272  -1.32517993],[False False False],[False False False],[False False False],[False False False],[0.07940694 0.35946963 0.17820359],[-0.2187357   0.19875978  2.18523816],[-1.96927151 -1.77378872  0.86300693],[0.61590483 0.79091365 0.2788578 ],1.040502200788379,0.6226063159911642
[ 2.38389572  0.34577823 -1.22302955],[-0.20041228  0.21043247  2.18197585],[-2.20634691  0.44011626 -1.44571105],[2.59816601 1.90914697 4.69171371],[0.88611881 0.90477533 0.76117286 0.67475043],[-2.62021518 -1.58025205  1.3859272  -1.32517993],[False False False],[False False False],[False False False],[False False False],[-0.21830511 -0.36005895 -0.31300086],[-0.20238721  0.20299348  2.18136322],[-1.91083945 -1.73731421  0.75612478],[0.62934976 0.79472866 0.28076965],1.0519060611505489,0.6333725610071632
[ 2.08944995 -0.06806776 -2.85565167],[-0.18400607  0.20555397  2.15930785],[-2.20059052  0.38172309 -1.22628532],[2.60840684 1.8916902  4.68481531],[0.48662523 0.35325276 0.37487873 0.51746615],[-2.62021518 -1.58025205  1.3859272  -1.32517993],[False False False],[False False False],[False False False],[False False False],[-0.27165331 -0.76020032 -0.57812025],[-0.18360604  0.20422271  2.16329861],[-1.78586004 -1.76296374  0.63370398],[0.6293607  0.81132673 0.27443273],1.0628543078776318,0.6446555152402016
[-0.01745577 -0.10428506 -2.53052534],[-0.18516751  0.2009436   2.13680393],[-2.19348997  0.34283126 -1.19919463],[2.61835161 1.87429725 4.67830675],[0.3471798  0.14840764 0.42414072 0.49503622],[-2.62021518 -1.58025205  1.3859272  -1.32517993],[False False False],[False False False],[False False False],[False False False],[-0.21855464 -0.66632439 -0.47136181],[-0.18280736  0.20546779  2.14506004],[-1.6944216  -1.80297941  0.57127646],[0.62919175 0.82335383 0.28158887],1.0738184572018652,0.648763343539541
[-0.73923041 -0.30101585 -0.78715203],[-0.19346909  0.19653303  2.125572  ],[-2.18448446  0.33856842 -1.16928599],[2.62809514 1.85695663 4.67188919],[0.15581794 0.23798743 0.64141908 0.62054021],[-2.7210753  -1.05355084 -0.12320188 -0.94730425],[False False False],[False False False],[False False False],[False False False],[-0.14960617 -0.38165959 -0.17333561],[-0.18964844  0.20501226  2.13612492],[-1.64972058 -1.807634    0.49942775],[0.63835097 0.82615476 0.2948306 ],1.0848726842771876,0.6522291247032703
[-0.44631912 -0.19379191  2.01587022],[-0.19502494  0.19689668  2.13795784],[-2.1668807   0.38351838 -1.13030234],[2.63758688 1.83967899 4.66574492],[0.08703532 0.15165051 0.44701253 0.45698653],[-2.7210753  -1.05355084 -0.12320188 -0.94730425],[False False False],[False False False],[False False False],[False False False],[0.20102657 0.32107238 0.34033926],[-0.19205032  0.20425177  2.14656076],[-1.69756737 -1.74994479  0.49755991],[0.66675419 0.8141125  0.30623199],1.0959554480383236,0.653675461432926
[-0.21848039 -0.02069647  3.17570584],[-0.19266647  0.20130098  2.16345398],[-2.14123385  0.45585457 -1.15347957],[2.64694102 1.82243313 4.65944819],[0.10455462 0.24223567 0.26272108 0.19462022],[-2.7210753  -1.05355084 -0.12320188 -0.94730425],[False False False],[False False False],[False False False],[False False False],[0.52839872 0.78703624 0.7028485 ],[-0.19366315  0.20233498  2.16649302],[-1.79590546 -1.65502198  0.54940526],[0.70501292 0.79228819 0.31795379],1.1071848983468273,0.6525053508770907
[0.50287167 0.2349547  2.70870915],[-0.18526045  0.20701224  2.18751434],[-2.11219606  0.51882724 -1.20678276],[2.65623334 1.80520024 4.65272113],[0.2356033  0.37074419 0.16727673 0.09411896],[-2.7210753  -1.05355084 -0.12320188 -0.94730425],[False False False],[False False False],[False False False],[False False False],[0.47878173 0.65445305 0.57131477],[-0.19050624  0.20220088  2.18537658],[-1.86929563 -1.54850905  0.55242359],[0.74113615 0.77152091 0.32678234],1.1186214761800743,0.6530289939161971
[0.90456777 0.2547467  0.79633308],[-0.17520083  0.21230859  2.19927134],[-2.08572445  0.54943323 -1.2222364 ],[2.66541349 1.78799055 4.6457441 ],[0.73162913 0.66837745 0.32384254 0.27356018],[-2.03622293  1.47175753  1.30150521 -0.87641245],[False False False],[False False False],[False False False],[False False False],[0.18776771 0.23884143 0.17603674],[-0.1828729   0.2042665   2.19449257],[-1.89512954 -1.47854794  0.54268594],[0.76691335 0.76040159 0.33313758],1.130197910688426,0.6550766810214026
[ 0.79516054 -0.18830228 -3.64483759],[-0.17340777  0.20697505  2.1791613 ],[-2.08233685  0.51459426 -1.08135141],[2.67419842 1.77087347 4.63955053],[0.86222255 0.89309992 0.48095909 0.46080812],[-2.03622293  1.47175753  1.30150521 -0.87641245],[False False False],[False False False],[False False False],[False False False],[-0.27669419 -0.31248196 -0.40455737],[-0.17967308  0.20077374  2.17687143],[-1.81846337 -1.51819375  0.48188734],[0.76918165 0.77356522 0.33645249],1.141597054596485,0.6609455733985821
[ 0.80958835 -0.09444876 -7.29993228],[-0.17692923  0.1964558   2.12223024],[-2.09319521  0.4029295  -0.93648716],[2.68243834 1.75389398 4.63471852],[0.39640179 0.3475363  0.32962827 0.37119412],[-2.03622293  1.47175753  1.30150521 -0.87641245],[False False False],[False False False],[False False False],[False False False],[-0.5608726  -0.54434896 -0.63113927],[-0.17863898  0.19474454  2.12524348],[-1.62479918 -1.66927259  0.41147442],[0.74142545 0.81517493 0.33814789],1.1526343148286184,0.667163316956082
[ 0.32828717 -0.33810882 -8.495271  ],[-0.18648481  0.18198176  2.05316828],[-2.10338234  0.2683477  -0.92872153],[2.69047629 1.73697001 4.62999921],[0.25110171 0.15094786 0.52147026 0.50898074],[-2.03622293  1.47175753  1.30150521 -0.87641245],[False False False],[False False False],[False False False],[False False False],[-0.54303728 -0.48913819 -0.42040525],[-0.18354801  0.18453154  2.06018461],[-1.38188546 -1.84015529  0.37227665],[0.70116563 0.86350452 0.34182765],1.1636663738892696,0.6697961942376659
