step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
9,0,[ 2.24246582 -0.68430825 -0.36856966],[-0.28913326  0.12328419 -2.61683114],[ 0.21603372  1.73516356 -0.59637278],[4.13262414 4.49990029 2.79989631],[0.81737562 0.75369912 0.78515533 0.63298686],[-3.13730502 -1.83419371 -0.2748898  -0.47970968],[False False False],[False False False],[False False False],[False False False],[ 0.03059333 -0.12037749 -0.05925646],[-0.28925388  0.13548134 -2.61199654],[0.99679912 1.15335663 0.9903031 ],[6.46120347 0.33926905 0.35412322],6.479788346748027,0.7207467623665771
9,0,[ 2.37215371 -2.04039274 -1.11440413],[-0.2686108   0.10475879 -2.62024211],[ 0.20466976  1.75278349 -0.46101702],[4.1383333  4.48822456 2.79203455],[0.37074882 0.38423543 0.30033812 0.41563892],[-3.13730502 -1.83419371 -0.2748898  -0.47970968],[False False False],[False False False],[False False False],[False False False],[-0.17894025  0.41409513  0.12567502],[-0.26782121  0.11481567 -2.61589793],[1.01400579 1.22950854 0.85352574],[6.4615755  0.38505596 0.24063992],6.477509835313571,0.7207731992393451
9,0,[ 1.30578976 -1.26161717 -1.074603  ],[-0.25599784  0.09007704 -2.62607126],[ 0.19099825  1.77065492 -0.49522524],[4.14407592 4.47630875 2.78425387],[0.15469318 0.25672236 0.15343121 0.38440296],[-3.13730502 -1.83419371 -0.2748898  -0.47970968],[False False False],[False False False],[False False False],[False False False],[-0.51319359  0.88089594  0.2477204 ],[-0.25116588  0.09319333 -2.62360562],[1.00390704 1.2528893  0.89973593],[6.45868515 0.43375643 0.15706939],6.4751393297953435,0.7163991452661682
9,0,[ 0.5900663   0.16190991 -0.64681708],[-0.25046241  0.08642725 -2.63182871],[ 0.18600105  1.78982327 -0.52744962],[4.14983924 4.46427052 2.77621466],[0.27875441 0.41410805 0.35746963 0.52041984],[-3.13730502 -1.83419371 -0.2748898  -0.47970968],[False False False],[False False False],[False False False],[False False False],[-0.45327677  0.76709875  0.23051245],[-0.24160599  0.08270751 -2.63130995],[1.00393011 1.28828407 0.87342096],[6.45466127 0.46164112 0.14456664],6.472763250515982,0.716416819260003
10,0,[ 0.38761388  1.50652872 -0.15024566],[-0.24775104  0.09663143 -2.63639467],[ 0.19571032  1.8091914  -0.53682742],[4.1556355  4.4520551  2.76813889],[0.1278567  0.21627862 0.2207613  0.22231734],[-3.11004758 -1.72934282 -0.42325553 -0.35995293],[False False False],[False False False],[False False False],[False False False],[-0.1310639   0.31976034  0.1248141 ],[-0.23676946  0.08898104 -2.63719854],[1.01095214 1.31017245 0.86007971],[6.4503718  0.45956513 0.21756691],6.470381118725423,0.7158338170009807
10,0,[ 0.67041917  1.48576051 -0.04201114],[-0.24321143  0.10898325 -2.63997979],[ 0.21055661  1.82671151 -0.59870455],[4.16144242 4.43977293 2.75961749],[0.16992044 0.1820532  0.23133001 0.1121465 ],[-3.11004758 -1.72934282 -0.42325553 -0.35995293],[False False False],[False False False],[False False False],[False False False],[ 0.33329254 -0.26109209 -0.02782144],[-0.23430703  0.10268966 -2.64088175],[1.007067   1.29379739 0.9838917 ],[6.4452654  0.44871098 0.30232928],6.4679355780283565,0.7096189089677762
10,0,[ 1.13150349  0.95566873 -0.12386402],[-0.23527221  0.1177862  -2.64281581],[ 0.22429894  1.84155028 -0.64545453],[4.16725682 4.42741529 2.75067954],[0.44989839 0.47007404 0.48229124 0.36235928],[-3.11004758 -1.72934282 -0.42325553 -0.35995293],[False False False],[False False False],[False False False],[False False False],[ 0.28828742 -0.48653975 -0.25336574],[-0.22909417  0.11533264 -2.64188631],[1.00551427 1.28842633 1.06731118],[6.44016742 0.44031965 0.36313252],6.465408191018901,0.7046240484349873
10,0,[ 1.90868474  0.23388818 -0.46610793],[-0.22105612  0.12033026 -2.64656665],[ 0.23019233  1.85312643 -0.60771577],[4.17308694 4.41479408 2.74202198],[0.56923688 0.56380517 0.54273441 0.48501167],[-3.11004758 -1.72934282 -0.42325553 -0.35995293],[False False False],[False False False],[False False False],[False False False],[ 0.13199557 -0.39545788 -0.25676811],[-0.21619784  0.121408   -2.64345553],[1.01995329 1.33427567 0.96227458],[6.43578964 0.45006975 0.38252493],6.462838103693709,0.7074028805988415
11,0,[ 1.03409724 -0.63720654 -0.84313173],[-0.20888623  0.1161197  -2.65243557],[ 0.226466    1.86752269 -0.48231683],[4.17892584 4.40174439 2.73430288],[0.84972504 0.64926416 0.71804157 0.79641214],[-3.32947278 -1.77599645 -0.40606448 -0.49591082],[False False False],[False False False],[False False False],[False False False],[ 0.02665942 -0.12809532 -0.14214   ],[-0.20450777  0.11911173 -2.6477853 ],[1.03669604 1.40111833 0.78374324],[6.43204804 0.48188114 0.36135923],6.460188230411115,0.7105976774320886
11,0,[-1.26252877 -1.0518524  -0.6091752 ],[-0.21805638  0.10487875 -2.65617936],[ 0.2222578   1.88951791 -0.28861217],[4.18476029 4.38811061 2.72822518],[0.3066454  0.38208371 0.35623612 0.4547495 ],[-3.32947278 -1.77599645 -0.40606448 -0.49591082],[False False False],[False False False],[False False False],[False False False],[0.03362613 0.06572436 0.10144827],[-0.21413064  0.10732612 -2.65186038],[1.0561067  1.44829057 0.66693018],[6.43071766 0.50206102 0.30203172],6.4573537972294615,0.7090232348053516
11,0,[-1.06822647 -0.15256873 -0.29509133],[-0.2285611   0.10134406 -2.65833727],[ 0.22492112  1.91090767 -0.27326602],[4.19059686 4.3742733  2.72228281],[0.13925667 0.370251   0.31548381 0.27587796],[-3.32947278 -1.77599645 -0.40606448 -0.49591082],[False False False],[False False False],[False False False],[False False False],[-0.28107246  0.26069727  0.20533956],[-0.22274882  0.10164842 -2.65574633],[1.06223487 1.45215644 0.7216274 ],[6.42834073 0.50156918 0.29033577],6.454411747629209,0.7051468415281972
11,0,[-0.0400355   0.49261367 -0.26272528],[-0.23125712  0.10379152 -2.66112526],[ 0.23024636  1.93094142 -0.3038433 ],[4.19643951 4.36033024 2.71606391],[0.07943602 0.29182124 0.2415187  0.15178075],[-3.32947278 -1.77599645 -0.40606448 -0.49591082],[False False False],[False False False],[False False False],[False False False],[-0.30970614  0.20398118  0.15129973],[-0.22284982  0.10224897 -2.65990736],[1.07318041 1.47269536 0.70777934],[6.42454996 0.49857828 0.31296709],6.451462692226045,0.7047585783894876
