time/time_elapsed,time/total_timesteps,rew_vec_envs,time/fps,time/iterations,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/loss,train/n_updates
3223,1212416,-661.3159275054932,376,37,0.20554351806640625,3293.4938735961914,0.005362673,0.001,0.8876062631607056,0.0367767333984375,-0.006197462799900677,-5.209632131457329,0.2,1466.830078125,360
3313,1245184,-738.8661270141602,375,38,0.18523931503295898,3195.564303588867,0.004959198,0.001,0.8843585252761841,0.0324920654296875,-0.006076983551611193,-5.190463709831238,0.2,1507.900146484375,370
3402,1277952,-590.0233573913574,375,39,0.1696518063545227,3232.7778701782227,0.0051437197,0.001,0.8825889825820923,0.0367645263671875,-0.006353437334473711,-5.179133546352387,0.2,1260.614990234375,380
3490,1310720,-718.2197714745998,375,40,0.21475380659103394,3265.3433212280274,0.0047933515,0.001,0.8820177316665649,0.0320037841796875,-0.00567446269269567,-5.173042818903923,0.2,1338.532470703125,390
3581,1343488,-626.8810052871704,375,41,0.16228759288787842,3294.195977783203,0.0051035285,0.001,0.8811142444610596,0.039471435546875,-0.006316721407347359,-5.170925441384315,0.2,1411.1331787109375,400
3670,1376256,-616.8270788192749,374,42,0.1832350492477417,3348.424540710449,0.0055966685,0.001,0.8786044716835022,0.03968505859375,-0.00656070029726834,-5.163281059265136,0.2,1472.6778564453125,410
3757,1409024,-564.8947620391846,374,43,0.16367173194885254,3334.4292083740233,0.005339511,0.001,0.8739031553268433,0.0374053955078125,-0.0062294513350934725,-5.145026689767837,0.2,1497.679931640625,420
3848,1441792,-614.1443767547607,374,44,0.18384742736816406,3134.446040344238,0.0052940333,0.001,0.8720347881317139,0.0378631591796875,-0.0061354322373517785,-5.130200359225273,0.2,1204.322021484375,430
3936,1474560,-524.3131713867188,374,45,0.17773067951202393,3141.658283996582,0.0055885287,0.001,0.8669604659080505,0.036224365234375,-0.0064218350424198435,-5.11378827393055,0.2,1378.3134765625,440
4026,1507328,-536.729658126831,374,46,0.21264827251434326,2815.6760025024414,0.005235587,0.001,0.8658550977706909,0.040460205078125,-0.0067935496728750875,-5.0991156488657,0.2,1244.752197265625,450
4118,1540096,-517.049955368042,373,47,0.18784373998641968,2896.2949645996096,0.0053019803,0.001,0.861497700214386,0.0379119873046875,-0.006368670820666012,-5.087444692850113,0.2,1217.1287841796875,460
4207,1572864,-611.554429769516,373,48,0.22103118896484375,2925.4057037353514,0.005294457,0.001,0.8585562705993652,0.03687744140625,-0.006415835091320332,-5.070940589904785,0.2,1243.9739990234375,470
4294,1605632,-540.746696472168,373,49,0.23314929008483887,2932.716876220703,0.0053900154,0.001,0.8542512655258179,0.03800048828125,-0.0067454762160195966,-5.051692456007004,0.2,1217.7225341796875,480
4383,1638400,-619.8271036148071,373,50,0.1804112195968628,2684.5544525146483,0.005250858,0.001,0.8471401929855347,0.033056640625,-0.0063029938319232315,-5.02423129081726,0.2,1154.9835205078125,490
4472,1671168,-480.2446804046631,373,51,0.15852731466293335,2996.7155532836914,0.0053475355,0.001,0.8404802083969116,0.0384674072265625,-0.00671624682872789,-4.991450765728951,0.2,1257.3134765625,500
4561,1703936,-664.5849704742432,373,52,0.1994062066078186,2878.329205322266,0.005603429,0.001,0.839099645614624,0.0393218994140625,-0.007009386540448759,-4.974023652076721,0.2,1077.1439208984375,510
4649,1736704,-523.4056959152222,373,53,0.1830068826675415,2588.01379699707,0.0060832305,0.001,0.8364176750183105,0.0437225341796875,-0.006627534188737627,-4.96390592455864,0.2,981.9027709960938,520
4736,1769472,-560.3697824478149,373,54,0.21941322088241577,2490.657065582275,0.005425826,0.001,0.8325782418251038,0.0334686279296875,-0.0061566006585053405,-4.946858552098274,0.2,1054.422607421875,530
4821,1802240,-321.91969269514084,373,55,0.23034542798995972,2679.90904006958,0.0052179703,0.001,0.8279603123664856,0.0369598388671875,-0.006647235483978875,-4.925121238827705,0.2,1087.4891357421875,540
4908,1835008,-338.72304821014404,373,56,0.1843041181564331,2431.8425384521483,0.005309506,0.001,0.8243687748908997,0.0369537353515625,-0.006823458141298033,-4.904393658041954,0.2,869.2598876953125,550
4995,1867776,-448.3572434782982,373,57,0.21943587064743042,2302.9000717163085,0.006015963,0.001,0.8180448412895203,0.04520263671875,-0.006995641705725575,-4.878819492459297,0.2,856.4539794921875,560
5077,1900544,-415.76567125320435,374,58,0.2543894052505493,2198.5575340271,0.0053065703,0.001,0.8129584789276123,0.037176513671875,-0.006910750524548348,-4.851056757569313,0.2,910.3421020507812,570
5156,1933312,-452.29406230151653,374,59,0.2240431308746338,2073.584019470215,0.0051463638,0.001,0.807663083076477,0.03507080078125,-0.006519292302255053,-4.82328881919384,0.2,776.66845703125,580
5228,1966080,-317.9309537410736,376,60,0.22264599800109863,2193.4356903076173,0.0062997914,0.001,0.8007426261901855,0.0462554931640625,-0.007378553634043783,-4.793375241756439,0.2,931.9396362304688,590
5300,1998848,-461.03161120414734,377,61,0.27682143449783325,1733.0714881896972,0.0061658076,0.001,0.7974106073379517,0.0470123291015625,-0.007989256475411821,-4.7675312727689745,0.2,824.482421875,600
5370,2031616,-328.71156337857246,378,62,0.2621239423751831,1953.981071472168,0.0058567408,0.001,0.7926753759384155,0.04149169921875,-0.007037604838842526,-4.745875972509384,0.2,778.6385498046875,610
5438,2064384,-241.29571545124054,379,63,0.30851268768310547,1836.5731559753417,0.006382047,0.001,0.7885990738868713,0.0457855224609375,-0.008222443035629112,-4.721217927336693,0.2,661.7228393554688,620
5506,2097152,-311.7694891691208,380,64,0.32409757375717163,1569.4698486328125,0.0068528475,0.001,0.7808592319488525,0.0524078369140625,-0.008366509538609535,-4.688113996386528,0.2,629.4207763671875,630
5573,2129920,-378.45245784521103,382,65,0.3328782320022583,1584.3181137084962,0.0059392047,0.001,0.7758381366729736,0.0427642822265625,-0.0078051567921647805,-4.655593913793564,0.2,667.2088012695312,640
5637,2162688,-213.24933576583862,383,66,0.33219337463378906,1487.2283893585204,0.006675531,0.001,0.7721993923187256,0.0548736572265625,-0.008012268540915102,-4.632363814115524,0.2,647.5866088867188,650
5700,2195456,-342.73088562488556,385,67,0.37357574701309204,1323.8719486236573,0.006665327,0.001,0.7638306617736816,0.0514556884765625,-0.008591736757080071,-4.596527391672135,0.2,470.4667663574219,660
5762,2228224,-250.0377456843853,386,68,0.32969123125076294,1332.3937793731689,0.0070082545,0.001,0.7601703405380249,0.053155517578125,-0.007963298696267884,-4.564781486988068,0.2,469.7619323730469,670
5824,2260992,-139.95000037550926,388,69,0.37459635734558105,1158.462557220459,0.0077046664,0.001,0.7513771057128906,0.057720947265625,-0.007794729874876794,-4.5266572564840315,0.2,461.6282043457031,680
5881,2293760,-212.88237524032593,389,70,0.4446958303451538,1273.544524383545,0.0061492645,0.001,0.7471212148666382,0.047412109375,-0.007773957814788446,-4.492032885551453,0.2,457.753662109375,690
5937,2326528,-255.5400686264038,391,71,0.46524935960769653,921.5425109863281,0.0068310765,0.001,0.7421219348907471,0.0565032958984375,-0.007903191988589242,-4.466951221227646,0.2,287.5844421386719,700
5992,2359296,-193.8804825246334,393,72,0.4138312339782715,920.3603408813476,0.0070835613,0.001,0.7389770150184631,0.0584503173828125,-0.008038995275273918,-4.443362399935722,0.2,293.44122314453125,710
6049,2392064,-163.002655595541,395,73,0.42168128490448,993.14543800354,0.007036618,0.001,0.7353938817977905,0.06571044921875,-0.00853187266329769,-4.419079118967057,0.2,374.30255126953125,720
6103,2424832,-158.73758381605148,397,74,0.4481988549232483,1030.965665435791,0.007758137,0.001,0.7289928793907166,0.068975830078125,-0.009449500826303848,-4.389480373263359,0.2,338.58282470703125,730
