time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,time/iterations,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
737280,601,1224,272.3244733810425,45,0.7526864111423492,0.938690185546875,0.2,126.25775909423828,0.005878334,440,-5.418950766324997,494.0856472015381,0.0001,0.0444580078125,-0.002842100648013002
753664,602,1250,229.99892044067383,46,0.5355364084243774,0.9385448694229126,0.2,1335.5810546875,0.0050910963,450,-5.4201742365956305,1542.9402070999145,0.0001,0.037799072265625,-0.002341796312248334
770048,602,1277,497.9683036804199,47,0.6982623338699341,0.9375113844871521,0.2,449.13543701171875,0.0044608205,460,-5.417561443150044,803.766328907013,0.0001,0.028094482421875,-0.0014080085156820132
786432,603,1303,318.6170377731323,48,0.6333297789096832,0.9372706413269043,0.2,149.98365783691406,0.004556136,470,-5.4144441857934,1094.8287532806396,0.0001,0.030340576171875,-0.0018249726022986578
802816,603,1330,328.92996883392334,49,0.6023880243301392,0.9360221028327942,0.2,382.7751770019531,0.0061010025,480,-5.410940682888031,1545.2070046424865,0.0001,0.05548095703125,-0.003146160096002859
819200,603,1356,229.53682708740234,50,0.7250678241252899,0.9337753057479858,0.2,307.7987060546875,0.0054334975,490,-5.404343709349632,682.8287794589996,0.0001,0.04774169921875,-0.0031585406612066437
835584,604,1382,313.28558921813965,51,0.6961310803890228,0.9301735162734985,0.2,760.8245849609375,0.0049440777,500,-5.392174354195594,801.7203973293305,0.0001,0.040325927734375,-0.0022182226155564424
851968,604,1409,235.34327125549316,52,0.7134495377540588,0.9302135705947876,0.2,99.69926452636719,0.0054044556,510,-5.3840395390987394,792.917673778534,0.0001,0.0456787109375,-0.002032060192141216
868352,604,1435,273.4767198562622,53,0.694951206445694,0.9301557540893555,0.2,347.6046447753906,0.0047185356,520,-5.38365853279829,877.1147667884827,0.0001,0.04288330078125,-0.0025942710188246567
884736,605,1461,304.0008296966553,54,0.6302043795585632,0.9281978607177734,0.2,414.5702209472656,0.0048221163,530,-5.379944057762623,1156.0705400466918,0.0001,0.026458740234375,-0.001250072007314884
901120,605,1488,255.4726505279541,55,0.5569631457328796,0.9232382774353027,0.2,793.1217041015625,0.0049849665,540,-5.364358969032764,1494.51165599823,0.0001,0.040203857421875,-0.002278628037311137
917504,605,1514,188.41911458969116,56,0.7335295975208282,0.922576904296875,0.2,232.26937866210938,0.0051337294,550,-5.351789276301861,570.6943748950958,0.0001,0.036334228515625,-0.001914463233333663
933888,605,1541,295.69476318359375,57,0.6301979124546051,0.9234746098518372,0.2,536.6366577148438,0.0039757704,560,-5.35236634016037,1174.979985332489,0.0001,0.03150634765625,-0.002417546026481432
950272,606,1567,589.0658359527588,58,0.5367506146430969,0.9218334555625916,0.2,1073.2747802734375,0.004861281,570,-5.3509649023413655,1682.2416981697083,0.0001,0.045111083984375,-0.002295194698854175
966656,606,1594,260.3109073638916,59,0.5666657388210297,0.9219502806663513,0.2,580.1708984375,0.004837308,580,-5.347591303288937,1683.6671986579895,0.0001,0.035845947265625,-0.0020720817217807054
983040,606,1620,216.18420219421387,60,0.7245849967002869,0.9164421558380127,0.2,419.6195983886719,0.0042821504,590,-5.336133126914501,725.599592590332,0.0001,0.029473876953125,-0.0019627023699285927
999424,606,1647,321.01638317108154,61,0.7216712534427643,0.9144255518913269,0.2,181.54750061035156,0.0061167004,600,-5.318716339766979,591.6708548545837,0.0001,0.047564697265625,-0.002578758466188447
1015808,606,1675,413.36485958099365,62,0.5284377932548523,0.9125937223434448,0.2,1011.2169189453125,0.0045117354,610,-5.31011239439249,2024.4146127700806,0.0001,0.029046630859375,-0.0020192002799376495
1032192,606,1703,290.24196434020996,63,0.5085541009902954,0.9117347002029419,0.2,443.07525634765625,0.0043011312,620,-5.304920715093613,1644.2883588790894,0.0001,0.035089111328125,-0.002003971934573201
1048576,606,1729,486.5132579803467,64,0.6619206666946411,0.9100016355514526,0.2,655.2355346679688,0.005781799,630,-5.298231096565724,1189.1091963768006,0.0001,0.047869873046875,-0.0030636054099886676
1064960,606,1756,330.74685859680176,65,0.5860002338886261,0.9101703763008118,0.2,732.3289794921875,0.0047579342,640,-5.294647161662579,1626.1808658599853,0.0001,0.041864013671875,-0.0029920263004896697
1081344,606,1783,448.1748447418213,66,0.7517388612031937,0.9068316221237183,0.2,348.5447692871094,0.004242043,650,-5.288554209470749,669.7331047058105,0.0001,0.03699951171875,-0.0026521273019170623
1097728,606,1810,400.1528778076172,67,0.7023887932300568,0.9048800468444824,0.2,140.020751953125,0.005536569,660,-5.276026047766209,920.5376194953918,0.0001,0.046051025390625,-0.002186773709763656
1114112,606,1837,488.0518627166748,68,0.5467070639133453,0.9034867286682129,0.2,982.262939453125,0.006903787,670,-5.270005249977112,1928.407200050354,0.0001,0.064801025390625,-0.003967256438409094
1130496,606,1864,249.8832607269287,69,0.6468305885791779,0.901219367980957,0.2,541.342529296875,0.0048612403,680,-5.26084261983633,1143.0860674858093,0.0001,0.03804931640625,-0.0023913503369840327
1146880,606,1891,256.72235679626465,70,0.7266470491886139,0.8999691009521484,0.2,300.0207214355469,0.0050726486,690,-5.253846934437751,759.0043790340424,0.0001,0.043450927734375,-0.0025856579202809373
1163264,606,1918,340.2915472984314,71,0.6856269836425781,0.8982583284378052,0.2,501.4904479980469,0.0056566405,700,-5.247101740539074,928.6491613388062,0.0001,0.03985595703125,-0.0018621583774802275
1179648,606,1946,316.1244297027588,72,0.5417785942554474,0.8981949687004089,0.2,1256.52490234375,0.006774392,710,-5.242606043815613,1536.29333152771,0.0001,0.055517578125,-0.0035619198151835008
1196032,606,1973,276.66374015808105,73,0.6223562061786652,0.8982676267623901,0.2,651.8485107421875,0.0048623323,720,-5.243142418563366,1615.758732032776,0.0001,0.03515625,-0.001994061882578535
1212416,606,2000,191.8727216720581,74,0.6047469675540924,0.8958247900009155,0.2,536.9618530273438,0.005198464,730,-5.237802760303021,1738.8280897140503,0.0001,0.038751220703125,-0.002746360179662588
1228800,605,2027,270.3218822479248,75,0.6833293735980988,0.8928368091583252,0.2,213.7536163330078,0.005021473,740,-5.225866325199604,1229.234629058838,0.0001,0.030157470703125,-0.002022339602262946
1245184,605,2055,386.9859981536865,76,0.6779098808765411,0.8882704973220825,0.2,309.37982177734375,0.0055454085,750,-5.208681643009186,1019.4788638114929,0.0001,0.039141845703125,-0.0025815098877501443
1261568,605,2082,253.529767036438,77,0.5750029981136322,0.8873251080513,0.2,821.3390502929688,0.004491717,760,-5.195923112332821,1767.6408950805665,0.0001,0.033148193359375,-0.0023618014849489553
1277952,605,2110,518.3299598693848,78,0.6060727536678314,0.8857535123825073,0.2,455.4222106933594,0.004495455,770,-5.190050493180752,1538.3826505661011,0.0001,0.03363037109375,-0.002175786883890396
1294336,605,2137,474.71362495422363,79,0.605735182762146,0.8857338428497314,0.2,424.7866516113281,0.00541512,780,-5.1863047808408735,1603.8770013809203,0.0001,0.033599853515625,-0.0018917092464107554
1310720,605,2165,522.1550521850586,80,0.7391408979892731,0.8834887146949768,0.2,369.51788330078125,0.005100669,790,-5.1811528384685515,1016.5221050262451,0.0001,0.03232421875,-0.0027687762893037872
1327104,605,2193,377.91073989868164,81,0.6148459613323212,0.881750226020813,0.2,759.2071533203125,0.005898319,800,-5.1718519747257234,1283.951922225952,0.0001,0.051239013671875,-0.003447285458241822
1343488,604,2221,338.63860607147217,82,0.6904902160167694,0.8796078562736511,0.2,391.3182678222656,0.0033382028,810,-5.162990796566009,1074.2868640899658,0.0001,0.023822021484375,-0.0017500748828751967
1359872,604,2249,433.9507007598877,83,0.7068582475185394,0.876704216003418,0.2,380.54486083984375,0.0050746696,820,-5.150747027993202,1168.891803073883,0.0001,0.04285888671875,-0.003131604241207242
1376256,604,2278,436.07351779937744,84,0.6861933469772339,0.8762940168380737,0.2,503.182861328125,0.004293848,830,-5.144422875344754,1403.2795919418336,0.0001,0.039141845703125,-0.0029402374408164177
1392640,603,2307,352.6814384460449,85,0.727654755115509,0.8723922967910767,0.2,824.7507934570312,0.005188917,840,-5.13448768556118,1171.08551568985,0.0001,0.039532470703125,-0.003266536359478778
1409024,603,2335,236.1479573249817,86,0.5998473465442657,0.8706479072570801,0.2,840.1796264648438,0.004712051,850,-5.121282847225666,2315.3794235229493,0.0001,0.030621337890625,-0.0019176834243808116
1425408,602,2363,288.9873366355896,87,0.6319458186626434,0.867457389831543,0.2,1074.6007080078125,0.0038120411,860,-5.109953993558884,2140.2988063812254,0.0001,0.020782470703125,-0.0015933673004838056
1441792,602,2392,251.09004282951355,88,0.6478039026260376,0.867428183555603,0.2,481.9520568847656,0.00571278,870,-5.102148999273777,1673.8319231033324,0.0001,0.0404296875,-0.002520871679371339
1458176,602,2421,372.94155502319336,89,0.6226469576358795,0.8654346466064453,0.2,997.123046875,0.0040221442,880,-5.097426101565361,1900.0696474075316,0.0001,0.031280517578125,-0.0024262226823339008
1474560,601,2450,310.1398992538452,90,0.626682460308075,0.8642483949661255,0.2,525.8756713867188,0.0052226144,890,-5.090239669382572,1994.7700687408446,0.0001,0.0404296875,-0.002519539455897757
1490944,601,2479,343.6758451461792,91,0.5945416688919067,0.8620272874832153,0.2,1018.039306640625,0.004827287,900,-5.08214303702116,2598.7469802856444,0.0001,0.039483642578125,-0.002607030634317198
1507328,600,2508,468.3579921722412,92,0.6997041404247284,0.8604134321212769,0.2,846.9357299804688,0.004724269,910,-5.0728109404444695,1827.2077617645264,0.0001,0.034576416015625,-0.0027352226570656057
1523712,600,2536,373.1475944519043,93,0.673649251461029,0.8590976595878601,0.2,987.0760498046875,0.0052608782,920,-5.066319017112255,2009.3443464279176,0.0001,0.035498046875,-0.0027539228478417497
1540096,600,2564,389.75330543518066,94,0.689592719078064,0.8586702346801758,0.2,694.990966796875,0.0046040537,930,-5.06210191398859,1377.7453510284424,0.0001,0.036309814453125,-0.002582512437584228
1556480,600,2594,453.3926315307617,95,0.5891336798667908,0.8587514162063599,0.2,721.15478515625,0.005167219,940,-5.0613800346851345,2166.883947944641,0.0001,0.035345458984375,-0.0020148409872490446
1572864,599,2623,685.6489067077637,96,0.6148306131362915,0.8572503328323364,0.2,1409.392578125,0.004840318,950,-5.058016480505467,2292.8811542510985,0.0001,0.033465576171875,-0.0023385726923152105
1589248,599,2653,202.10758686065674,97,0.7013041377067566,0.8552006483078003,0.2,531.8014526367188,0.0043416712,960,-5.0492940813302996,1794.2099834442138,0.0001,0.028173828125,-0.0019928998273826435
1605632,598,2681,398.29143714904785,98,0.6918981373310089,0.8538010120391846,0.2,814.771484375,0.004950572,970,-5.041487887501717,1576.3652376174928,0.0001,0.032574462890625,-0.002233307357164449
1622016,598,2710,338.99173164367676,99,0.6687336266040802,0.8524696826934814,0.2,906.476806640625,0.0035596234,980,-5.03419119566679,2171.137623977661,0.0001,0.02490234375,-0.0017756708948581945
1638400,598,2739,251.7412223815918,100,0.6961020231246948,0.8539459109306335,0.2,606.8704833984375,0.0031431925,990,-5.0348485767841336,1229.0024457931518,0.0001,0.02713623046875,-0.0018785761363687924
1654784,597,2768,409.19138622283936,101,0.6410979628562927,0.8530704379081726,0.2,1161.2608642578125,0.0052386704,1000,-5.036116701364517,1857.8700262069701,0.0001,0.034027099609375,-0.0022547323282196886
