ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[-1.14807587 -0.57453468 -0.53534034],[ 0.19180963 -0.17158572 -0.01942346],[-2.41869089 -2.26976153  0.74100026],[2.62666422 2.74899274 1.22774464],[0.67745575 0.67088599 0.62501829 0.65579085],[-3.  -3.   0.   0.8],[-0.52679392 -1.32968368 -0.35647852],[ 0.46681133 -0.44889047  0.03392277],[ 4.84452036  4.80298447 -1.70765464],[ 5.44652424  5.34471959 -2.1745521 ],[-0.14265553  0.33344838  0.27448723],[ 0.1884873  -0.17131374 -0.0167141 ],[ 2.21062133  2.06934    -1.5098206 ],[-2.58887856 -2.71515576  0.67536166],3.8118862015220065,0.5601329017516171
[-0.52679392 -1.32968368 -0.35647852],[-0.2750017   0.27730475 -0.05334623],[2.58154939 2.67449697 0.81863116],[8.29262714 8.30124358 1.05831773],[0.13017455 0.07753125 0.19140698 0.16180461],[4.  4.  0.  0.8],[-0.28752164  0.23636933  0.2643881 ],[-0.4219764   0.65939038  0.01201734],[-4.92178718 -4.32125285 -2.79979083],[ 2.30482519 -2.37707187  0.11637233],[ 0.18761139 -0.1195677   0.25353693],[-0.27761266  0.28155003 -0.06037407],[-2.13043841 -2.31722742 -2.12189125],[1.59432475 1.63518812 0.7928552 ],2.4175051102293277,0.5193756667403981
[-0.28752164  0.23636933  0.2643881 ],[ 0.1469747  -0.38208562 -0.06536357],[-2.82361622 -1.96305164  0.70299633],[10.59302575  5.9190433   1.15589026],[0.19889531 0.12704677 0.10295931 0.16376584],[-5.  -2.   0.   0.8],[-0.52679392 -1.32968368 -0.35647852],[ 0.4219764  -0.65939038 -0.01201734],[ 4.7667312   4.66473919 -2.500905  ],[-2.31071496  2.32342828  0.48837462],[ 0.18761139 -0.1195677   0.25353693],[ 0.14436373 -0.37784035 -0.07239141],[ 2.2487559   1.88563393 -1.91174666],[-0.87522316  4.00739021 -0.48526108],4.130456410051843,0.5489931033804911
[-1.2963127   0.01710353 -0.66409672],[ 0.18172248 -0.1722518  -0.02563601],[-2.41616482 -2.30852692  0.83748328],[2.6057794  2.72938822 1.22754398],[0.25549116 0.35741023 0.33285367 0.37859564],[-3.  -3.   0.   0.8],[-0.44338806 -1.51000077 -0.11633059],[ 0.46029017 -0.43722665  0.02578544],[ 4.80648113  4.87924471 -1.83945744],[ 5.45132363  5.44054823 -2.14458374],[-0.1869302   0.22631493  0.23718947],[ 0.1799284  -0.17403516 -0.02503719],[ 2.16648799  2.11028254 -1.64205424],[-2.5515945  -2.71849869  0.64278625],3.78339051311075,0.5554927112770747
[-0.44338806 -1.51000077 -0.11633059],[-0.27856769  0.26497484 -0.05142144],[2.60806381 2.69566674 0.74767186],[8.3147031  8.32342942 1.05253826],[0.26066456 0.33734451 0.36521465 0.34299113],[4.  4.  0.  0.8],[-0.78665128  0.10736143  0.12174515],[-0.41973854  0.64597921  0.0122287 ],[-5.01204056 -4.35314013 -2.75588073],[ 2.26706539 -2.40906887  0.05583356],[0.2082271  0.00233467 0.20173448],[-0.28294352  0.26937335 -0.06027874],[-2.18186813 -2.33620884 -2.10289951],[1.57975248 1.61209771 0.77349009],2.385951347580944,0.5175391629669666
[-0.78665128  0.10736143  0.12174515],[ 0.14117086 -0.38100437 -0.06365014],[-2.85664631 -1.97276116  0.65832694],[10.56878738  5.90352673  1.14995861],[0.50993772 0.44367989 0.43118421 0.46516494],[-5.  -2.   0.   0.8],[-0.44338806 -1.51000077 -0.11633059],[ 0.41973854 -0.64597921 -0.0122287 ],[ 4.82014335  4.69863139 -2.52078147],[-2.26732202  2.36205347  0.47567843],[0.2082271  0.00233467 0.20173448],[ 0.13679502 -0.37660586 -0.07250744],[ 2.27974346  1.90067544 -1.92210169],[-0.84517012  4.02752092 -0.47114043],4.142126336129461,0.5466501866010145
[-1.159571    0.64251237 -0.38693465],[ 0.17228468 -0.16727258 -0.02865605],[-2.42371415 -2.33940751  0.77835433],[2.58479443 2.70967574 1.22727687],[0.11835351 0.20276288 0.23091173 0.24701846],[-3.  -3.   0.   0.8],[ 0.34039839 -0.99706644  0.15306816],[ 0.44928374 -0.42268189  0.01903234],[ 4.83986665  4.97240928 -1.73753273],[ 5.48022126  5.52270322 -2.08618539],[-0.15928575  0.16221007  0.12830838],[ 0.17191789 -0.17052097 -0.02942562],[ 2.17425085  2.16704758 -1.60663451],[-2.52392482 -2.71497834  0.59756521],3.754782024823742,0.5542681201407327
[ 0.34039839 -0.99706644  0.15306816],[-0.27699906  0.25540931 -0.04768839],[2.63855762 2.71429012 0.73678447],[8.33693529 8.34576426 1.04664731],[0.40582284 0.57963132 0.49128492 0.53405689],[4.  4.  0.  0.8],[-1.40033766  0.10180247 -0.10589571],[-0.40758452  0.63605102  0.01644058],[-5.11511199 -4.4028177  -2.6668659 ],[ 2.22188233 -2.44654955  0.01253092],[ 0.09331467 -0.00820234  0.08938049],[-0.28250818  0.25977148 -0.05763198],[-2.22525044 -2.34401533 -2.12454496],[1.56706801 1.58877676 0.74991504],2.354206093422551,0.514354975373544
[-1.40033766  0.10180247 -0.10589571],[ 0.13058546 -0.38064172 -0.06412897],[-2.8851388  -1.99203698  0.71206401],[10.5441585   5.88788963  1.14432441],[0.59277136 0.57900241 0.54018618 0.56757515],[-5.  -2.   0.   0.8],[ 0.34039839 -0.99706644  0.15306816],[ 0.40758452 -0.63605102 -0.01644058],[ 4.84697     4.75854661 -2.55430303],[-2.22755982  2.39406335  0.47849842],[ 0.09331467 -0.00820234  0.08938049],[ 0.12507634 -0.37627954 -0.07407257],[ 2.26732678  1.92947247 -2.00510454],[-0.8231975   4.04848461 -0.43415874],4.154079390849396,0.5422392920131665
[-1.06866159  0.8515885  -0.05208391],[ 0.16316812 -0.16034807 -0.02875758],[-2.43824065 -2.36188125  0.70386219],[2.56376453 2.68991791 1.22663692],[0.32984775 0.36880753 0.41576923 0.4044373 ],[-3.  -3.   0.   0.8],[1.29511693 0.548166   0.17892145],[ 0.43084226 -0.41774594  0.01774443],[ 4.89819142  5.05640158 -1.56742481],[ 5.52817047  5.58938771 -2.01678947],[ 0.1444459 -0.0144617 -0.0168966],[ 0.16241716 -0.16380403 -0.02970168],[ 2.21504536  2.22530311 -1.46334102],[-2.50426616 -2.70377     0.54941792],3.7260678046160307,0.5533168239157362
