time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rew_vec_envs,train/explained_variance,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/std,train/clip_fraction,train/value_loss,train/learning_rate
2732,473,79,1294336,0.05523859057575464,0.5984087586402893,0.012905956,-0.007886173203587532,-4.7510604448616505,780,0.2,0.0014838557597613544,0.8012440204620361,0.159320068359375,0.0002418066164807442,0.0001
2766,473,80,1310720,0.00821229862049222,0.55170938372612,0.010619759,0.0018949027871713042,-4.734030984714627,790,0.2,0.00036224151936039564,0.7993043661117554,0.136614990234375,0.00020212238838723806,0.0001
2799,474,81,1327104,0.020694136153906584,0.5047207176685333,0.011946793,-0.0019165113335475326,-4.741836822032928,800,0.2,0.00014879773116263095,0.804519534111023,0.1577392578125,0.00030526287685859186,0.0001
2833,474,82,1343488,0.057429001899436116,0.751446083188057,0.0108664865,-0.004504517186433077,-4.746503407880664,810,0.2,-0.002023749125510221,0.8014729619026184,0.16427001953125,0.00017992800594583968,0.0001
2867,474,83,1359872,0.02792143728584051,0.6692954897880554,0.011763893,-0.012536724098026752,-4.707884899154306,820,0.2,-0.0006231019084225409,0.7915300130844116,0.157098388671875,0.00012147557920485496,0.0001
2900,474,84,1376256,0.10998092056252062,0.512717992067337,0.011641479,0.007508897688239813,-4.68021431453526,830,0.2,-0.0007113808063877513,0.7886711359024048,0.16590576171875,0.0003310189840590283,0.0001
2932,474,85,1392640,0.04313806677237153,0.5213499963283539,0.012997147,-0.008970724418759346,-4.655115618556738,840,0.2,-0.0010099398457896313,0.7847065925598145,0.1688720703125,0.0003708640327118928,0.0001
2967,474,86,1409024,0.060036536771804094,0.8565961420536041,0.012133597,-0.015573715791106224,-4.633057566732168,850,0.2,-0.001165342660897295,0.7797222137451172,0.157073974609375,7.96985026937591e-05,0.0001
3000,475,87,1425408,0.012522658798843622,0.6314492225646973,0.014543416,0.0035707009956240654,-4.617876674234867,860,0.2,4.7666071259300226e-05,0.778471052646637,0.18359375,0.00034263436477317556,0.0001
3034,475,88,1441792,0.030505781527608633,0.5907002389431,0.013695487,-0.007612281478941441,-4.6219750586897135,870,0.2,0.0003306701728433836,0.7804550528526306,0.158843994140625,0.0002307161865786611,0.0001
3068,475,89,1458176,0.040370203321799636,0.43785160779953003,0.014037229,-0.02034836634993553,-4.6301208335906265,880,0.2,-0.001195467224533786,0.7818225622177124,0.1784912109375,0.00034175292826432724,0.0001
3103,475,90,1474560,0.09293782943859696,0.4200366139411926,0.012528844,0.013697544112801552,-4.635411046072841,890,0.2,-0.0008863736540661194,0.7826234698295593,0.154229736328125,0.0002024927956341571,0.0001
3136,475,91,1490944,-0.010940390871837735,0.48769277334213257,0.011824386,-0.005675982683897018,-4.619302421063185,900,0.2,-0.0002306048785612802,0.7761173844337463,0.15848388671875,0.0002173568040433338,0.0001
3170,475,92,1507328,0.040290099335834384,0.5176575779914856,0.011619391,-0.00470688845962286,-4.595214953646064,910,0.2,-0.0003765734549233457,0.7717732191085815,0.161102294921875,0.00018323882066368925,0.0001
3206,475,93,1523712,0.03678292455151677,0.6528352499008179,0.010203406,0.0253749992698431,-4.591701818257571,920,0.2,-0.00010826467878359836,0.7737548351287842,0.141357421875,5.87502468320622e-05,0.0001
3241,475,94,1540096,0.05988645181059837,0.6384233236312866,0.011797665,-0.0037835524417459965,-4.580732319131494,930,0.2,-0.0008130832142342115,0.7685329914093018,0.14068603515625,9.229924579798877e-05,0.0001
3273,475,95,1556480,0.006183942314237356,0.565187007188797,0.012507589,-0.0012156375451013446,-4.555818290635943,940,0.2,-0.00018173414246120957,0.7633445858955383,0.1731689453125,0.0001618702098767244,0.0001
3309,475,96,1572864,0.04730391316115856,0.7499588429927826,0.010367537,-0.016649220138788223,-4.539355757087469,950,0.2,-0.0012129668655688874,0.7618389129638672,0.145654296875,0.00013317177582905515,0.0001
3344,475,97,1589248,0.05538307363167405,0.47853636741638184,0.012339936,-0.008730092085897923,-4.519278137758374,960,0.2,-0.0010750097511845525,0.7564926147460938,0.146160888671875,0.00016895933433005438,0.0001
3378,475,98,1605632,0.05915586510673165,0.5275174677371979,0.013068724,-0.01631981134414673,-4.513863849267364,970,0.2,-0.0018946509255329147,0.7586673498153687,0.175982666015625,0.0002752761477495369,0.0001
3413,475,99,1622016,0.05382039584219456,0.5018199384212494,0.0144243715,0.0002369464491494,-4.503014854341745,980,0.2,-0.0008862821647198871,0.7539311647415161,0.1834716796875,0.0003342697736485434,0.0001
3447,475,100,1638400,0.04875140334479511,0.8129034340381622,0.010377353,0.00032674011890776455,-4.482405490428209,990,0.2,-0.002281666469934862,0.7514059543609619,0.146209716796875,6.639992093084856e-05,0.0001
3482,475,101,1654784,0.05694210762158036,0.4734916687011719,0.014609944,-0.006645193789154291,-4.483480969071389,1000,0.2,-0.0013332405807886972,0.7526358366012573,0.185943603515625,0.00037747137595260937,0.0001
3516,475,102,1671168,0.050081311259418726,0.672027051448822,0.013269798,-0.0036830310709774494,-4.46872976385057,1010,0.2,-0.0009410607384779723,0.746963620185852,0.178289794921875,0.0002797603892929601,0.0001
3552,475,103,1687552,0.05670926067978144,0.5480779707431793,0.013028975,-0.008241722360253334,-4.44787942878902,1020,0.2,-0.0013236841870821082,0.7441445589065552,0.172344970703125,0.00029487529836274006,0.0001
3587,474,104,1703936,0.009602039819583297,0.6705605685710907,0.012662744,0.001541189500130713,-4.429119847342372,1030,0.2,-4.5901826888439244e-05,0.7405595183372498,0.161651611328125,0.0002836094641494924,0.0001
3622,474,105,1720320,0.05582725489512086,0.5808045566082001,0.0132797165,-0.018039075657725334,-4.41285452619195,1040,0.2,-0.0009550181101076304,0.7379451394081116,0.1689453125,0.00022738481632700314,0.0001
3655,475,106,1736704,0.042047397000715137,0.4515224099159241,0.01513246,0.004204128868877888,-4.3943545307964085,1050,0.2,-0.0002332166604901431,0.7355941534042358,0.187274169921875,0.00043247786494191585,0.0001
3690,474,107,1753088,0.011769598349928856,0.7100171148777008,0.013558153,-0.0004256098181940615,-4.36485016271472,1060,0.2,-0.002274113057865179,0.7287025451660156,0.157989501953125,0.000174450128213266,0.0001
3726,474,108,1769472,0.05726858740672469,0.6133683025836945,0.011533568,-0.001907749567180872,-4.3413026433438064,1070,0.2,0.0007516140169173014,0.7270298600196838,0.154022216796875,0.00021982591490115054,0.0001
3761,474,109,1785856,0.00971522182226181,0.6948137879371643,0.011393573,-0.00566362077370286,-4.324070350453257,1080,0.2,-0.00025508387770969423,0.7233743667602539,0.1521240234375,9.621868076834517e-05,0.0001
3795,474,110,1802240,0.02494944096542895,0.5284473598003387,0.016990097,0.00478320149704814,-4.304098273068666,1090,0.2,-0.0001670220368396258,0.719648003578186,0.178533935546875,0.00023212661562581615,0.0001
3830,474,111,1818624,0.01856288220733404,0.797359049320221,0.013701452,-0.00048336535110138357,-4.2831055473536255,1100,0.2,-0.0004124881656025536,0.7155389785766602,0.15821533203125,5.7782933608052646e-05,0.0001
