rew_vec_envs,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/loss
264.94816106557846,2195456,67,3402,645,0.001,-0.010159056830161717,0.2,-4.298214653134346,884.1523189544678,0.6262312531471252,0.7107871174812317,0.009374131,0.093792724609375,660,250.58355712890625
202.6038144826889,2228224,68,3448,646,0.001,-0.009941533916571644,0.2,-4.270270884037018,921.8481628417969,0.6499066650867462,0.7067921161651611,0.008671414,0.0967620849609375,670,336.2632141113281
312.6396532058716,2260992,69,3493,647,0.001,-0.009497059557179454,0.2,-4.253420972824097,994.6409557342529,0.6512742936611176,0.7044771313667297,0.008895415,0.08795166015625,680,248.9806365966797
203.8741433620453,2293760,70,3539,648,0.001,-0.010045685777731706,0.2,-4.239757978916169,1040.5495082855225,0.6178850531578064,0.7024949789047241,0.010247691,0.1060302734375,690,328.5536193847656
237.65495836734772,2326528,71,3584,649,0.001,-0.009842810733243824,0.2,-4.2370611190795895,1130.9028213500976,0.614067792892456,0.7028053998947144,0.008337919,0.0906280517578125,700,411.386962890625
224.57093811035156,2359296,72,3629,650,0.001,-0.010361520455626305,0.2,-4.224129495024681,1022.4159275054932,0.6661484837532043,0.6989525556564331,0.008589352,0.09388427734375,710,308.7864074707031
182.20967292785645,2392064,73,3675,650,0.001,-0.010704815902863629,0.2,-4.200725561380386,1172.4232975006103,0.6739644408226013,0.6960700750350952,0.010248487,0.1015045166015625,720,333.36737060546875
329.531653881073,2424832,74,3721,651,0.001,-0.009154280452639796,0.2,-4.186054149270058,1028.1672105789185,0.6349958777427673,0.6934285759925842,0.008958916,0.0861907958984375,730,341.2345275878906
318.34797808527946,2457600,75,3768,652,0.001,-0.010147121791669633,0.2,-4.166304096579552,1075.1339542388916,0.5906267166137695,0.6896116733551025,0.009991497,0.1044677734375,740,361.6551818847656
245.32660365104675,2490368,76,3814,652,0.001,-0.01021935879252851,0.2,-4.137646088004113,1043.4370288848877,0.6528396010398865,0.6841780543327332,0.010558948,0.105023193359375,750,346.6161804199219
181.1778540611267,2523136,77,3863,653,0.001,-0.010739537939662114,0.2,-4.09701115489006,961.5683292388916,0.6020487844944,0.6782243847846985,0.009468819,0.1025238037109375,760,269.4306945800781
350.7377347946167,2555904,78,3912,653,0.001,-0.009910203838080634,0.2,-4.074900874495507,1134.8124858856202,0.6427478194236755,0.6748943328857422,0.0100839995,0.0907867431640625,770,367.9383850097656
311.7544531226158,2588672,79,3962,653,0.001,-0.008536743313015904,0.2,-4.048049589991569,1080.6796871185302,0.5925213992595673,0.6698015928268433,0.011579664,0.10517578125,780,340.9476013183594
248.08866238594055,2621440,80,4009,653,0.001,-0.010035182948922739,0.2,-4.011248669028282,1035.1673385620118,0.7011679112911224,0.6632804870605469,0.009335789,0.101251220703125,790,289.064453125
304.5665645599365,2654208,81,4059,653,0.001,-0.009065291080332827,0.2,-3.9834717974066733,1004.4760646820068,0.7047463953495026,0.6590776443481445,0.0115750935,0.09854736328125,800,324.78521728515625
267.05992221832275,2686976,82,4115,652,0.001,-0.009822484881442505,0.2,-3.956495702266693,1110.4040267944335,0.6662498414516449,0.655841052532196,0.01160903,0.112127685546875,810,268.96917724609375
363.13792181015015,2719744,83,4168,652,0.001,-0.010344331854139455,0.2,-3.9460646584630013,1203.3312370300293,0.6875929832458496,0.6546807885169983,0.010414679,0.104315185546875,820,393.4441223144531
313.20009660720825,2752512,84,4220,652,0.001,-0.009732557375900796,0.2,-3.9271658942103387,1059.3233810424804,0.5916689336299896,0.6500536203384399,0.0112100905,0.1155853271484375,830,409.42974853515625
369.0529074668884,2785280,85,4276,651,0.001,-0.008664517251600046,0.2,-3.9157957822084426,1098.805425643921,0.6295450627803802,0.6505765914916992,0.013465578,0.12674560546875,840,374.0861511230469
424.41267788410187,2818048,86,4333,650,0.001,-0.010245086200302466,0.2,-3.9110220238566398,1150.3036197662354,0.562700092792511,0.6488790512084961,0.010486729,0.1282684326171875,850,344.5860900878906
329.1363558769226,2850816,87,4391,649,0.001,-0.00904379513958702,0.2,-3.901983217895031,1215.317486190796,0.5712513029575348,0.6485512256622314,0.0100147,0.1106719970703125,860,477.22125244140625
281.0209994316101,2883584,88,4445,648,0.001,-0.008283123090950539,0.2,-3.892246849834919,1157.567234802246,0.5475764274597168,0.6459949016571045,0.009554535,0.1041748046875,870,406.4414367675781
439.1828622817993,2916352,89,4500,648,0.001,-0.008644553359772544,0.2,-3.873074772953987,1117.8879726409912,0.6046388745307922,0.6437350511550903,0.011877811,0.1199676513671875,880,413.3921203613281
396.6765422821045,2949120,90,4557,647,0.001,-0.00925730725430185,0.2,-3.855108396708965,1167.7594207763673,0.564331442117691,0.6393159627914429,0.012271969,0.1196990966796875,890,375.3739013671875
302.0853064060211,2981888,91,4611,646,0.001,-0.009597011136065703,0.2,-3.8320285603404045,1172.5044639587402,0.6262489855289459,0.6363155841827393,0.010140165,0.113372802734375,900,427.00048828125
420.15597915649414,3014656,92,4666,646,0.001,-0.008964591310359538,0.2,-3.821838180720806,1129.9384811401367,0.6270708739757538,0.6355503797531128,0.010458926,0.12799072265625,910,400.8269958496094
363.9769697189331,3047424,93,4719,645,0.001,-0.010366816337045748,0.2,-3.804838187992573,1290.7364612579345,0.5621263980865479,0.6319092512130737,0.011050192,0.11231689453125,920,481.31219482421875
415.86490511894226,3080192,94,4778,644,0.001,-0.008957394353637937,0.2,-3.783523274958134,1062.7230041503906,0.5592660903930664,0.628455400466919,0.013849399,0.143731689453125,930,419.7345275878906
403.11880016326904,3112960,95,4836,643,0.001,-0.009453728410881013,0.2,-3.7510600447654725,1132.149855041504,0.5713004767894745,0.6236757040023804,0.011500485,0.155731201171875,940,430.7179260253906
475.5775697231293,3145728,96,4894,642,0.001,-0.010313250028411857,0.2,-3.730748301744461,1435.4530708312989,0.518660306930542,0.6210383772850037,0.010992996,0.11705322265625,950,488.4018859863281
346.5465340614319,3178496,97,4948,642,0.001,-0.00923084453534102,0.2,-3.7144010946154595,1196.6130729675292,0.4923352003097534,0.6190915107727051,0.015191227,0.1294708251953125,960,479.4638671875
438.14269852638245,3211264,98,5005,641,0.001,-0.008055414076079615,0.2,-3.700750893354416,1043.825140762329,0.5896084606647491,0.617798388004303,0.012236921,0.1503204345703125,970,322.9360046386719
357.40688371658325,3244032,99,5066,640,0.001,-0.009829191083554178,0.2,-3.6863867580890655,1174.4499298095702,0.6051596701145172,0.6150451898574829,0.011931151,0.130841064453125,980,516.2667846679688
374.7227346897125,3276800,100,5125,639,0.001,-0.00889586458361009,0.2,-3.6900601983070374,1200.502530670166,0.6116271018981934,0.6171643137931824,0.010563088,0.1185394287109375,990,338.6152038574219
443.42829990386963,3309568,101,5185,638,0.001,-0.00903181652611238,0.2,-3.678139851987362,1260.7428432464599,0.6443952918052673,0.6140379905700684,0.014898752,0.1319915771484375,1000,383.52838134765625
