rew_vec_envs,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/std
438.4081926345825,2156,851,56,1835008,-4.749256056547165,-0.00526519350532908,0.05006103515625,0.2,0.46641379594802856,550,196.38174438476562,0.001,755.1492469787597,0.0060638096,0.7942771911621094
364.05949544906616,2200,848,57,1867776,-4.7338905990123745,-0.004715697091887705,0.0409576416015625,0.2,0.44846969842910767,560,280.9080505371094,0.001,704.9437940597534,0.0050418675,0.7905599474906921
479.19187450408936,2245,846,58,1900544,-4.719020760059356,-0.005059140505909454,0.0476104736328125,0.2,0.5228160619735718,570,198.56619262695312,0.001,737.6342582702637,0.0058265124,0.7886362075805664
367.3235025405884,2291,843,59,1933312,-4.698663341999054,-0.005915704855578951,0.0494384765625,0.2,0.5307868123054504,580,230.01329040527344,0.001,664.9516607284546,0.0053500496,0.7837582230567932
502.0048494338989,2337,840,60,1966080,-4.680352640151978,-0.005015283366083168,0.05496826171875,0.2,0.5086236596107483,590,188.6973419189453,0.001,661.2605848312378,0.005996916,0.7807168960571289
422.8304114341736,2383,838,61,1998848,-4.665988367795944,-0.005074604312540032,0.0524444580078125,0.2,0.5026859939098358,600,238.958984375,0.001,729.981037902832,0.005417362,0.7777645587921143
412.95363330841064,2429,836,62,2031616,-4.641059479117393,-0.004757854156196117,0.0511749267578125,0.2,0.5554829239845276,610,138.625732421875,0.001,589.8640287399292,0.007022145,0.7725138068199158
354.3423047065735,2475,833,63,2064384,-4.618221971392631,-0.004997080199245829,0.04366455078125,0.2,0.5059859752655029,620,200.9537811279297,0.001,736.3932355880737,0.0056595397,0.7680127024650574
362.53428316116333,2523,831,64,2097152,-4.590505531430244,-0.005470254511601524,0.053692626953125,0.2,0.5571570098400116,630,212.69754028320312,0.001,641.544418144226,0.0066009364,0.7620692849159241
573.0550222396851,2570,828,65,2129920,-4.576476186513901,-0.005113400868140161,0.0431732177734375,0.2,0.49169784784317017,640,193.8334197998047,0.001,705.4139810562134,0.004913139,0.7620364427566528
472.3201446533203,2617,826,66,2162688,-4.561808151006699,-0.005559973306662869,0.0483917236328125,0.2,0.5363500118255615,650,185.51321411132812,0.001,671.7052919387818,0.005186242,0.7569576501846313
427.6655993461609,2665,823,67,2195456,-4.536727166175842,-0.0052489679277641695,0.053997802734375,0.2,0.572541207075119,660,168.21888732910156,0.001,606.1601825714112,0.005815678,0.7528406381607056
375.31100130081177,2711,821,68,2228224,-4.51604958474636,-0.0040748941799392925,0.0411529541015625,0.2,0.503067821264267,670,219.2896728515625,0.001,656.3984195709229,0.00496138,0.7485964298248291
460.2287406921387,2759,819,69,2260992,-4.497700417041779,-0.004771133343456313,0.0615692138671875,0.2,0.5034260749816895,680,195.33880615234375,0.001,639.7825567245484,0.006003849,0.7467432022094727
398.79027223587036,2805,817,70,2293760,-4.486430376768112,-0.005254892690572888,0.0457916259765625,0.2,0.4999158978462219,690,184.36972045898438,0.001,706.6662685394288,0.0055764415,0.744205117225647
365.1579418182373,2852,815,71,2326528,-4.473464825749398,-0.005025615230988478,0.05040283203125,0.2,0.5641508400440216,700,125.27942657470703,0.001,584.6359287261963,0.006575102,0.7416439056396484
437.1584346294403,2899,813,72,2359296,-4.449943590164184,-0.0046202437952160835,0.0417877197265625,0.2,0.5613038241863251,710,188.50697326660156,0.001,647.9594694137573,0.0051977155,0.7362245321273804
405.79213094711304,2946,811,73,2392064,-4.429848286509514,-0.004714757807960268,0.0525665283203125,0.2,0.4972379803657532,720,203.87924194335938,0.001,639.050332069397,0.0057797423,0.7339894771575928
493.98521184921265,2995,809,74,2424832,-4.417324370145797,-0.005593277415027842,0.04976806640625,0.2,0.5357096493244171,730,122.79951477050781,0.001,632.6948295593262,0.005022207,0.731101393699646
522.4855499267578,3044,807,75,2457600,-4.39552586376667,-0.005679226895881584,0.0644561767578125,0.2,0.4691470265388489,740,169.71487426757812,0.001,657.1323263168335,0.0066514984,0.726197361946106
471.02888345718384,3094,804,76,2490368,-4.366523340344429,-0.0049517621468112335,0.052557373046875,0.2,0.5714496672153473,750,199.4658966064453,0.001,625.035768699646,0.005754806,0.7203517556190491
409.0206050872803,3143,802,77,2523136,-4.3277805089950565,-0.0049031809772714045,0.06148681640625,0.2,0.5029319524765015,760,153.17449951171875,0.001,623.9726257324219,0.0072515826,0.712562084197998
434.69471287727356,3192,800,78,2555904,-4.303858977556229,-0.006114416441414505,0.06778564453125,0.2,0.5324132442474365,770,159.51979064941406,0.001,606.0151655197144,0.007665313,0.7099408507347107
402.586642742157,3242,798,79,2588672,-4.2809506297111515,-0.005261224166315514,0.0633575439453125,0.2,0.5754610300064087,780,121.55586242675781,0.001,503.2449806213379,0.006313846,0.7051563858985901
