rew_vec_envs,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss
0.39885867,,,,,,,,,,,,,,,
,665600,191,3474,325,,,,,,,,,,,
0.8726851,,,,,0.0001,13.344749450683594,0.8247914165258408,-0.000619690224993974,1.0064435005187988,0.008811915,0.083251953125,3250,-5.700796985626221,0.2,46.77664623260498
0.23668775,,,,,,,,,,,,,,,
,667648,191,3484,326,,,,,,,,,,,
0.2674797,,,,,0.0001,7.119359970092773,0.8993489965796471,-0.004819445568136871,1.0065150260925293,0.007149294,0.03896484375,3260,-5.701389241218567,0.2,21.670149517059325
0.24505442,,,,,,,,,,,,,,,
,669696,191,3495,327,,,,,,,,,,,
0.36437297,,,,,0.0001,0.6585506796836853,0.8517594784498215,-0.006034899200312793,1.0066787004470825,0.0064962753,0.03330078125,3270,-5.7018036365509035,0.2,1.8316487908363341
0.31223142,,,,,,,,,,,,,,,
,671744,191,3506,328,,,,,,,,,,,
0.97344327,,,,,0.0001,115.93226623535156,0.6709804832935333,-0.000689525087364018,1.0067646503448486,0.007560538,0.035205078125,3280,-5.7023574113845825,0.2,235.5261459350586
0.36471713,,,,,,,,,,,,,,,
,673792,191,3517,329,,,,,,,,,,,
0.2865339,,,,,0.0001,1.9768322706222534,0.9295378103852272,-0.006152673438191414,1.0069196224212646,0.012831654,0.054931640625,3290,-5.702724719047547,0.2,5.077486121654511
0.4126925,,,,,,,,,,,,,,,
,675840,191,3527,330,,,,,,,,,,,
0.17788716,,,,,0.0001,0.990935206413269,0.897484265267849,-0.010379841341637075,1.0082347393035889,0.015899,0.126318359375,3300,-5.705111479759216,0.2,2.417500966787338
0.8652469,,,,,,,,,,,,,,,
,677888,191,3538,331,,,,,,,,,,,
0.7778426,,,,,0.0001,5618.75341796875,0.0914202332496643,0.005192215892020613,1.008985996246338,0.009806694,0.0646484375,3310,-5.7102196455001835,0.2,16228.377392578124
0.99929774,,,,,,,,,,,,,,,
,679936,191,3548,332,,,,,,,,,,,
0.13213256,,,,,0.0001,1.686954140663147,0.9783988669514656,-0.0022225410095416008,1.0091578960418701,0.0025771367,0.003076171875,3320,-5.711604762077331,0.2,5.541301214694977
0.43879604,,,,,,,,,,,,,,,
,681984,191,3559,333,,,,,,,,,,,
1.894399,,,,,0.0001,13.68982982635498,0.9349144697189331,-0.004539666755590588,1.0092085599899292,0.0071835127,0.05478515625,3330,-5.712161755561828,0.2,36.457451820373535
0.5329686,,,,,,,,,,,,,,,
,684032,191,3570,334,,,,,,,,,,,
0.3520078,,,,,0.0001,9.446306228637695,0.9097981080412865,-0.0013550436357036232,1.0091527700424194,0.0033042673,0.004345703125,3340,-5.712132358551026,0.2,26.81913642883301
0.33861113,,,,,,,,,,,,,,,
,686080,191,3580,335,,,,,,,,,,,
0.44397724,,,,,0.0001,2.850987195968628,0.9068486541509628,-0.004592921398580074,1.0089727640151978,0.004196613,0.012646484375,3350,-5.711607432365417,0.2,8.235506939888001
0.9337735,,,,,,,,,,,,,,,
,688128,191,3591,336,,,,,,,,,,,
0.31174114,,,,,0.0001,2.4193644523620605,0.9264560043811798,-0.005440190411172807,1.009041666984558,0.008929517,0.06650390625,3360,-5.711326789855957,0.2,5.085134446620941
0.1903347,,,,,,,,,,,,,,,
,690176,191,3601,337,,,,,,,,,,,
