time/total_timesteps,rew_vec_envs,time/fps,time/iterations,time/time_elapsed,train/clip_range,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss
1032192,37.647353529930115,419,63,2461,0.2,0.8228611946105957,-4.855324621498585,0.0001,135.88629640042782,70.73799133300781,0.6700419783592224,0.014974704,0.1611572265625,620,0.002237175152549753
1048576,33.254181146621704,418,64,2503,0.2,0.8193352818489075,-4.849173076078296,0.0001,64.759978723526,21.86754608154297,0.7625078409910202,0.01140782,0.142340087890625,630,0.002066288044443354
1064960,83.55609047412872,418,65,2546,0.2,0.8191071152687073,-4.839255528524518,0.0001,168.40452098697423,14.710554122924805,0.7590360641479492,0.008227729,0.088507080078125,640,9.65368935794686e-05
1081344,-64.93209195137024,417,66,2590,0.2,0.8185237050056458,-4.833177289366722,0.0001,166.33033787310123,6.549871444702148,0.7180420756340027,0.010924926,0.1717529296875,650,0.0007936232806969202
1097728,34.184951305389404,416,67,2634,0.2,0.8178513050079346,-4.83378812931478,0.0001,382.3947512827814,442.7882080078125,0.703315019607544,0.010186346,0.1010009765625,660,-0.0029101564854499885
1114112,100.28053522109985,415,68,2678,0.2,0.8168745040893555,-4.82939433529973,0.0001,195.5379299402237,51.21673583984375,0.5345773696899414,0.008985972,0.110040283203125,670,-0.0006086623694500304
1130496,28.771556496620178,415,69,2721,0.2,0.8150961399078369,-4.824457505345345,0.0001,150.23949832245708,76.8170166015625,0.32923436164855957,0.011373459,0.15947265625,680,0.0011840847993880744
1146880,-1.6371569633483887,415,70,2760,0.2,0.8078824877738953,-4.801895392686129,0.0001,89.01758670955897,14.833157539367676,0.533389538526535,0.008084682,0.128271484375,690,0.0005104124667923316
1163264,48.397226095199585,415,71,2802,0.2,0.8067426681518555,-4.782257359474897,0.0001,339.2134526021779,28.942712783813477,0.5355998873710632,0.008491628,0.09791259765625,700,-0.0009195238384563708
1179648,32.41964530944824,414,72,2847,0.2,0.8031699657440186,-4.768302848935127,0.0001,253.0561530917883,22.290042877197266,0.5294235944747925,0.0075988355,0.10126953125,710,-0.0006515568649774651
