time/total_timesteps,time/iterations,rew_vec_envs,time/time_elapsed,time/fps,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/loss,train/n_updates,train/std
4751360,290,586.1168556213379,15213,312,0.5976996719837189,349.9116201713681,0.236981201171875,0.2,-0.012620320281894238,0.0001,0.028799403,-1.5352895888034255,38.1005859375,2890,0.3579025864601135
4767744,291,672.2833023071289,15284,311,0.6156571209430695,291.48731614500286,0.270306396484375,0.2,-0.012538709504588042,0.0001,0.030072056,-1.5016904080286622,34.030155181884766,2900,0.3547171354293823
4784128,292,457.4002752304077,15352,311,0.6084147095680237,308.2269169509411,0.245550537109375,0.2,-0.008857877310401819,0.0001,0.028579209,-1.466057597985491,48.730716705322266,2910,0.3516141474246979
4800512,293,483.72037506103516,15423,311,0.6107689440250397,372.0649325147271,0.25101318359375,0.2,-0.0119057625233836,0.0001,0.0303008,-1.4388226575218142,39.45456314086914,2920,0.3496341407299042
4816896,294,500.5695686340332,15494,310,0.609965980052948,336.6934693172574,0.257879638671875,0.2,-0.011472930313357211,0.0001,0.030915653,-1.420539972325787,53.60914993286133,2930,0.34880709648132324
4833280,295,604.5646953582764,15565,310,0.6676985621452332,347.19843280613424,0.235662841796875,0.2,-0.012863264173392962,0.0001,0.028458267,-1.4231308679096402,31.99067497253418,2940,0.349521279335022
4849664,296,568.6654376983643,15636,310,0.6205123364925385,333.8188990294933,0.258465576171875,0.2,-0.011543292902115355,0.0001,0.030389214,-1.4178090944886208,44.792625427246094,2950,0.3481042683124542
4866048,297,557.8109397888184,15707,309,0.6023281216621399,303.8512511312962,0.256634521484375,0.2,-0.011558118030916376,0.0001,0.03166437,-1.3987415848765523,28.756797790527344,2960,0.34659403562545776
4882432,298,646.2014770507812,15777,309,0.6543078720569611,335.8424948915839,0.2581298828125,0.2,-0.011648696519841906,0.0001,0.030373475,-1.400090842321515,39.78693389892578,2970,0.3476589322090149
4898816,299,630.4314804077148,15847,309,0.6181915700435638,315.7967868313193,0.2639892578125,0.2,-0.01270912987893098,0.0001,0.030379873,-1.4050625468138604,25.03040313720703,2980,0.34735289216041565
4915200,300,535.7906837463379,15917,308,0.6128043532371521,342.279701051116,0.26346435546875,0.2,-0.012953718225617195,0.0001,0.030979836,-1.3874725044239313,54.57376480102539,2990,0.34524214267730713
4931584,301,668.8909072875977,15987,308,0.5810966789722443,344.60951468199494,0.267877197265625,0.2,-0.011506310609547654,0.0001,0.032255568,-1.3782220401335508,23.97737693786621,3000,0.34555721282958984
4947968,302,529.5452613830566,16059,308,0.6091263592243195,365.0040889889002,0.242523193359375,0.2,-0.011117778721745708,0.0001,0.028125022,-1.3725770183373243,87.74048614501953,3010,0.3443404734134674
4964352,303,530.8832664489746,16131,307,0.6381801068782806,283.9588294073939,0.247735595703125,0.2,-0.013827435828898161,0.0001,0.028439658,-1.3601193765643984,27.813060760498047,3020,0.3428853154182434
4980736,304,469.1581172943115,16203,307,0.5797963738441467,373.9474997729063,0.249462890625,0.2,-0.01241663984455954,0.0001,0.02942014,-1.3490652585867793,131.45428466796875,3030,0.34198427200317383
4997120,305,627.7228851318359,16274,307,0.6028293371200562,424.4136501073837,0.238616943359375,0.2,-0.011331732877079049,0.0001,0.027639244,-1.3307139807380737,85.55005645751953,3040,0.339820921421051
5013504,306,597.6510105133057,16347,306,0.6369415521621704,319.50811903625726,0.270263671875,0.2,-0.011182596145408752,0.0001,0.03145407,-1.3184988669585436,37.03520202636719,3050,0.33986741304397583
5029888,307,522.5449600219727,16419,306,0.6063264310359955,300.8958771184087,0.26781005859375,0.2,-0.012207851271341497,0.0001,0.032872695,-1.3175655778031796,57.06159210205078,3060,0.339902400970459
5046272,308,544.01926612854,16492,305,0.5689593255519867,341.4444533482194,0.26644287109375,0.2,-0.011917529136189842,0.0001,0.029757898,-1.315647712536156,49.52629089355469,3070,0.33940261602401733
5062656,309,660.4053115844727,16566,305,0.571772962808609,369.7653909355402,0.240850830078125,0.2,-0.010719515952587244,0.0001,0.027252018,-1.3027367252856492,55.28053665161133,3080,0.3380465805530548
5079040,310,653.0092582702637,16639,305,0.6013864874839783,331.0169298365712,0.25517578125,0.2,-0.011585225013004675,0.0001,0.029745696,-1.2797494426835327,58.481746673583984,3090,0.33617615699768066
5095424,311,593.166618347168,16714,304,0.5538524389266968,323.2671467572451,0.259637451171875,0.2,-0.012671602559203165,0.0001,0.03052481,-1.2750039086677134,36.053794860839844,3100,0.3364769220352173
5111808,312,492.7023448944092,16788,304,0.6092694103717804,289.86036777198314,0.26258544921875,0.2,-0.012031198254226183,0.0001,0.034113705,-1.2689208168070762,36.84781265258789,3110,0.33487579226493835
5128192,313,564.4065055847168,16862,304,0.610674262046814,246.54171486347914,0.281475830078125,0.2,-0.009906272044827347,0.0001,0.034266952,-1.2547203346155584,36.53074645996094,3120,0.33436304330825806
5144576,314,559.9613952636719,16940,303,0.5511587858200073,380.3445040732622,0.246142578125,0.2,-0.013231594255557866,0.0001,0.02975951,-1.2416143652051688,46.07680892944336,3130,0.3326175808906555
5160960,315,597.6769523620605,17013,303,0.6212224364280701,303.60440566688777,0.283062744140625,0.2,-0.012246457091168849,0.0001,0.03528754,-1.225098140956834,74.95486450195312,3140,0.3320974111557007
5177344,316,681.1655883789062,17090,302,0.5538066029548645,318.78380724191663,0.266314697265625,0.2,-0.012413991357425403,0.0001,0.031749666,-1.222351887822151,67.27566528320312,3150,0.3318499028682709
5193728,317,667.8518524169922,17166,302,0.6304814219474792,330.69915518760683,0.2476318359375,0.2,-0.011868862819392234,0.0001,0.02883479,-1.2201680332887919,26.995759963989258,3160,0.33202067017555237
5210112,318,585.9353981018066,17241,302,0.5767788290977478,351.3309159308672,0.251910400390625,0.2,-0.012212651439585897,0.0001,0.028967343,-1.2230222537182271,66.60237121582031,3170,0.3325773775577545
5226496,319,583.7133636474609,17313,301,0.6437895894050598,341.5696146085858,0.265618896484375,0.2,-0.013442822183242243,0.0001,0.031567425,-1.230483580334112,114.56489562988281,3180,0.33294886350631714
5242880,320,524.7124557495117,17388,301,0.62103471159935,305.793333786726,0.286431884765625,0.2,-0.014071971919111092,0.0001,0.031366374,-1.2240245199762285,44.404293060302734,3190,0.3317256271839142
5259264,321,571.1009330749512,17469,301,0.6525867581367493,269.623239184171,0.2710205078125,0.2,-0.01233028189308243,0.0001,0.03029885,-1.205971233639866,69.81226348876953,3200,0.32962819933891296
5275648,322,689.394889831543,17545,300,0.6114636957645416,328.18366656601427,0.2606201171875,0.2,-0.010800434046177542,0.0001,0.03263879,-1.1919503792654722,47.07526397705078,3210,0.32985609769821167
5292032,323,599.2632141113281,17627,300,0.6618578433990479,316.7776907429099,0.261065673828125,0.2,-0.013008651947166073,0.0001,0.032193787,-1.1934686631895601,36.216522216796875,3220,0.3299383521080017
5308416,324,462.45313453674316,17708,299,0.6087266802787781,320.36027703136205,0.261285400390625,0.2,-0.01121642903653992,0.0001,0.029657189,-1.1849025682080536,35.27427291870117,3230,0.3285835385322571
5324800,325,535.456356048584,17788,299,0.5527112185955048,341.47478149607775,0.286798095703125,0.2,-0.01114418529014074,0.0001,0.037213147,-1.1562445702031254,15.730724334716797,3240,0.32589876651763916
5341184,326,571.0526161193848,17863,298,0.5176731646060944,311.78767240196464,0.29122314453125,0.2,-0.01282161607487069,0.0001,0.037647694,-1.134589315764606,25.14455223083496,3250,0.3245149850845337
5357568,327,558.65452003479,17939,298,0.6208249926567078,411.7551659151912,0.25377197265625,0.2,-0.011550026037548377,0.0001,0.028754484,-1.1187104009557516,36.521915435791016,3260,0.32276052236557007
5373952,328,511.2868537902832,18019,298,0.6125838756561279,328.6770470112562,0.2822998046875,0.2,-0.014886516095612024,0.0001,0.033733472,-1.09895983398892,86.13087463378906,3270,0.32160377502441406
5390336,329,574.6461925506592,18098,297,0.6250180602073669,338.4618151664734,0.261737060546875,0.2,-0.012218347322959743,0.0001,0.03358689,-1.0843988166190683,25.50872802734375,3280,0.32009485363960266
5406720,330,593.3298683166504,18177,297,0.5870910584926605,306.254387588799,0.278863525390625,0.2,-0.011354950588793145,0.0001,0.03562499,-1.0755196515470744,28.251264572143555,3290,0.32032155990600586
5423104,331,589.3068504333496,18262,296,0.6108192205429077,293.08802165240047,0.269091796875,0.2,-0.010828009898614255,0.0001,0.0318018,-1.072778895497322,59.4639892578125,3300,0.31956958770751953
5439488,332,574.3190803527832,18341,296,0.643222838640213,397.029271389544,0.245745849609375,0.2,-0.012266560582884268,0.0001,0.02978999,-1.0642976419068872,164.5165557861328,3310,0.3192301392555237
5455872,333,601.3718070983887,18424,296,0.6560641825199127,325.4583735972643,0.264617919921875,0.2,-0.012211364533322921,0.0001,0.028716873,-1.0632639009971172,104.61981201171875,3320,0.31935572624206543
5472256,334,553.7123680114746,18505,295,0.6420572996139526,308.35429921001196,0.269451904296875,0.2,-0.012337232528989262,0.0001,0.031683393,-1.0510486671235413,57.28083801269531,3330,0.31804728507995605
5488640,335,541.6048908233643,18583,295,0.4947514533996582,325.58245829194783,0.260906982421875,0.2,-0.01265346330292232,0.0001,0.031317607,-1.0473253483884037,33.48047637939453,3340,0.31795448064804077
5505024,336,575.5799789428711,18662,294,0.6060692965984344,352.05972505658866,0.255792236328125,0.2,-0.013325179608000327,0.0001,0.031226233,-1.046239684522152,45.72507858276367,3350,0.3179537057876587
5521408,337,622.9398307800293,18742,294,0.6099050641059875,364.95952720344064,0.279583740234375,0.2,-0.012029371262724454,0.0001,0.033174794,-1.0393852919805795,39.93673324584961,3360,0.3173567056655884
5537792,338,539.845235824585,18827,294,0.6379480361938477,276.8726423949003,0.28458251953125,0.2,-0.011236070584709523,0.0001,0.031931214,-1.0245035058353096,49.77485656738281,3370,0.3158831000328064
5554176,339,709.8758964538574,18908,293,0.616105854511261,329.067062304914,0.257904052734375,0.2,-0.013082462882812252,0.0001,0.030774567,-1.0070815527811647,37.36577606201172,3380,0.3143843412399292
5570560,340,684.7221698760986,18994,293,0.5942527651786804,318.650904417783,0.281158447265625,0.2,-0.011078077031743305,0.0001,0.037324905,-0.9972598350606858,24.733596801757812,3390,0.3139033317565918
5586944,341,688.1470413208008,19075,292,0.6032573580741882,331.4037447914481,0.270074462890625,0.2,-0.01233760422855994,0.0001,0.034132645,-0.9850470451638103,58.22616195678711,3400,0.31326377391815186
5603328,342,669.3226013183594,19158,292,0.6174558103084564,344.6491145849228,0.27470703125,0.2,-0.012697883502187323,0.0001,0.0339639,-0.9800412681419403,57.193260192871094,3410,0.3128337860107422
5619712,343,782.0670776367188,19239,292,0.6116544306278229,297.6520154379308,0.29083251953125,0.2,-0.013138330203219084,0.0001,0.03590864,-0.9672584862448275,33.7921142578125,3420,0.31133371591567993
5636096,344,792.8936233520508,19326,291,0.6049866378307343,363.9552145034075,0.248065185546875,0.2,-0.012400654946031864,0.0001,0.031350818,-0.9620759021956473,24.497190475463867,3430,0.3115214407444
5652480,345,474.33738136291504,19410,291,0.6375410556793213,330.57387830018996,0.291180419921875,0.2,-0.012771786502162286,0.0001,0.03604474,-0.9650120991282165,34.21417236328125,3440,0.31187930703163147
5668864,346,568.1574440002441,19491,290,0.6243036985397339,346.41131620556115,0.264849853515625,0.2,-0.012881837006261776,0.0001,0.03267974,-0.9616955114528537,61.10096740722656,3450,0.31121575832366943
5685248,347,574.3777351379395,19575,290,0.6024705171585083,365.5705923959613,0.261090087890625,0.2,-0.013145499933125393,0.0001,0.03287455,-0.9538248238153756,104.750244140625,3460,0.31064826250076294
5701632,348,510.9262218475342,19658,290,0.6327022910118103,270.74741005674,0.29678955078125,0.2,-0.011951072363808634,0.0001,0.037369844,-0.9432286540511996,40.31114959716797,3470,0.30979123711586
5718016,349,732.3411903381348,19738,289,0.6583232879638672,284.31157508194445,0.282122802734375,0.2,-0.012380196318918023,0.0001,0.035037413,-0.9327934417407959,24.147361755371094,3480,0.3088195323944092
5734400,350,683.0420303344727,19816,289,0.643676221370697,339.5605843871832,0.268499755859375,0.2,-0.013730168611618864,0.0001,0.03451497,-0.9237166956067085,41.702171325683594,3490,0.3084065914154053
5750784,351,511.9991760253906,19897,289,0.6296364963054657,286.5954156756401,0.2823486328125,0.2,-0.010986197938291298,0.0001,0.031770937,-0.9198625832330436,56.900917053222656,3500,0.3082229495048523
5767168,352,676.0224456787109,19975,288,0.586990475654602,353.339655739814,0.280023193359375,0.2,-0.014340543780053849,0.0001,0.037060127,-0.910117302602157,42.298828125,3510,0.3065757751464844
5783552,353,521.1459140777588,20053,288,0.5852083265781403,370.1715827062726,0.2839111328125,0.2,-0.01128379217843758,0.0001,0.0341045,-0.9009252906311304,25.081310272216797,3520,0.30673760175704956
5799936,354,566.7742900848389,20129,288,0.6183969676494598,329.89106176793575,0.267767333984375,0.2,-0.013230434305478411,0.0001,0.031564668,-0.8956782414577902,50.863155364990234,3530,0.3062031865119934
5816320,355,627.9313468933105,20209,287,0.5964480042457581,322.38756252527236,0.284515380859375,0.2,-0.013773829581987229,0.0001,0.03517285,-0.8887915551196783,72.82722473144531,3540,0.3055548071861267
5832704,356,708.0468139648438,20287,287,0.6047649681568146,333.79860437214376,0.28746337890625,0.2,-0.012758405678869166,0.0001,0.036138657,-0.8844288246706128,38.223876953125,3550,0.3052287697792053
