time/total_timesteps,time/fps,rew_vec_envs,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/std
4292608,474,-805.8590869903564,9044,262,0.001,-3.836017132923007,0.2,0.36251795291900635,331.2459411621094,2610,-0.027448555349110393,0.22930908203125,0.03423761,1069.2561952114106,0.6311968564987183
4308992,473,-699.9419202804565,9107,263,0.001,-3.8100671410560607,0.2,0.4468042850494385,188.15562438964844,2620,-0.02757362101401668,0.28802490234375,0.048197746,811.1870406627655,0.6273543834686279
4325376,471,-808.2172317504883,9168,264,0.001,-3.7749131087213756,0.2,0.41328364610671997,157.13014221191406,2630,-0.024483016890008,0.3147705078125,0.05697091,806.4924996614457,0.6206836700439453
4341760,470,-510.6950969696045,9232,265,0.001,-3.735440706089139,0.2,0.5273098051548004,156.16635131835938,2640,-0.02637919912158395,0.3655517578125,0.0744047,636.9923874616622,0.6153391003608704
4358144,469,-729.0167121887207,9285,266,0.001,-3.7014250636100767,0.2,0.515616774559021,185.7096710205078,2650,-0.028194699460436824,0.370458984375,0.06890543,691.873218536377,0.6093860864639282
4374528,468,-371.14387130737305,9336,267,0.001,-3.676052326709032,0.2,0.5440508723258972,285.3752136230469,2660,-0.023259861995029496,0.421270751953125,0.088080406,609.9535778999328,0.608405590057373
4390912,467,-500.75507736206055,9392,268,0.001,-3.6704336885362863,0.2,0.4298207759857178,140.67230224609375,2670,-0.02015943674996379,0.452655029296875,0.09673954,667.0128543138504,0.6061898469924927
4407296,466,-387.0719633102417,9444,269,0.001,-3.6512522511184216,0.2,0.5365696549415588,115.20945739746094,2680,-0.01776106653123861,0.4433349609375,0.11657813,539.9475366592408,0.6045969128608704
4423680,465,-471.86708068847656,9501,270,0.001,-3.6324808076024055,0.2,0.52885302901268,184.7747802734375,2690,0.0029461456724675372,0.48192138671875,0.16376081,507.8400994896889,0.6008083820343018
4440064,464,-279.52975511550903,9552,271,0.001,-3.63274261392653,0.2,0.5340191125869751,190.4227294921875,2700,-0.021514436705911067,0.3970703125,0.06998603,634.7381561279296,0.6022941470146179
4456448,464,-596.4170417785645,9600,272,0.001,-3.6282104421406984,0.2,0.5656505227088928,59.564823150634766,2710,-0.02049173088344105,0.5062744140625,0.12250453,451.9412382483482,0.5991103649139404
4472832,463,-307.38927364349365,9646,273,0.001,-3.6242929995059967,0.2,0.5787134170532227,57.5577278137207,2720,-0.00990180453954963,0.530059814453125,0.17580709,375.7791024327278,0.5985742211341858
4489216,463,-340.1029977798462,9694,274,0.001,-3.5788097184151413,0.2,0.46607404947280884,57.047760009765625,2730,-0.01718574028418516,0.500848388671875,0.16094148,354.0812301635742,0.5919564962387085
4505600,462,-508.84145069122314,9743,275,0.001,-3.5635774847120048,0.2,0.533405065536499,51.89396286010742,2740,-0.017957817856222393,0.50101318359375,0.109589964,410.32115160226823,0.5900920629501343
4521984,461,-296.53550148010254,9793,276,0.001,-3.553474427387118,0.2,0.5964510142803192,75.9049301147461,2750,-0.02268705368915107,0.46300048828125,0.12189451,389.5307806134224,0.5875835418701172
4538368,461,-282.66757345199585,9844,277,0.001,-3.542413046211004,0.2,0.559672623872757,182.65960693359375,2760,-0.014195417649170849,0.4609130859375,0.10454938,559.3162589788437,0.5881149768829346
4554752,460,-374.8258500099182,9895,278,0.001,-3.5319572024047377,0.2,0.5992963910102844,119.69121551513672,2770,-0.015239489878877067,0.419488525390625,0.090646505,468.8818257212639,0.5876711010932922
4571136,459,-689.5861320495605,9947,279,0.001,-3.537121684476733,0.2,0.6034422516822815,94.15133666992188,2780,-0.0183479919549427,0.461114501953125,0.1322177,422.41614112854006,0.5864123106002808
4587520,458,-553.1975412368774,10001,280,0.001,-3.5057643216103314,0.2,0.5797452926635742,113.38785552978516,2790,-0.022768232259113574,0.4304931640625,0.09838784,530.9591112136841,0.5830463171005249
4603904,458,-359.2747097015381,10049,281,0.001,-3.4818636909127236,0.2,0.5633821487426758,148.73561096191406,2800,-0.018484468980750533,0.43590087890625,0.10996723,625.6400730133057,0.5803947448730469
4620288,457,-323.3446273803711,10094,282,0.001,-3.475019724294543,0.2,0.5224615633487701,68.28423309326172,2810,-0.013447450171224774,0.521826171875,0.15852769,386.2251809477806,0.5780448317527771
4636672,457,-313.8142852783203,10144,283,0.001,-3.473216380178928,0.2,0.5791559517383575,53.71604919433594,2820,-0.003336948139622109,0.55804443359375,0.16979554,280.88374892473223,0.5782908201217651
4653056,456,-261.5533838272095,10190,284,0.001,-3.4565653719007967,0.2,0.588333010673523,35.360321044921875,2830,-0.012448584826051956,0.507244873046875,0.16048244,320.08197576999663,0.5755301713943481
4669440,456,-442.6607666015625,10236,285,0.001,-3.45280233733356,0.2,0.5409001708030701,43.486663818359375,2840,0.004486610693129478,0.616448974609375,0.2592393,329.74472279548644,0.5737301111221313
4685824,455,-353.1210632324219,10285,286,0.001,-3.435958503559232,0.2,0.5520350635051727,71.70126342773438,2850,-0.014104823287561885,0.5173095703125,0.16122139,360.62543387413024,0.5728096961975098
4702208,455,-386.10032653808594,10332,287,0.001,-3.419259410724044,0.2,0.5003546178340912,104.70217895507812,2860,-0.019190673426783177,0.486822509765625,0.13725553,421.6228577136993,0.5730488300323486
4718592,454,-216.15203094482422,10375,288,0.001,-3.4315095636993647,0.2,0.5320585072040558,110.55641174316406,2870,-0.010646156106304261,0.562396240234375,0.16993493,342.05336408615113,0.5699334740638733
4734976,454,-163.3855710029602,10418,289,0.001,-3.4229010183364155,0.2,0.4871253967285156,65.0833969116211,2880,0.004533614998945268,0.639080810546875,0.2347,201.1248057603836,0.5709010362625122
4751360,454,-263.5896625518799,10464,290,0.001,-3.44388864710927,0.2,0.6079133450984955,48.08316421508789,2890,0.0020506777240370867,0.610247802734375,0.3120874,213.55536720752715,0.5806460976600647
4767744,453,-330.51887035369873,10508,291,0.001,-3.4864423636347057,0.2,0.4740059971809387,164.3854522705078,2900,-0.013716713365283795,0.51978759765625,0.14124377,341.75498671531676,0.5780044794082642
4784128,453,-450.4118285179138,10555,292,0.001,-3.4671576343476773,0.2,0.5554580390453339,94.67304229736328,2910,-0.002313687698188005,0.5945556640625,0.26364315,298.39873012304304,0.5756567716598511
4800512,452,-208.21570110321045,10599,293,0.001,-3.4654956109821797,0.2,0.47296929359436035,76.25106048583984,2920,0.007976457734184806,0.59576416015625,0.13738057,330.0280075073242,0.5765904188156128
4816896,452,-295.00888442993164,10646,294,0.001,-3.4532308649271726,0.2,0.530696451663971,75.83627319335938,2930,-0.013383144412364345,0.5607177734375,0.18997854,260.93143612742426,0.5737601518630981
4833280,451,-505.4321689605713,10700,295,0.001,-3.413655311986804,0.2,0.48925888538360596,95.62781524658203,2940,-0.00886219840394915,0.5263427734375,0.17024133,434.98824577331544,0.5687698721885681
4849664,451,-205.4238166809082,10750,296,0.001,-3.44569910466671,0.2,0.5034393668174744,85.72102355957031,2950,0.037430767785554056,0.63211669921875,1.1482248,556.9240451097488,0.5783782601356506
4866048,450,-283.78331232070923,10797,297,0.001,-3.4501395665109156,0.2,0.43611061573028564,85.98988342285156,2960,-0.019944000187388157,0.496881103515625,0.15616617,509.4943881392479,0.5727709531784058
4882432,450,-274.6864356994629,10843,298,0.001,-3.435947723314166,0.2,0.48309558629989624,87.83348846435547,2970,-0.006986606770806247,0.5593505859375,0.36525056,403.7696348190308,0.5765981674194336
4898816,449,-247.71367645263672,10888,299,0.001,-3.466196873411536,0.2,0.505884438753128,187.5232391357422,2980,-0.008096948591264664,0.55135498046875,0.21053764,360.2239960193634,0.5740121603012085
4915200,449,-322.0518732070923,10933,300,0.001,-3.4383797690272333,0.2,0.47272056341171265,132.08950805664062,2990,-0.011219938699650812,0.567413330078125,0.16865158,335.1144115328789,0.5709221363067627
4931584,449,-228.04409790039062,10975,301,0.001,-3.441424437239766,0.2,0.490631103515625,44.861087799072266,3000,0.008373570089315763,0.618115234375,0.2900774,329.0810286283493,0.5751104354858398
4947968,449,-223.65682077407837,11017,302,0.001,-3.4562910828739404,0.2,0.5548554062843323,53.15184020996094,3010,-0.003305490624916274,0.626885986328125,0.24945645,292.838863068819,0.5757544040679932
4964352,448,-79.45742654800415,11059,303,0.001,-3.4758510824292896,0.2,0.49980366230010986,21.108135223388672,3020,0.009912633595013176,0.688458251953125,0.67791283,186.41022818684579,0.5810548663139343
4980736,448,-168.70254373550415,11101,304,0.001,-3.5056724824011325,0.2,0.5907596349716187,27.419692993164062,3030,-0.0030867241832311263,0.6091064453125,0.18577269,219.16475341916083,0.5798459053039551
4997120,448,-268.32321882247925,11145,305,0.001,-3.510540209710598,0.2,0.5087278485298157,63.50392150878906,3040,0.014743556348548736,0.674713134765625,0.35855594,373.5722052037716,0.5871585011482239
5013504,448,-64.30846166610718,11189,306,0.001,-3.53207590803504,0.2,0.5170429944992065,23.909822463989258,3050,-0.012031891527294647,0.540435791015625,0.21982057,241.8754371613264,0.5860813856124878
