time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance
561,933888,149.9419288635254,1663,57,0.005152746,-5.342837893217802,0.033197021484375,560,0.9200176000595093,220.32545471191406,-0.0011426155788285541,0.2,0.0001,372.90439529418944,0.6402190625667572
560,950272,58.45418453216553,1694,58,0.005165212,-5.335224429517984,0.0568359375,570,0.9176207780838013,124.11736297607422,-0.0027813215907372068,0.2,0.0001,230.73383404612542,0.7456283271312714
560,966656,85.3292760848999,1724,59,0.006012398,-5.332479813694954,0.055706787109375,580,0.918799638748169,110.81163787841797,-0.0026473113844986073,0.2,0.0001,250.8729341864586,0.7204384505748749
560,983040,99.7746434211731,1755,60,0.0062017646,-5.3270469278097154,0.0530517578125,590,0.9159621596336365,27.979473114013672,-0.0014476597769316867,0.2,0.0001,92.63155088424682,0.7302262187004089
559,999424,85.75040769577026,1785,61,0.0062214984,-5.321513123810291,0.054815673828125,600,0.915486752986908,63.361419677734375,-0.002731392811620026,0.2,0.0001,169.32791395783426,0.7826603502035141
559,1015808,227.23592281341553,1816,62,0.0061273007,-5.3152754828333855,0.072283935546875,610,0.9131760001182556,116.97747039794922,-0.002842997263178404,0.2,0.0001,227.6756360888481,0.5822730362415314
558,1032192,146.98496437072754,1849,63,0.0058928505,-5.309270316362381,0.050830078125,620,0.9126098155975342,305.7745666503906,-0.002477537060985924,0.2,0.0001,434.35529948472976,0.5140799880027771
557,1048576,82.34856367111206,1880,64,0.0060750227,-5.301094664633274,0.05948486328125,630,0.9098895192146301,102.37049865722656,-0.0031604197743945405,0.2,0.0001,400.812518632412,0.6689924895763397
557,1064960,89.01708889007568,1911,65,0.0058525186,-5.288432852178812,0.074468994140625,640,0.9074550867080688,44.50699234008789,-0.0027860363637955744,0.2,0.0001,161.2546719789505,0.7189924120903015
556,1081344,61.510178565979004,1942,66,0.006884585,-5.2850899457931515,0.071075439453125,650,0.9083687663078308,120.3033676147461,-0.0034778785697199056,0.2,0.0001,387.8875760793686,0.6413090527057648
556,1097728,81.62033081054688,1973,67,0.007664837,-5.288328593224287,0.08841552734375,660,0.9081388711929321,28.636377334594727,-0.0027689800908774487,0.2,0.0001,96.4881069689989,0.7250520288944244
555,1114112,92.5832576751709,2004,68,0.005203345,-5.280245915800333,0.05577392578125,670,0.9054577350616455,65.09456634521484,-0.0018437436948261165,0.2,0.0001,175.96443424224853,0.6849658787250519
555,1130496,174.10639429092407,2035,69,0.0062072612,-5.2753248028457165,0.042449951171875,680,0.9055866003036499,78.56639099121094,-0.0014757303426449653,0.2,0.0001,244.11317890882492,0.7092643082141876
555,1146880,126.10555744171143,2066,70,0.0050826278,-5.268061645328999,0.0462646484375,690,0.9022558927536011,211.81106567382812,-0.002791865638573654,0.2,0.0001,322.926096868515,0.6318023502826691
554,1163264,81.06910943984985,2097,71,0.005903052,-5.252738572657108,0.054583740234375,700,0.8989599347114563,100.89836883544922,-0.002718407512475096,0.2,0.0001,265.29165626764296,0.6746548116207123
554,1179648,101.02333307266235,2128,72,0.005109445,-5.2436741754412655,0.05455322265625,710,0.8978561162948608,142.79490661621094,-0.0011409840946726036,0.2,0.0001,189.81675037145615,0.630713939666748
553,1196032,89.98438882827759,2160,73,0.0061901542,-5.239545959979296,0.058740234375,720,0.8970322608947754,95.35828399658203,-0.002948918415495427,0.2,0.0001,344.3314479112625,0.6742039322853088
552,1212416,132.44643545150757,2193,74,0.006855998,-5.2321384191513065,0.071923828125,730,0.895422637462616,40.389949798583984,-0.0017509774384961928,0.2,0.0001,129.13713731169702,0.6127631962299347
