rew_vec_envs,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/std,train/clip_range,train/value_loss,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance
0.63835543,,,,,570,-0.006842089252313599,0.0001,0.04478759765625,0.97099369764328,0.2,47.804224860668185,0.005596066,18.7020320892334,-5.5626549363136295,0.42154353857040405
0.76439786,,,,,,,,,,,,,,,
,950272,58,416,2281,,,,,,,,,,,
0.828882,,,,,580,-0.0035549184034607607,0.0001,0.036993408203125,0.9716222286224365,0.2,292.4072346925735,0.004992011,67.40943145751953,-5.556656141579151,0.09266698360443115
0.69106025,,,,,,,,,,,,,,,
,966656,59,415,2326,,,,,,,,,,,
0.75307333,,,,,590,-0.002427039394387975,0.0001,0.012890625,0.9721059799194336,0.2,439.2826782345772,0.003261075,23.463489532470703,-5.5597407728433605,0.20907098054885864
0.55171895,,,,,,,,,,,,,,,
,983040,60,414,2369,,,,,,,,,,,
0.6550652,,,,,600,-0.004910280727381177,0.0001,0.028643798828125,0.9697229266166687,0.2,80.85118312239646,0.004652683,35.455177307128906,-5.555792346596718,0.49219810962677
0.76879114,,,,,,,,,,,,,,,
,999424,61,414,2412,,,,,,,,,,,
0.6542486,,,,,610,-0.004308280597615522,0.0001,0.02227783203125,0.9718798398971558,0.2,163.06086214184762,0.0038420937,344.04144287109375,-5.553846590220928,0.6009483933448792
0.5917573,,,,,,,,,,,,,,,
,1015808,62,413,2457,,,,,,,,,,,
